score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3156,45.25,40.02,2.87,-8.92,2.97,4.74,160.5
0.3272,54.15,40.02,2.99,-17.74,2.97,7.52,205.99
0.3324,45.25,40.02,2.99,-17.74,2.97,7.52,202.87
0.3324,45.25,40.02,2.99,-17.74,2.97,7.52,202.87
0.3497,54.15,40.02,2.99,-22.63,2.97,7.52,107.25
0.3515,45.25,40.02,2.99,-24.83,4.08,7.52,107.25
0.3515,45.25,40.02,2.99,-24.83,4.08,7.52,107.25
0.3526,59.4,40.02,2.99,-24.83,4.08,7.52,107.25
0.3552,59.4,40.02,2.99,-24.83,4.08,7.52,137.09
0.3552,59.4,40.02,2.99,-24.83,4.08,7.52,137.09
0.3552,59.4,40.02,2.99,-24.83,4.08,7.52,137.09
