score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.16,42.77,43.97,0.12,-19.12,2.88,3.9,237.82
0.17,42.8,57.05,1.25,-11.95,2.06,5.27,116.78
0.2,53.84,46.04,0.96,-23.77,1.93,2.73,236.98
0.18,56.27,50.33,1.6,-3.79,4.69,1.14,195.3
0.15,58.09,42.3,0.66,-7.25,4.4,3.85,230.43
0.19,53.61,54.86,1.62,-5.47,3.81,3.69,254.7
0.26,41.64,41.89,2.34,-20.72,4.83,4.91,242.04
0.24,45.82,57.56,2.93,-5.77,4.12,8.81,280.87
0.22,45.97,55.56,2.4,-1.72,2.03,1.95,203.65
0.16,51.33,44.48,0.87,-12.02,2.89,3.73,234.33
0.17,55.17,42.86,1.2,-11.64,1.8,2.52,106.21
0.23,41.77,44.27,1.41,-19.65,4.33,2.45,139.7
0.25,47.95,54.86,2.65,-18.5,3.77,2.09,203.69
0.16,55.4,50.43,0.51,-17.16,2.92,6.39,115.59
0.13,40.72,45.72,0.28,-9.28,3.68,7.27,197.11
0.18,40.14,59.57,1.73,-2.86,4.94,6.65,202.96
0.18,51.12,56.24,0.28,-21.62,4.6,7.96,197.69
0.16,42.86,41.36,0.36,-14.87,2.76,4.26,232.01
0.24,44.15,47.4,2.47,-16.51,4.82,8.5,246.27
0.14,54.73,40.68,0.18,-9.44,2.13,8.97,291.64
0.23,51.73,59.79,1.76,-22.94,2.87,5.31,220.54
0.19,54.94,48.3,1.78,-11.1,1.16,5.26,295.45
0.2,47.33,40.73,1.74,-6.9,4.13,5.55,174.69
0.13,56.1,45.74,0.3,-7.95,2.6,1.18,261.52
0.25,56.25,51.52,2.43,-19.77,3.78,6.57,156.1
0.24,54.1,55.64,1.65,-22.79,3.6,5.88,115.27
0.14,55.65,41.5,0.33,-9.19,4.08,4.19,153.11
0.18,48.94,48.69,0.58,-18.85,3.48,8.95,224.1
0.2,55.63,59.8,2.17,-9.43,2.09,8.0,115.36
0.22,54.31,50.45,2.53,-11.84,4.33,1.56,163.97
0.26,45.31,54.0,2.93,-21.01,3.03,8.02,232.48
0.17,49.2,59.03,1.27,-1.1,3.0,4.63,257.65
0.25,43.05,40.64,2.25,-20.3,2.57,7.87,144.58
0.24,56.8,55.89,2.88,-11.52,1.67,2.03,157.04
0.14,49.96,58.59,0.77,-3.23,2.88,3.37,264.99
0.17,46.07,40.83,0.72,-15.15,2.02,6.66,215.18
0.13,55.25,47.51,0.13,-14.57,1.99,8.73,191.45
0.2,51.72,53.57,0.82,-22.57,3.34,5.14,236.37
0.29,47.64,41.34,2.7,-24.42,4.05,6.07,256.84
0.19,40.02,54.66,1.69,-6.37,1.17,4.36,141.59
0.15,47.29,44.94,0.76,-11.51,1.17,6.02,298.01
0.22,40.57,55.82,2.35,-2.7,2.42,3.36,181.0
0.16,40.05,44.0,0.77,-5.19,4.63,4.73,141.74
0.14,49.68,57.69,0.6,-6.51,3.55,8.07,260.08
0.21,52.32,49.11,2.02,-17.33,1.79,6.08,234.5
0.15,55.17,40.25,0.3,-13.94,1.62,8.04,109.32
0.14,47.65,45.07,0.53,-10.8,2.79,8.1,112.99
0.23,55.14,53.32,2.4,-4.35,4.35,6.72,241.21
0.25,54.73,45.2,1.53,-22.38,2.84,1.58,102.01
0.19,59.42,42.25,1.39,-13.08,4.67,3.88,285.37
0.21,52.07,51.56,1.46,-17.85,4.28,8.37,110.25
0.18,41.8,59.4,1.59,-2.81,1.99,3.28,186.0
0.15,47.7,44.96,0.71,-7.42,2.28,1.0,139.16
0.17,40.77,49.28,1.31,-5.01,4.76,2.65,131.66
0.14,58.6,52.12,0.82,-7.92,4.81,7.12,201.21
0.14,40.01,55.36,0.52,-19.8,1.28,1.77,183.33
0.24,45.42,54.16,2.81,-5.49,3.65,7.09,133.01
0.2,41.66,50.69,1.66,-10.28,4.54,9.34,120.43
0.22,48.96,47.62,2.0,-15.21,3.22,1.67,255.47
0.23,41.74,44.29,2.59,-12.08,4.51,2.63,232.47
0.25,58.8,54.0,2.7,-21.01,3.03,6.07,232.48
0.28,47.64,44.15,2.7,-24.42,3.03,6.07,256.84
0.28,45.31,41.34,2.7,-24.42,2.74,6.07,256.84
0.26,47.64,54.0,2.7,-21.01,4.05,7.82,232.48
0.26,47.64,41.34,2.93,-12.9,3.03,8.02,232.48
0.31,45.31,41.34,2.7,-24.42,4.05,8.02,104.53
0.26,47.64,48.62,2.7,-21.01,4.05,8.02,232.48
0.27,45.31,55.25,2.93,-21.01,3.03,8.02,256.84
0.29,42.0,41.34,2.93,-24.42,4.05,8.02,256.84
0.25,40.85,54.0,2.7,-21.01,4.05,6.07,232.48
0.27,47.64,41.94,2.7,-21.01,4.05,8.02,232.48
0.28,43.13,54.0,2.93,-24.42,3.03,6.07,256.84
0.27,45.31,41.34,2.93,-21.01,3.03,7.36,232.48
0.28,51.33,41.34,2.7,-24.42,3.03,6.07,256.84
0.27,40.37,54.0,2.93,-21.01,4.05,8.02,232.48
0.29,45.31,57.63,2.93,-24.42,4.05,6.07,256.84
0.29,47.64,54.0,2.93,-24.42,3.03,6.07,185.57
0.26,45.31,54.0,2.93,-20.66,4.05,6.07,232.48
0.29,47.64,41.34,2.93,-21.01,4.05,6.07,142.19
0.3,45.31,54.0,2.93,-24.42,4.05,6.07,129.19
0.25,47.64,54.0,2.93,-24.42,1.66,6.07,256.84
0.27,47.64,41.01,2.93,-21.01,3.03,6.07,232.48
0.28,47.64,54.0,2.7,-24.42,4.05,8.02,232.48
0.28,47.64,41.34,2.7,-24.42,3.03,8.91,232.48
0.27,47.64,54.0,2.7,-24.42,3.03,8.06,256.84
0.25,47.64,54.0,2.7,-21.01,3.03,4.89,256.84
0.27,47.64,41.34,2.93,-21.01,4.05,9.76,232.48
0.29,51.67,41.34,2.7,-24.42,4.05,6.07,256.84
0.27,47.64,41.34,2.7,-21.01,4.05,8.02,262.55
0.29,47.64,52.64,2.93,-24.42,4.05,8.02,256.84
0.24,45.31,41.34,2.93,-5.93,3.03,6.07,256.84
0.24,47.64,41.34,1.35,-24.42,3.03,6.07,256.84
0.26,56.87,54.0,2.93,-21.01,3.03,8.02,256.84
0.26,45.31,54.0,2.7,-21.01,4.05,8.02,155.45
0.28,44.98,54.0,2.7,-24.42,3.03,8.02,232.48
0.29,45.31,58.06,2.93,-24.42,4.05,6.07,256.84
0.29,57.25,41.34,2.7,-24.42,4.05,8.02,232.48
0.28,45.31,41.34,2.93,-21.01,3.03,8.02,155.38
0.29,59.97,41.34,2.7,-24.42,4.05,8.02,232.48
0.26,59.09,54.0,2.7,-21.01,4.05,6.07,256.84
0.27,49.14,54.0,2.7,-24.42,3.03,6.07,232.48
0.26,47.64,54.0,2.7,-21.01,2.64,6.07,232.48
0.3,47.64,41.34,2.93,-24.42,4.48,8.02,232.48
0.29,45.31,54.0,2.93,-24.42,3.03,1.17,232.48
0.25,47.64,41.34,2.93,-24.42,1.2,6.07,256.84
0.26,47.64,54.0,2.77,-21.01,3.03,6.07,232.48
0.26,47.64,58.12,2.7,-21.01,3.03,8.02,256.84
0.25,47.64,41.34,2.93,-15.94,3.03,6.07,256.84
0.25,45.31,54.0,2.7,-19.32,3.03,6.07,232.48
0.26,47.64,54.95,2.7,-21.01,3.03,8.02,232.48
0.29,45.31,41.34,2.7,-24.42,3.03,8.02,298.25
0.28,45.31,54.0,2.7,-24.42,3.61,6.07,256.84
0.27,45.31,41.34,2.05,-24.42,4.05,6.07,232.48
0.28,59.62,41.34,2.93,-21.01,3.03,8.02,256.84
0.24,45.31,41.34,2.7,-6.12,4.05,8.02,256.84
0.28,47.64,41.34,2.7,-24.42,3.03,9.93,256.84
0.25,45.31,54.0,2.7,-21.01,4.05,8.09,256.84
0.24,47.64,54.0,2.93,-14.31,4.05,6.07,232.48
0.28,44.3,41.34,2.7,-21.01,4.05,6.07,232.48
0.29,46.64,41.34,2.7,-24.42,4.05,8.02,232.48
0.24,47.64,41.34,1.06,-24.42,4.05,8.02,232.48
0.24,47.64,41.34,2.7,-9.6,4.05,8.02,232.48
0.28,47.64,41.34,2.7,-22.68,4.05,8.02,232.48
0.31,47.64,41.34,2.93,-24.42,4.05,8.02,108.95
0.29,45.31,41.34,2.7,-24.42,4.05,6.38,232.48
0.31,47.64,41.34,2.7,-24.42,4.47,8.02,104.53
0.29,47.64,41.34,2.7,-24.42,4.48,8.02,218.09
0.31,45.31,41.34,2.7,-24.42,4.48,8.02,127.0
0.26,45.31,41.34,1.34,-24.42,4.05,8.02,104.53
0.28,45.31,41.34,2.7,-24.42,2.82,8.02,232.48
0.31,47.64,41.34,2.93,-24.42,4.05,9.24,104.53
0.3,45.31,41.34,2.93,-24.42,4.05,8.02,259.38
0.31,45.31,41.34,2.7,-24.42,4.05,7.83,104.53
0.27,47.64,41.34,2.93,-24.42,2.04,8.02,232.48
0.24,45.31,41.34,2.7,-12.04,4.05,8.02,104.53
0.26,45.31,41.34,1.8,-24.42,4.05,8.02,232.48
0.3,45.31,41.34,2.93,-24.42,4.05,8.02,232.48
0.3,40.13,41.34,2.93,-24.42,4.05,8.02,232.48
0.3,41.24,41.34,2.7,-24.42,4.05,8.02,104.53
0.32,47.64,41.2,2.93,-24.42,4.48,8.02,104.53
0.22,45.31,41.34,0.94,-24.42,4.05,8.02,232.48
0.3,47.64,41.34,2.98,-24.42,4.05,8.02,232.48
0.3,47.64,41.34,2.7,-24.42,4.05,4.74,232.48
0.32,45.31,41.34,2.93,-24.42,4.48,1.72,232.48
0.3,45.31,46.99,2.7,-24.42,4.05,8.02,104.53
0.27,47.64,41.34,1.9,-24.42,4.48,8.02,232.48
0.29,45.31,55.59,2.7,-24.42,4.05,8.02,104.53
0.27,47.64,41.34,2.93,-24.42,1.46,8.02,104.53
0.29,45.31,41.34,2.7,-24.42,4.05,8.02,268.43
0.29,47.64,41.34,2.7,-24.42,3.88,8.02,232.48
0.26,47.64,41.34,1.32,-24.42,4.05,8.02,104.53
0.31,47.64,41.34,2.7,-24.42,4.14,8.02,104.53
0.27,47.64,41.34,2.93,-24.42,1.91,8.02,232.48
0.3,47.64,41.34,2.93,-24.42,4.05,8.02,252.08
0.28,45.31,41.34,1.71,-24.42,4.48,8.02,104.53
0.3,47.64,41.34,2.93,-24.42,4.48,8.02,227.22
0.29,45.31,41.34,2.26,-24.42,4.05,8.02,104.53
0.25,47.64,41.34,1.14,-24.42,4.05,8.02,104.53
0.29,47.64,41.34,2.7,-24.42,2.93,8.02,104.53
0.25,47.64,41.34,2.93,-5.51,4.05,8.02,104.53
0.28,45.31,55.5,2.7,-24.42,4.05,8.02,232.48
0.3,47.64,41.34,2.7,-24.42,3.32,8.02,104.53
0.29,47.64,41.34,2.7,-24.42,4.05,8.78,232.48
0.22,47.64,41.34,0.47,-24.42,4.48,8.02,232.48
0.25,45.31,41.34,2.93,-4.51,4.05,8.02,104.53
0.29,47.64,41.34,2.93,-20.86,4.48,8.02,104.53
0.31,47.64,41.34,2.93,-24.42,3.81,8.02,104.53
0.24,47.64,41.34,1.06,-24.42,4.05,8.02,232.48
0.32,47.64,41.34,2.93,-24.42,4.48,8.02,117.56
0.23,47.64,41.34,0.63,-24.42,4.48,8.02,232.48
0.3,45.31,41.34,2.5,-24.42,4.05,8.02,104.53
0.25,45.31,41.34,2.93,-5.15,4.48,8.02,104.53
