score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.36,57.34,47.27,2.48,-24.95,4.08,8.84,167.57
0.38,57.34,46.94,2.48,-24.95,4.08,1.82,167.57
0.38,57.34,46.94,2.48,-24.95,4.08,1.82,167.57
0.38,49.65,46.94,2.48,-24.95,4.08,1.82,167.57
0.39,40.18,46.94,2.97,-24.95,3.89,1.82,167.57
0.4,40.18,40.01,2.97,-24.95,4.0,1.82,167.57
0.4,59.27,40.01,2.97,-24.95,3.89,1.82,167.57
0.4,40.06,40.01,2.97,-24.95,3.89,1.82,167.57
0.41,45.86,40.01,2.98,-24.95,3.89,1.06,167.57
0.41,45.86,40.01,2.98,-24.95,3.89,1.06,167.57
0.41,45.86,40.01,2.98,-24.95,3.89,1.06,167.57
