update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.26,60.0,54.12,0.96,-25.0,1.0,7.56,198.64
0,0,1,0.21,60.0,55.77,0.24,-25.0,1.0,3.22,100.0
0,0,2,0.2,56.61,55.07,0.1,-14.93,1.0,7.76,100.0
0,0,3,0.27,60.0,48.28,0.1,-22.88,3.09,8.13,100.0
0,0,4,0.26,60.0,60.0,0.1,-25.0,1.91,2.77,100.0
0,0,5,0.18,60.0,60.0,0.1,-3.5,1.0,1.0,100.0
0,0,6,0.18,60.0,60.0,0.1,-0.96,1.0,1.0,100.0
0,0,7,0.17,60.0,60.0,0.1,-10.12,1.0,1.0,100.0
0,0,8,0.18,60.0,60.0,0.1,-21.66,1.0,1.0,103.93
0,0,9,0.18,60.0,60.0,0.1,0.0,1.0,1.0,117.41
0,0,10,0.18,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,11,0.18,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,12,0.18,60.0,59.18,0.1,0.0,1.0,1.0,100.0
0,0,13,0.19,60.0,56.67,0.1,0.0,1.0,1.0,200.41
0,0,14,0.18,60.0,60.0,0.1,0.0,1.0,1.0,300.0
0,0,15,0.18,60.0,60.0,0.1,0.0,1.0,1.0,300.0
0,0,16,0.2,60.0,50.34,0.1,0.0,1.0,1.0,300.0
0,0,17,0.19,56.28,54.98,0.1,0.0,1.0,1.0,300.0
0,0,18,0.18,57.23,60.0,0.1,0.0,1.0,1.0,283.75
0,0,19,0.2,48.02,60.0,0.1,0.0,1.0,1.0,210.08
0,1,0,0.26,49.58,45.18,0.83,0.0,3.66,10.0,224.33
0,1,1,0.28,56.03,40.0,0.78,0.0,2.84,10.0,205.9
0,1,2,0.32,55.35,54.25,2.3,0.0,1.0,10.0,211.69
0,1,3,0.34,45.17,55.02,3.0,0.0,1.0,10.0,100.0
0,1,4,0.34,40.0,52.95,3.0,-0.36,1.0,10.0,100.0
0,1,5,0.32,40.0,60.0,2.78,-13.26,1.14,9.21,100.0
0,1,6,0.34,40.0,60.0,3.0,-22.97,1.0,3.46,100.0
0,1,7,0.34,40.0,60.0,3.0,-24.09,1.0,4.23,100.0
0,1,8,0.34,41.38,60.0,3.0,-25.0,1.0,4.21,100.0
0,1,9,0.34,40.0,60.0,3.0,-25.0,1.0,10.0,100.0
0,1,10,0.33,40.0,60.0,3.0,-25.0,1.0,9.86,100.0
0,1,11,0.34,40.0,60.0,3.0,-25.0,1.0,10.0,100.0
0,1,12,0.33,40.0,60.0,3.0,-25.0,1.0,7.95,100.0
0,1,13,0.33,40.0,60.0,3.0,-25.0,1.0,2.37,100.0
0,1,14,0.36,40.0,60.0,3.0,-25.0,2.42,4.08,100.0
0,1,15,0.36,40.0,60.0,3.0,-25.0,2.28,8.07,100.0
0,1,16,0.37,40.0,60.0,3.0,-25.0,3.01,8.05,100.0
0,1,17,0.29,40.0,60.0,1.6,-25.0,1.22,10.0,100.0
0,1,18,0.36,40.0,60.0,2.93,-22.77,2.48,10.0,100.0
0,1,19,0.27,40.0,60.0,1.14,-16.65,4.97,10.0,100.0
1,0,0,0.18,56.52,60.0,0.1,0.0,2.66,10.0,100.0
1,0,1,0.18,52.66,60.0,0.1,0.0,1.28,9.95,100.0
1,0,2,0.19,47.63,58.93,0.1,0.0,1.0,6.69,100.0
1,0,3,0.2,40.0,54.13,0.1,0.0,1.09,3.16,100.0
1,0,4,0.19,40.0,59.13,0.1,-0.09,2.96,1.0,115.79
1,0,5,0.18,40.0,60.0,0.1,-2.82,1.63,1.0,100.0
1,0,6,0.22,41.7,60.0,0.1,-15.2,1.85,1.0,100.0
1,0,7,0.26,48.35,60.0,0.1,-25.0,1.73,1.0,100.0
1,0,8,0.21,54.58,59.76,0.1,-25.0,1.19,1.0,100.0
1,0,9,0.19,54.71,60.0,0.1,-4.19,1.0,1.0,100.0
1,0,10,0.19,51.32,60.0,0.1,-13.41,1.0,1.0,100.0
1,0,11,0.18,43.9,60.0,0.1,-6.73,1.0,1.0,100.0
1,0,12,0.19,40.0,60.0,0.1,-8.02,1.0,1.0,100.0
1,0,13,0.19,40.0,60.0,0.1,-12.95,1.0,1.0,100.0
1,0,14,0.19,40.0,60.0,0.1,-4.32,1.0,1.0,100.0
1,0,15,0.32,40.0,59.19,2.68,-25.0,1.0,1.0,100.0
1,0,16,0.28,40.0,60.0,1.15,-25.0,1.0,1.0,100.0
1,0,17,0.33,40.0,60.0,2.81,-24.8,1.0,1.0,100.0
1,0,18,0.3,40.0,60.0,1.68,-25.0,1.0,1.0,100.0
1,0,19,0.26,40.0,60.0,0.89,-25.0,1.0,1.0,100.0
1,1,0,0.26,53.56,59.24,1.0,-7.26,1.0,5.6,183.71
1,1,1,0.33,60.0,60.0,3.0,0.0,1.0,4.92,234.15
1,1,2,0.34,60.0,59.9,3.0,0.0,1.0,3.55,122.43
1,1,3,0.33,59.89,55.81,3.0,0.0,1.0,2.73,122.37
1,1,4,0.34,60.0,60.0,3.0,0.0,1.0,1.0,196.28
1,1,5,0.35,60.0,56.19,3.0,0.0,1.0,1.0,240.29
1,1,6,0.34,60.0,60.0,3.0,0.0,1.0,2.92,183.72
1,1,7,0.34,60.0,60.0,3.0,0.0,1.0,1.0,300.0
1,1,8,0.34,50.02,60.0,3.0,0.0,1.0,3.08,294.98
1,1,9,0.35,47.24,60.0,3.0,0.0,1.0,1.0,287.49
1,1,10,0.32,44.15,60.0,2.41,-0.05,1.0,1.0,300.0
1,1,11,0.34,60.0,60.0,3.0,-9.37,1.0,1.0,300.0
1,1,12,0.34,60.0,51.26,3.0,-25.0,1.0,1.0,300.0
1,1,13,0.34,60.0,57.72,3.0,-25.0,1.0,1.0,300.0
1,1,14,0.35,60.0,56.49,3.0,-25.0,1.0,1.0,300.0
1,1,15,0.34,60.0,58.07,3.0,-25.0,1.0,1.0,300.0
1,1,16,0.35,60.0,56.44,3.0,-25.0,1.0,1.0,300.0
1,1,17,0.34,60.0,55.8,3.0,-25.0,1.0,1.0,300.0
1,1,18,0.34,60.0,49.13,3.0,-25.0,1.0,1.0,300.0
1,1,19,0.34,60.0,50.26,3.0,-25.0,1.0,1.0,300.0
2,0,0,0.35,42.09,54.61,3.0,-19.18,3.27,10.0,100.0
2,0,1,0.25,40.0,51.63,0.13,-20.47,3.89,10.0,100.0
2,0,2,0.28,40.0,42.89,1.05,-5.16,3.55,10.0,100.0
2,0,3,0.36,40.0,40.0,3.0,0.0,5.0,10.0,100.0
2,0,4,0.36,40.0,40.0,3.0,0.0,5.0,10.0,100.0
2,0,5,0.35,40.0,40.0,3.0,0.0,1.38,10.0,100.0
2,0,6,0.36,42.04,40.0,3.0,0.0,3.57,10.0,100.0
2,0,7,0.35,40.0,40.0,3.0,0.0,3.2,10.0,100.0
2,0,8,0.34,40.0,45.85,3.0,0.0,1.0,10.0,100.0
2,0,9,0.34,40.0,49.07,3.0,0.0,1.0,10.0,100.0
2,0,10,0.3,40.0,40.0,1.23,0.0,1.0,10.0,100.0
2,0,11,0.25,40.0,40.0,0.1,0.0,1.0,10.0,100.0
