update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.27,60.0,52.93,1.13,-21.48,1.29,6.97,199.03
0,0,1,0.23,60.0,51.47,0.33,-21.69,1.0,4.26,100.0
0,0,2,0.22,59.53,49.02,0.1,-14.97,1.21,8.05,151.78
0,0,3,0.27,60.0,41.69,0.1,-18.45,3.56,8.95,119.87
0,0,4,0.23,60.0,57.4,0.1,-20.07,2.59,5.25,170.01
0,0,5,0.21,60.0,50.16,0.1,-4.51,1.82,3.71,141.71
0,0,6,0.2,60.0,58.82,0.1,-1.58,1.0,1.0,130.79
0,0,7,0.17,60.0,60.0,0.1,-6.54,1.0,1.0,156.47
0,0,8,0.18,60.0,60.0,0.1,-12.68,1.0,1.0,173.69
0,0,9,0.18,60.0,60.0,0.1,0.0,1.0,1.0,170.63
0,0,10,0.19,60.0,60.0,0.1,0.0,1.0,1.0,111.62
0,0,11,0.18,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,12,0.22,60.0,46.61,0.1,0.0,1.0,1.0,100.0
0,0,13,0.22,60.0,45.55,0.1,0.0,1.0,1.0,161.99
0,0,14,0.2,60.0,53.45,0.1,0.0,1.0,1.0,239.93
0,0,15,0.21,60.0,53.13,0.1,0.0,1.0,1.0,249.15
0,0,16,0.23,60.0,44.66,0.1,0.0,1.0,1.0,222.98
0,0,17,0.2,60.0,50.67,0.1,0.0,1.0,1.0,216.6
0,0,18,0.19,60.0,60.0,0.1,0.0,1.0,1.0,135.92
0,0,19,0.18,60.0,57.86,0.1,0.0,1.0,1.0,100.0
0,1,0,0.28,49.7,46.57,1.04,0.0,3.47,10.0,217.31
0,1,1,0.28,53.98,40.55,1.0,0.0,2.85,10.0,192.37
0,1,2,0.3,54.69,55.6,1.99,0.0,1.0,9.79,199.14
0,1,3,0.35,49.75,56.82,3.0,-0.3,1.0,10.0,100.0
0,1,4,0.32,43.68,55.9,2.34,-2.75,1.0,9.0,100.0
0,1,5,0.28,40.0,60.0,1.14,-12.24,2.33,6.58,100.0
0,1,6,0.27,40.0,60.0,1.03,-21.44,1.04,2.52,100.0
0,1,7,0.34,40.0,60.0,2.43,-23.19,1.81,3.31,100.0
0,1,8,0.33,42.44,60.0,3.0,-25.0,1.0,4.03,100.0
0,1,9,0.33,40.0,60.0,2.65,-25.0,1.0,10.0,111.24
0,1,10,0.32,40.0,60.0,2.29,-25.0,1.0,10.0,140.85
0,1,11,0.34,40.0,60.0,2.42,-25.0,2.57,10.0,120.92
0,1,12,0.29,40.0,60.0,1.35,-25.0,1.0,9.49,100.0
0,1,13,0.3,40.0,60.0,0.86,-25.0,2.9,5.35,128.51
0,1,14,0.3,40.0,60.0,0.46,-25.0,4.57,6.96,122.86
0,1,15,0.3,40.0,60.0,0.94,-25.0,4.69,10.0,173.22
0,1,16,0.26,40.0,60.0,0.1,-25.0,5.0,10.0,125.61
0,1,17,0.28,40.0,60.0,0.1,-25.0,4.36,10.0,137.06
0,1,18,0.28,40.0,60.0,0.1,-25.0,5.0,10.0,100.0
