score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3207,50.78,48.86,2.8,-23.99,3.93,6.53,105.67
0.324,45.86,48.01,2.91,-23.21,4.13,5.28,125.97
0.3051,55.05,49.91,2.55,-24.9,3.66,7.91,165.33
0.3277,43.07,45.92,2.95,-23.82,4.35,2.47,203.82
0.3305,51.44,41.55,2.93,-22.23,2.97,1.27,181.16
0.3256,53.1,46.12,2.99,-22.28,3.26,2.65,159.09
0.3054,44.61,41.63,2.86,-9.07,2.48,5.53,119.38
0.2982,45.32,49.68,2.76,-5.65,4.07,1.83,121.41
0.3114,40.62,48.79,2.65,-23.22,4.32,5.83,276.55
0.3155,47.03,48.12,2.75,-22.3,2.79,6.79,127.94
