score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.31,42.63,45.59,2.76,-20.57,2.85,6.25,271.88
0.31,42.63,45.59,2.76,-20.57,2.85,6.25,271.88
0.33,49.03,40.15,2.76,-23.1,2.85,1.49,251.41
0.33,49.03,40.15,2.76,-23.1,2.85,1.49,251.41
0.34,54.15,40.15,2.76,-23.1,2.85,5.88,155.26
0.34,54.15,40.15,2.76,-23.1,2.85,5.88,155.26
0.34,54.15,40.15,2.76,-23.1,4.45,5.88,155.26
0.35,54.15,40.15,2.84,-23.05,4.75,5.88,155.26
0.35,54.15,40.15,2.84,-23.05,4.75,5.88,155.26
0.35,54.15,40.15,2.84,-23.05,4.75,5.88,155.26
0.35,52.55,40.15,2.84,-23.05,4.75,1.56,120.52
