update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.23,60.0,45.91,0.1,-12.67,4.17,2.41,277.31
0,0,1,0.28,60.0,41.77,0.1,-25.0,5.0,1.08,100.0
0,0,2,0.29,57.68,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,3,0.32,60.0,40.0,1.76,-25.0,5.0,4.45,100.0
0,0,4,0.29,60.0,40.0,0.98,-25.0,5.0,6.68,100.0
0,0,5,0.28,60.0,40.0,0.2,-25.0,5.0,1.06,100.0
0,0,6,0.29,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,7,0.28,60.0,40.0,0.1,-25.0,4.94,1.0,147.16
0,0,8,0.28,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,9,0.29,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,10,0.28,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,11,0.28,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,12,0.3,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,13,0.29,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,0,14,0.29,60.0,40.0,0.1,-25.0,5.0,1.0,100.0
0,1,0,0.31,46.72,45.41,3.0,-16.1,5.0,1.0,103.69
0,1,1,0.32,40.0,40.0,3.0,-17.82,5.0,1.0,161.84
0,1,2,0.34,40.0,46.6,3.0,-25.0,5.0,1.0,100.0
0,1,3,0.35,40.0,49.36,3.0,-25.0,5.0,1.0,100.0
0,1,4,0.32,40.0,59.86,3.0,-22.61,5.0,1.0,100.0
0,1,5,0.31,40.0,55.57,3.0,-20.1,5.0,1.0,100.0
0,1,6,0.33,40.0,56.98,3.0,-22.93,5.0,1.0,116.93
0,1,7,0.32,40.0,60.0,3.0,-23.29,5.0,1.0,182.83
0,1,8,0.31,40.0,60.0,2.4,-25.0,5.0,1.0,219.2
0,1,9,0.31,40.0,60.0,2.92,-25.0,5.0,1.0,234.48
0,1,10,0.33,40.0,60.0,3.0,-25.0,5.0,1.0,100.0
0,1,11,0.34,40.0,60.0,3.0,-25.0,5.0,1.0,105.51
0,1,12,0.32,40.0,60.0,3.0,-25.0,5.0,1.0,244.3
0,1,13,0.31,40.0,60.0,3.0,-25.0,5.0,1.0,300.0
0,1,14,0.31,40.0,60.0,2.69,-25.0,5.0,1.0,283.52
0,2,0,0.29,54.12,40.0,2.21,0.0,4.17,3.6,132.06
0,2,1,0.25,55.34,40.2,0.89,0.0,2.45,1.65,300.0
0,2,2,0.3,54.39,47.41,2.71,0.0,4.12,1.0,300.0
0,2,3,0.31,47.96,44.3,3.0,0.0,2.04,1.0,300.0
0,2,4,0.23,60.0,43.14,1.0,0.0,4.59,1.0,300.0
0,2,5,0.15,60.0,60.0,0.1,0.0,5.0,1.0,300.0
0,2,6,0.14,60.0,60.0,0.1,0.0,5.0,1.0,300.0
0,2,7,0.14,60.0,60.0,0.1,0.0,5.0,1.0,300.0
0,2,8,0.16,60.0,55.24,0.1,0.0,5.0,5.61,300.0
0,2,9,0.14,60.0,60.0,0.1,0.0,5.0,2.44,300.0
0,2,10,0.16,60.0,60.0,0.1,-3.99,5.0,5.95,300.0
0,2,11,0.15,60.0,60.0,0.1,0.0,5.0,10.0,300.0
0,2,12,0.14,60.0,60.0,0.1,0.0,5.0,10.0,300.0
0,2,13,0.14,60.0,60.0,0.1,-5.44,5.0,10.0,300.0
0,2,14,0.2,60.0,60.0,0.1,-15.18,5.0,10.0,300.0
1,0,0,0.29,42.83,54.31,3.0,-15.53,1.0,9.98,199.37
1,0,1,0.26,40.0,47.23,1.85,-21.38,1.0,8.71,189.17
1,0,2,0.3,40.0,43.25,3.0,-13.31,1.0,5.86,300.0
1,0,3,0.31,40.0,40.0,3.0,-18.22,1.0,3.13,113.21
1,0,4,0.31,40.0,40.57,3.0,-8.71,1.0,3.72,274.03
1,0,5,0.31,40.0,40.0,3.0,-21.24,1.0,4.54,300.0
1,0,6,0.32,40.0,40.0,3.0,-21.28,1.0,2.66,300.0
