score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.27,50.39,46.25,2.54,-19.67,4.2,8.07,137.48
0.28,50.48,58.59,2.9,-3.88,3.37,1.8,202.98
0.3,53.1,41.74,2.9,-23.79,3.37,4.87,108.68
0.3,53.1,41.74,2.9,-23.79,3.37,4.87,108.68
0.3,53.1,41.74,2.9,-23.79,3.33,4.87,108.68
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
0.31,41.3,41.74,2.9,-23.79,3.37,4.87,201.05
