score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.21,58.95,41.03,0.73,-5.78,2.45,8.22,261.37
0.24,54.21,57.85,1.58,-22.77,3.83,4.85,243.49
0.23,55.25,43.29,0.77,-22.32,2.89,2.05,295.05
0.26,57.12,59.4,2.51,-5.22,2.41,3.3,276.61
0.22,51.76,54.12,0.55,-21.62,3.6,8.3,108.37
0.22,59.15,46.95,1.1,-12.58,4.73,6.77,173.71
0.22,46.9,48.2,1.13,-0.99,2.34,3.23,298.75
0.23,59.49,55.28,1.82,-8.3,1.51,4.03,220.57
0.2,54.18,43.08,0.8,-8.03,1.02,4.13,184.37
0.11,54.82,56.09,0.11,-8.11,3.52,7.37,291.97
0.24,44.88,44.53,1.26,-3.41,2.73,5.76,228.06
0.19,52.58,55.81,0.76,-0.77,1.79,7.93,132.12
0.18,51.21,52.15,0.2,-12.75,2.57,5.26,275.07
0.19,53.11,45.04,0.43,-15.13,3.2,8.42,139.21
0.19,43.39,40.72,0.14,-16.28,4.96,9.25,169.38
0.27,50.39,46.25,2.54,-19.67,4.2,8.07,137.48
0.21,42.24,53.25,0.71,-20.89,3.27,6.33,135.07
0.23,53.48,57.61,1.66,-15.31,1.37,2.3,279.14
0.21,57.29,57.96,0.41,-24.87,4.82,9.26,218.67
0.19,40.91,50.89,0.17,-20.72,3.06,9.31,278.9
0.23,42.38,49.51,1.35,-11.97,2.94,8.07,107.78
0.24,46.27,55.49,1.6,-2.73,1.67,2.16,153.94
0.16,44.39,43.13,0.19,-4.93,2.11,2.75,156.07
0.24,45.04,58.98,0.78,-23.23,4.19,9.04,211.53
0.22,41.39,55.8,1.08,-9.14,4.32,1.64,201.71
0.24,59.53,54.5,2.02,-15.63,2.47,6.46,201.91
0.24,53.87,52.47,1.43,-15.12,3.01,4.44,216.95
0.25,41.24,50.07,2.04,-12.26,1.36,2.9,121.45
0.27,57.08,41.29,2.72,-16.55,4.75,6.83,174.75
0.24,53.67,41.33,1.64,-14.15,4.74,1.36,103.91
