update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.21,60.0,54.12,0.96,-25.0,1.0,7.56,198.64
0,0,1,0.12,60.0,56.6,0.17,-22.89,1.0,3.02,100.0
0,0,2,0.1,60.0,55.4,0.1,-10.96,1.0,9.19,100.0
0,0,3,0.17,60.0,48.56,0.1,-13.68,2.91,9.76,100.0
0,0,4,0.18,60.0,60.0,0.1,-15.53,1.8,2.16,100.0
0,0,5,0.09,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,6,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,7,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,8,0.11,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,9,0.09,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,10,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,11,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,12,0.11,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,13,0.1,60.0,58.53,0.1,0.0,1.0,1.0,100.0
0,0,14,0.11,60.0,60.0,0.1,0.0,1.0,1.0,148.36
0,0,15,0.1,60.0,60.0,0.1,0.0,1.0,1.0,183.14
0,0,16,0.12,60.0,51.48,0.1,0.0,1.0,1.0,163.36
0,0,17,0.11,60.0,57.1,0.1,0.0,1.0,1.0,161.47
0,0,18,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,19,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,1,0,0.2,49.58,45.18,0.83,0.0,3.66,10.0,224.33
0,1,1,0.22,57.88,40.0,0.73,0.0,3.18,10.0,194.62
0,1,2,0.24,59.96,55.91,1.78,0.0,1.0,10.0,185.67
0,1,3,0.27,54.22,57.19,2.83,0.0,1.0,10.0,100.0
0,1,4,0.24,48.28,55.34,2.22,0.0,1.0,10.0,100.0
0,1,5,0.21,46.17,60.0,1.08,-0.31,1.99,6.9,100.0
0,1,6,0.23,40.0,60.0,1.17,-7.45,1.0,1.0,100.0
0,1,7,0.28,40.0,60.0,3.0,-6.22,1.03,1.11,100.0
0,1,8,0.28,58.53,60.0,3.0,-9.08,1.0,1.3,100.0
0,1,9,0.28,55.22,60.0,3.0,-13.82,1.0,8.47,100.0
0,1,10,0.27,52.71,60.0,3.0,-13.07,1.0,8.15,100.0
0,1,11,0.28,47.54,60.0,3.0,-14.1,1.0,10.0,100.0
0,1,12,0.28,45.17,60.0,3.0,-7.32,1.0,7.24,100.0
0,1,13,0.27,42.66,60.0,2.64,-6.72,1.0,1.67,100.62
0,1,14,0.24,40.0,60.0,1.82,-16.41,2.75,3.79,100.0
0,1,15,0.25,41.57,60.0,2.5,-15.64,2.59,8.27,144.48
0,1,16,0.12,40.0,60.0,0.1,0.0,3.34,8.73,100.0
0,1,17,0.12,40.1,60.0,0.1,0.0,1.91,10.0,100.0
0,1,18,0.12,43.61,60.0,0.1,0.0,3.36,10.0,100.0
0,1,19,0.1,53.4,60.0,0.1,0.0,5.0,10.0,100.0
1,0,0,0.09,56.55,60.0,0.1,0.0,2.66,10.0,100.0
1,0,1,0.12,56.21,60.0,0.1,0.0,1.92,9.17,100.0
1,0,2,0.11,55.01,60.0,0.1,0.0,1.4,5.19,100.0
1,0,3,0.14,40.49,55.6,0.1,0.0,2.74,1.0,100.0
1,0,4,0.12,40.0,60.0,0.1,0.0,4.82,1.0,100.0
1,0,5,0.12,40.65,60.0,0.1,0.0,3.89,1.0,100.0
1,0,6,0.14,55.16,60.0,0.1,-8.08,4.29,1.0,100.0
1,0,7,0.18,60.0,60.0,0.1,-15.46,4.47,1.0,100.0
1,0,8,0.21,60.0,59.93,0.1,-21.67,4.13,1.0,100.0
1,0,9,0.11,60.0,60.0,0.1,0.0,3.63,1.0,100.0
1,0,10,0.11,60.0,60.0,0.1,0.0,2.71,1.0,100.0
1,0,11,0.11,60.0,60.0,0.1,0.0,1.49,1.0,100.0
1,0,12,0.11,50.06,60.0,0.1,0.0,1.0,1.0,100.0
1,0,13,0.11,54.93,60.0,0.1,0.0,1.0,1.0,100.0
1,0,14,0.12,44.43,60.0,0.1,0.0,1.0,1.0,100.0
