update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.23,60.0,52.93,1.13,-21.48,1.29,6.97,199.03
0,0,1,0.18,60.0,55.19,0.56,-21.98,1.01,3.54,100.0
0,0,2,0.13,52.66,56.07,0.1,-13.0,1.44,8.63,100.0
0,0,3,0.19,60.0,51.5,0.1,-16.0,3.98,9.16,100.0
0,0,4,0.18,60.0,60.0,0.1,-19.71,3.36,3.84,100.0
0,0,5,0.1,60.0,60.0,0.1,-2.79,2.8,1.71,100.0
0,0,6,0.1,60.0,60.0,0.1,0.0,1.2,1.0,100.0
0,0,7,0.11,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,8,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,9,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,10,0.1,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,11,0.11,59.17,60.0,0.1,0.0,1.0,1.0,100.0
0,0,12,0.1,56.52,60.0,0.1,0.0,1.0,1.0,100.0
0,0,13,0.1,59.44,59.14,0.1,0.0,1.0,1.0,100.0
0,0,14,0.11,58.34,60.0,0.1,0.0,1.0,1.0,100.0
0,0,15,0.11,48.31,60.0,0.1,0.0,1.0,2.27,100.0
0,0,16,0.12,44.83,55.44,0.1,0.0,1.0,3.42,100.0
0,0,17,0.12,40.0,59.38,0.1,0.0,1.0,4.71,100.0
0,0,18,0.12,40.0,60.0,0.1,0.0,1.0,3.9,100.0
0,0,19,0.12,40.0,60.0,0.1,0.0,1.0,1.9,100.0
0,1,0,0.22,49.7,46.57,1.04,0.0,3.47,10.0,217.31
0,1,1,0.22,55.25,40.0,0.9,0.0,2.45,10.0,215.24
0,1,2,0.25,55.53,51.3,1.99,0.0,1.0,9.89,234.08
0,1,3,0.28,48.75,53.79,3.0,-1.32,1.0,10.0,119.85
0,1,4,0.27,41.72,52.79,2.7,-0.18,1.0,10.0,100.0
0,1,5,0.25,40.0,60.0,2.01,-5.8,1.0,8.79,100.0
0,1,6,0.25,40.0,60.0,2.07,-10.29,1.0,5.37,105.45
0,1,7,0.28,40.0,60.0,3.0,-7.35,1.0,6.78,100.0
0,1,8,0.28,41.82,60.0,3.0,-8.44,1.0,7.59,100.0
0,1,9,0.27,40.0,60.0,3.0,-11.48,1.0,10.0,100.0
0,1,10,0.28,40.0,60.0,3.0,-10.48,1.0,10.0,103.98
0,1,11,0.27,40.0,60.0,3.0,-10.06,1.0,10.0,100.0
0,1,12,0.27,40.0,60.0,2.81,-2.94,1.0,10.0,100.0
0,1,13,0.27,40.0,60.0,2.46,-1.45,1.0,10.0,100.0
0,1,14,0.24,40.0,60.0,1.92,-7.04,1.0,10.0,100.0
