score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4067,27.68,34.27,1.56,-8.89,3.65,4.9,216.79,34.06,39.19,1.91,-12.48,4.88,7.35,90.53,20.44,52.05,1,-2.76,7.52,9.47,196.68,15.83,33.17,1.98,-10.23,3.84,5.27,108.2
0.4357,27.68,32.49,1.56,-7.77,6.97,8.6,216.79,34.06,39.19,1.91,-12.48,4.88,3,57.17,20.44,52,1,-0.62,7.52,9.47,196.68,15.83,33.17,1.98,-12.14,3.84,5.27,108.65
0.4541,27.68,32.49,1.56,-7.77,6.97,4.9,216.79,34.06,34.77,1.91,-12.48,4.88,3,57.17,20.44,35.58,1.26,-1.56,7.52,9.47,73.43,15.83,33.17,0.05,-10.23,3.84,5.27,108.65
0.4761,27.68,32.49,1.56,-14.5,6.97,4.9,216.79,34.06,34.77,1.91,-12.48,4.88,3,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,33.17,1.98,-10.23,3.84,9.16,108.65
0.4836,27.68,32.49,1.56,-14.5,6.97,4.9,216.79,28.52,34.77,1.91,-12.48,4.88,3,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,33.17,1.98,-10.23,3.84,5.27,108.65
0.493,16.18,32.49,1.56,-14.5,6.97,4.9,216.79,34.06,34.77,1.91,-12.48,4.88,3,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,31.52,1.98,-12.14,3.84,5.27,108.65
0.5162,16.18,32.49,1.56,-14.5,6.97,4.9,216.79,19.01,34.77,1.91,-14.93,4.88,3,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,31.52,1.98,-12.14,3.84,5.27,108.65
0.5231,16.18,32.49,1.56,-14.5,6.97,4.9,216.79,19.01,34.77,1.91,-14.93,4.88,3,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,31.52,1.98,-14.5,9.98,5.27,108.65
0.5481,16.18,32.49,1.56,-14.5,7.97,4.9,216.79,19.01,34.77,1.91,-14.93,4.88,0.17,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,196.68,15.83,31.52,1.98,-14.5,9.98,5.27,108.65
0.5687,16.18,32.49,1.56,-14.5,6.97,4.9,216.79,19.01,31.18,1.91,-14.93,4.88,0.17,57.17,20.44,35.58,1.26,-0.62,7.52,9.47,96.99,15.83,31.52,1.98,-14.5,9.98,5.27,108.65
