score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.395,25.69,43.03,1.9,-13.18,5.26,5.13,66.65,18.32,32.43,0.98,-0.32,2.64,8.59,172.39,15.81,41.52,1.15,-4.22,3.16,9.12,170.65,57.04,32.3,1.15,-11.57,3.82,4.07,206.55
0.425,57.33,32.26,1.9,-4.91,5.26,5.13,190.0,19.88,32.43,0.98,-5.5,6.22,0.35,199.41,15.81,32.9,1.15,-11.97,9.18,7.73,170.65,17.82,32.3,1.14,-5.49,3.82,4.07,122.25
0.462,57.33,32.26,0.94,-13.18,5.26,5.13,66.65,19.88,32.43,0.98,-13.77,6.22,0.35,199.41,15.81,32.9,1.15,-11.97,9.18,9.12,170.65,17.82,35.2,1.14,-11.57,4.37,3.17,206.55
0.472,57.33,32.26,1.9,-13.18,5.85,5.13,66.65,19.88,32.43,1.79,-13.77,6.22,0.35,199.41,15.81,32.9,1.15,-11.97,9.18,9.12,170.65,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.488,57.33,32.26,1.9,-13.18,5.85,5.13,66.65,19.88,32.43,0.98,-13.77,6.22,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,9.12,170.65,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.5,57.33,32.26,1.9,-13.18,5.85,5.13,66.65,19.88,32.43,1.79,-13.77,6.22,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,3.32,276.51,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.508,57.33,32.26,1.9,-13.18,5.85,3.49,66.65,17.36,32.43,1.79,-13.77,6.22,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,9.12,276.51,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.514,57.33,32.26,1.9,-13.18,8.87,3.49,66.65,17.36,32.43,1.79,-13.77,9.01,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,3.32,276.51,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.519,23.01,32.26,1.9,-13.18,8.87,3.49,66.65,17.36,32.43,1.79,-13.77,9.01,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,3.32,276.51,17.82,32.3,1.14,-11.57,4.37,3.17,206.55
0.522,23.01,32.26,1.9,-13.18,8.87,3.49,66.65,17.36,32.43,1.79,-13.77,9.01,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,3.32,276.51,15.73,32.3,1.14,-4.42,4.37,3.17,206.55
0.524,23.01,32.26,1.9,-13.18,9.62,3.49,66.65,17.36,32.43,1.79,-13.77,9.01,0.35,54.14,15.81,32.9,1.15,-11.97,9.18,3.32,276.51,15.73,32.3,1.29,-4.42,4.37,3.17,206.55
