score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.511,35.19,53.66,1.32,-14.6,8.29,4.39,277.01,22.65,36.41,0.84,-13.56,7.02,0.54,60.17,41.61,42.45,1.67,-13.92,9.31,9.81,217.19,16.88,52.21,1.33,-8.88,6.83,1.37,127.81
0.5512,35.19,53.66,1.32,-14.6,8.29,8.1,55.17,22.65,32.54,1.7,-12.99,7.92,0.54,60.17,17.52,42.45,1.31,-12.14,9.31,9.81,217.19,16.88,52.21,1.33,-8.88,6.83,1.37,231.06
0.5652,35.19,53.66,1.32,-14.6,8.29,3.37,55.17,22.65,32.54,1.7,-12.87,7.92,0.54,60.17,17.52,38.99,1.67,-12.14,9.31,2.54,217.19,18.24,52.21,1.33,-8.88,7.77,1.37,127.81
0.5847,35.19,35.92,1.32,-14.6,8.29,3.37,55.17,22.65,32.54,1.7,-13.56,7.92,0.54,60.17,17.52,38.99,1.67,-12.14,9.31,2.54,217.19,18.24,52.21,1.33,-8.88,6.83,5.58,231.06
0.6041,18.24,35.92,1.83,-14.6,8.29,3.37,55.17,22.65,32.54,1.7,-13.56,7.92,0.54,60.17,17.52,38.99,1.67,-12.14,9.31,2.54,217.19,18.24,52.21,1.33,-8.88,7.77,5.58,127.81
0.6145,18.24,35.92,1.83,-14.6,8.29,3.37,55.17,22.65,32.54,1.7,-13.56,7.92,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,52.21,1.33,-8.88,7.77,5.58,127.81
0.6278,18.24,35.92,1.83,-14.6,8.29,3.37,55.17,22.65,32.54,1.7,-13.56,7.92,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,33.24,0.77,-8.88,7.77,5.58,127.81
0.6283,18.24,35.92,1.74,-14.6,9.9,3.37,55.17,22.65,32.54,1.7,-13.56,7.92,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,33.24,0.77,-8.88,7.77,5.58,127.81
0.6317,18.24,35.92,1.83,-14.6,9.9,3.37,55.17,22.65,32.54,1.7,-13.56,8.8,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,33.24,1.0,-8.88,7.77,5.58,127.81
0.6335,18.24,35.92,1.83,-14.6,9.9,3.37,55.17,17.52,32.54,1.7,-13.56,8.8,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,33.24,0.35,-8.88,7.77,5.58,127.81
0.6371,18.24,32.13,1.83,-14.6,9.9,3.37,55.17,22.65,32.54,1.7,-13.56,8.8,0.54,60.17,17.52,31.14,1.67,-12.14,9.31,2.54,217.19,18.24,33.24,0.35,-8.88,7.77,5.58,127.81
