score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4643,41.15,55.28,0.62,-14.44,1.07,3.64,191.2,19.5,31.89,0.86,-13.65,6.71,9.23,103.8,29.62,31.86,1.85,-4.07,7.91,3.84,266.96,35.01,38.66,1.6,-13.2,7.65,8.45,85.19
0.5272,53.18,40.31,0.5,-14.44,5.48,2.56,258.22,19.5,31.89,0.86,-13.65,7.25,0.18,103.8,29.62,31.86,1.36,-4.07,5.36,5.61,266.96,35.01,36.41,1.6,-11.4,4.8,6.33,124.72
0.5468,53.18,30.54,0.5,-14.44,7.33,2.56,289.11,19.5,31.89,1.37,-11.61,7.25,0.18,103.8,29.62,31.86,1.36,-4.07,5.36,5.61,67.88,40.92,36.41,1.6,-11.4,4.8,6.33,124.72
0.5774,53.18,30.54,0.62,-14.44,7.33,2.56,289.11,19.5,31.89,1.37,-13.65,6.71,0.18,103.8,29.62,31.86,1.85,-4.07,5.36,6.53,67.88,19.04,36.41,1.6,-13.2,4.8,8.45,124.72
0.58,53.18,30.54,0.62,-14.44,7.33,2.56,258.22,19.5,31.89,1.37,-13.65,7.25,0.18,103.8,29.62,31.86,1.85,-4.07,7.91,5.61,67.88,19.04,36.41,1.6,-13.2,1.25,8.45,85.0
0.5903,53.18,30.54,0.62,-14.44,7.33,2.56,258.22,19.5,31.89,0.86,-13.65,7.25,0.18,103.8,15.54,31.86,1.85,-4.07,7.91,6.53,67.88,19.04,36.41,1.6,-13.2,1.25,8.45,85.0
0.6031,53.18,30.54,1.68,-14.44,7.33,2.56,258.22,19.5,31.89,1.37,-13.65,7.25,0.18,103.8,15.54,31.86,1.85,-8.2,7.91,6.53,67.88,19.04,36.41,1.6,-13.2,1.25,8.45,85.0
0.6099,22.27,30.54,1.68,-14.44,7.33,2.56,258.22,19.5,31.89,1.34,-14.02,7.25,0.18,103.8,15.54,31.86,1.85,-8.2,7.91,6.53,67.88,19.04,36.41,1.6,-13.2,1.25,8.45,85.0
0.6172,22.27,30.54,1.68,-14.44,7.33,2.56,258.22,19.5,31.89,1.34,-14.02,7.25,0.18,103.8,15.54,30.56,1.85,-8.2,7.91,6.53,67.88,19.04,32.91,1.6,-13.2,1.25,8.45,85.0
0.6278,22.27,30.54,1.68,-14.44,7.33,0.44,89.87,19.5,31.89,1.34,-14.02,7.25,0.18,103.8,15.54,30.56,1.85,-8.2,7.91,6.53,67.88,19.04,32.91,1.6,-13.2,1.25,8.45,85.0
