score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3631,59.16,45.25,0.08,-2.24,2.94,0.61,258.88,18.92,58.56,0.3,-12.6,9.91,0.4,158.43,33.53,56.92,0.45,-12.05,4.06,4.21,231.06,35.66,49.93,1.46,-11.09,3.12,6.36,128.02
0.3385,19.17,32.57,1.7,-12.74,1.55,5.58,225.07,17.94,54.78,0.16,-7.37,8.85,8.19,97.66,24.76,44.45,0.67,-1.49,4.49,2.7,52.9,45.38,46.08,0.6,-13.55,2.49,7.45,260.81
0.3476,33.76,53.41,1.89,-11.56,2.16,6.27,261.21,56.16,38.5,1.69,-8.56,6.22,3.2,74.48,43.1,31.13,1.06,-0.56,5.34,3.29,243.98,35.68,45.46,1.57,-12.45,5.71,4.98,241.36
0.3077,54.76,59.27,0.86,-12.16,1.82,3.8,294.71,58.99,49.86,1.74,-3.05,8.07,0.48,192.83,56.24,30.8,1.18,-4.32,8.43,7.15,271.07,17.64,36.42,0.43,-8.62,9.28,6.69,270.77
0.2645,49.51,46.97,0.81,-2.17,7.54,9.23,158.8,35.11,55.41,0.73,-3.77,3.71,1.85,95.25,38.37,44.82,0.45,-5.99,4.17,8.18,261.83,37.34,36.29,1.87,-13.34,5.89,9.53,208.79
0.3039,56.89,34.81,1.06,-11.85,3.03,4.63,101.43,39.34,43.59,0.49,-7.92,8.24,6.86,255.03,39.04,40.57,1.13,-4.53,2.78,3.86,148.3,16.5,59.57,0.1,-3.25,7.81,4.95,112.45
0.3492,50.48,37.73,0.97,-7.52,6.62,6.52,173.72,26.72,51.44,0.31,-2.65,6.15,5,174.17,45.05,32.32,0.77,-15,7.67,3.65,97.85,30.87,42.22,1.83,-4.8,8.98,2.22,200.29
0.3014,24.26,48.12,0.67,-6.97,9.62,1.83,127.41,38.45,39.03,0.47,-0.04,6.81,2.27,241.89,54.72,41.13,0.69,-4.27,9.7,3.32,149.71,19.11,42.57,0.98,-13.42,1.64,1.96,231.59
0.3487,46.48,31.88,1.14,-6.98,1.57,5.72,178.75,49.9,41.19,1.42,-9.5,7.23,0.8,227.63,42.41,55.96,1.02,-1.18,1.31,8.1,262.48,19.3,36.22,1.24,-7.86,8.89,1.94,173.75
0.4012,27.84,32.49,0.86,-7.77,6.97,8.6,243.28,51.59,34.77,1.13,-11.2,5.86,3,57.17,22.74,52,1.26,-0.62,8.54,4.4,73.43,16.72,47.26,0.05,-6.19,7.56,9.16,108.65
0.3673,39.4,41.73,1.73,-8.26,9.76,1.16,164.76,46.71,31.14,1.13,-3.73,5.03,2.24,278.81,29.94,35.86,1.93,-5.45,9.96,2.26,85.23,24.75,36.78,1.04,-6.84,4.61,6.12,119.16
0.4067,27.68,34.27,1.56,-8.89,3.65,4.9,216.79,34.06,39.19,1.91,-12.48,4.88,7.35,90.53,20.44,52.05,1,-2.76,7.52,9.47,196.68,15.83,33.17,1.98,-10.23,3.84,5.27,108.2
0.3475,57.48,45.23,0.32,-3.4,6.99,8.75,165.49,22.29,39.13,0.3,-9.82,6.6,3.14,263.01,39.79,30,0.33,-12.69,6.7,5.54,216.78,55.75,31.46,0.17,-8.05,4.15,8.58,153.84
0.2819,30.44,44.06,0.13,-2.47,5.41,5.01,215.82,30.7,52.25,1.36,-8.22,7.28,3.28,203.97,54.72,55.08,0.71,-8.12,6.24,4.25,112.86,42.34,50.69,1.07,-3.86,5.01,1.27,81.55
0.3549,19.03,39.22,0.98,-8.3,5.41,1.51,202.37,46.9,42.16,1.15,-3.65,8.79,1.38,275.92,15.88,43.83,1.21,-13.96,1.05,3.92,228.98,45.6,35.23,1.48,-7.5,5.7,2.45,150.12
0.3307,49.89,32.97,1.23,-13.07,8.28,2.11,147.95,25.34,58.4,0.03,-13.76,1.4,0.3,240.95,39.3,59.74,1.27,-4.98,1.67,5.15,184.46,30.61,32.78,0.59,-6.13,8.48,8.93,64.39
0.2749,57.98,43.42,0.12,-9.24,9.56,6.19,252.22,25.53,54.3,0,-10.09,6.61,3.74,244.13,37.08,53.63,1.08,-12.08,6.47,2.8,227.14,57.29,47.24,1.51,-9.35,8.97,6.54,185
0.321,55.5,44.02,0.11,-4.57,9.03,0.33,192.29,45.94,40.62,0.96,-10.35,9.43,4.26,60.94,51.34,33.67,1.44,-4.6,5.02,4.78,211.82,51.49,38.62,1.79,-1.19,5.23,5.27,50.79
0.3609,17.09,52.8,0.5,-0.99,9.83,6.63,206.96,36.23,34.64,0.72,-12.53,7.82,7.16,228.34,21.55,44.33,1.25,-5.19,8.32,2.65,206.6,26.24,33.47,0.46,-2.57,6.56,8.78,291.4
0.3344,38.31,39.63,0.74,-11.64,2.28,6.03,75.1,43.62,39.78,1.81,-11.22,6.67,3.49,298.43,51.96,31.67,0.2,-14.7,5.59,5.2,239.95,30.79,43.09,0.08,-13.56,9.26,0.6,209.29
0.2938,41.15,55.85,0.38,-14.21,5.74,8.8,57.06,47.7,53.54,0.94,-1.24,1.71,9.99,192.04,19.93,50.24,0.89,-6.79,4.47,7.76,89.93,18.96,48.37,1.13,-5.14,3.47,9.97,145.4
0.3235,31.35,44.32,1.79,-10.85,3.35,9.4,103.71,21,57.11,1.33,-12.35,1.47,1.11,213.51,54.17,39.21,0.32,-6.56,9.69,4.43,76.17,33.61,38.98,0.72,-10.38,9.81,9.69,154.82
0.3692,16.96,58.25,0.83,-1.78,9.21,5.77,281.79,47.87,43,1.5,-11.97,9.6,8.34,283.96,15.34,45.71,1.94,-14.58,6.52,3.27,181.88,44.29,35.32,0.11,-1.55,8.27,9.84,234.42
0.3781,24.12,33.46,1.98,-11.95,9.41,0.2,61.68,39.79,45.92,1.69,-0.86,4.99,9.21,129.71,43.9,54.27,1.43,-4.93,8.17,9.95,94.16,57.18,59.94,1.11,-10.43,6.86,8.97,203.38
0.2959,34.06,43.96,0.54,-5.34,5.22,4.36,176.3,52.35,33.21,0.13,-1.63,2.23,0.92,50.18,56.94,47.87,1.79,-1.07,3.04,1.5,238.49,15.88,45.88,1.99,-3.09,2.24,2.73,284.72
0.3321,36.57,44.4,0.19,-0.36,7.99,0.53,191.05,40.9,48.97,0.23,-13.63,5.24,0.42,123.18,38.8,56.24,0.99,-2.01,8.33,7.99,149.6,30.18,32.86,1.69,-4.79,4.96,3.33,93.81
0.3675,19.01,54.77,1.21,-9.83,8.28,3.41,244.06,39.86,32.62,0.53,-13.22,1.06,5.47,297.41,21.39,35.95,0.72,-10.98,4.59,2.94,276.6,20.86,56.33,1.39,-7.69,2.15,2.94,114.09
0.3335,50.92,41.89,1.73,-4.19,2.76,6.29,236.29,49.11,40.85,1.04,-12.49,9.85,5.92,210.29,20.81,51.72,1.4,-0.04,8.83,8.41,177.34,57.02,54.96,1.6,-3.38,8.26,6.74,296.52
0.2978,35.85,47.48,0.22,-4.25,3.39,1.82,190.6,18.06,52.53,1.45,-1.81,3.79,8.91,165.88,39.83,45.4,1.35,-5.93,7.92,2.34,58.3,54.42,50.92,0.89,-4.95,4.93,2.87,81.46
0.3146,15.72,44.26,0.4,-13.99,6.64,6.61,297.53,57.17,51.83,0.07,-9.22,3.23,6.51,194.01,36.2,45.75,0.33,-3.51,9.01,4.27,258.29,31.87,31.17,1.28,-5.61,9.1,5.3,279.77
0.301,53.05,40.97,0.35,-11.19,1.67,2.43,142.77,29.98,38.69,1.64,-3.21,9.08,7.85,210.69,39.31,39.37,1.91,-7.79,6.4,6.94,246.2,25.35,57.59,0.48,-0.22,1.49,2.67,286.85
0.3456,41.62,45.91,0.42,-14.51,5.16,9.62,65.11,18.98,40.27,1.66,-0.17,4.43,4.16,290.28,30.76,53.46,0.97,-12.93,3.21,1.54,104.21,46.22,51,1.04,-6.5,9.03,5.22,253.15
0.3467,53.13,31.98,0.27,-10.88,8.87,5.01,214.18,46.71,36.97,1.6,-6.08,1.32,6.18,119.35,28.86,32.21,0.63,-4.7,5.01,4.06,164.39,56.75,48.73,0.8,-13.61,9.75,3.3,289.21
0.3464,16.96,45.49,1.16,-8.21,1.98,7.1,149.66,21.97,48.94,0.73,-0.09,8.37,1.17,206.06,55.33,32.38,1.02,-12.14,2.77,0.44,221.77,57.09,53.79,1.69,-1.64,7.11,8.11,77.45
0.3518,34.46,35.89,1.85,-3.89,8.49,7.48,150.84,46.27,31.65,1.88,-0.92,7.68,5.04,293.91,29.51,59.92,1.45,-11.91,4.8,4.71,55.37,49.22,47.31,1.86,-10.83,2,8.97,82.09
0.3195,59.44,36.55,1.66,-0.13,7.16,2.26,134.53,45.6,51.01,1.89,-11.49,8.41,4.8,204.49,51.6,37.24,1.55,-3.61,7.28,5.23,201.36,39.51,42.46,0.75,-9.23,1.63,5.55,282.71
0.3515,25.27,45.38,1.23,-1.59,1.89,6.23,224.89,47.67,46.86,1.11,-7.75,1.78,0.73,228.5,16.66,33.2,1.2,-12.22,8.35,5.72,168.95,38.09,37.03,1.14,-10.75,3.77,9.85,59.94
0.2794,19.48,54.17,1.84,-1.02,8.11,8.41,280.29,30.43,48.09,0.27,-1.42,5.86,5.27,187.61,30.43,45.16,0.99,-6.59,1.17,2.61,76.7,30.44,57.88,0.22,-13.57,7.52,7.75,239.38
0.3434,48.52,40.61,0.8,-7.78,2.69,4.5,95.3,29.29,33.71,0.76,-11.67,9.58,9.88,54.45,44.91,50.49,1.45,-7.83,6.25,0.53,171.04,22.93,50.09,0.17,-0.71,9.43,2.77,162.29
0.3289,16.39,47.35,0.54,-9.64,7.18,6.49,139.28,47.78,49.65,0.94,-10,6.61,9.11,79.9,16.88,57.19,0.26,-11.06,7.35,8.13,249.01,54.2,35.13,0.29,-3.3,4.77,4.04,229.42
0.3216,57.07,55.52,1.69,-13.07,6.76,1.7,248.22,33.68,51.55,1.83,-2.57,8.71,0.89,176.31,45.91,38.13,1.79,-12.68,7.66,3.62,190.75,29.98,45.29,0.06,-7.97,6.01,7.87,53.85
0.3003,20.72,51.65,1.21,-11.96,5.6,5.56,76.49,39.75,55.1,0.47,-9.17,5.29,8.82,296.91,49.82,50.41,0.13,-13.24,6,0.79,172.13,51.21,46.35,0.53,-5.87,3.01,7.29,120.08
0.2965,36.52,49.19,1.19,-2.74,1.4,0.54,111.02,21.1,54.26,1.79,-5.64,5.55,6.96,246.71,48.15,52.83,0.23,-9.83,7.82,3.95,62.76,40.75,59.56,1.16,-6.47,7.54,9.42,110.18
0.3753,54.81,31.85,0.71,-3.09,7.45,7.06,112.9,22.15,46.85,1.6,-9.45,3.41,9.53,116.87,27.13,30.8,1.5,-10.98,4.69,7.62,276.09,47.88,35.74,1.81,-2.46,6.35,7,124.49
0.3494,26.61,42.95,1.01,-8.94,2.52,2.61,251.74,54.96,54.46,1.11,-1.31,6.84,1.04,279.6,16.26,54.11,1.85,-13.82,9.75,4.83,154.85,53.83,33.45,1.26,-3.45,8.01,3.58,245.21
0.2886,26.62,48.68,0.19,-13.49,1.76,6.57,137.86,33.09,46.83,1.7,-8.19,1.57,7.59,108.79,44.36,50.6,0.78,-13.1,1.32,8.32,247.83,40.07,30.26,1.77,-5.78,2.6,3.15,73.54
0.2774,31.72,53.13,0.61,-9.57,8.15,6.91,292.62,43.1,51.01,1.05,-5.88,1.6,5.38,167.75,56.83,59.14,0.89,-9.35,4.21,1,288.37,28.04,33.28,1.85,-1.27,3.37,0.28,250.83
0.2438,44.84,41.3,0.73,-2.93,3.28,9.23,144.93,53.8,41.12,1.18,-1.57,6.19,8.65,149.05,35.21,59.6,1.91,-4.35,6.78,4.93,80.64,58.62,57.06,0.39,-1.93,7.04,8.31,234.47
0.3533,47.59,30.25,1.32,-4.75,2.42,9.86,197.19,18.25,38.93,1.32,-0.1,5.74,4.33,103.77,38.53,40.3,1.28,-9.95,6.41,7.19,259.67,44.32,53.73,0.04,-12.67,5.18,1.92,90.35
0.3076,50.54,56.61,0.5,-8.32,8.48,7.76,182.95,42.35,45.51,1.62,-10.79,7.62,4.48,145.55,45.32,39.05,1.7,-1.73,8.27,4.17,203.05,42.67,44.55,0.9,-4.49,1.53,8.38,188.07
0.3106,20.71,33.77,1.74,-8.45,5.97,5.91,75.61,57.61,54.23,0.78,-5.7,3.55,1.31,270.96,41.11,41.04,0.58,-3.98,3.38,3.81,58.82,34.79,59.32,0.8,-6.71,2.01,7.21,248.85
