score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.296,18.34,42.45,0.75,-0.3,4.85,9.3,195.88,57.58,56.51,1.99,-8.56,8.86,5.92,54.99,30.86,46.46,0.07,-5.02,7.63,9.47,143.02,40.19,52.38,1.29,-11.53,4.4,0.62,261.87
0.334,47.84,51.73,1.76,-8.04,7.65,4.71,66.49,19.8,50.41,1.43,-10.13,6.42,9.76,286.95,22.68,39.83,1.36,-3.38,9.26,9.79,275.98,39.41,54.25,1.48,-14.45,5.74,1.2,80.15
0.288,24.3,47.57,1.62,-4.24,4.28,7.94,227.3,32.16,32.88,1.71,-7.42,8.23,6.52,155.95,37.18,52.04,0.18,-6.62,5.33,7.0,195.09,49.3,40.63,0.58,-3.64,4.14,9.28,69.45
0.317,15.45,35.84,0.94,-9.72,8.01,0.23,237.39,58.48,50.68,1.23,-5.1,8.93,2.25,179.4,44.72,51.18,0.59,-10.09,5.85,6.57,110.16,45.17,30.29,0.85,-1.6,9.44,5.2,283.25
0.24,24.9,43.29,0.73,-5.74,3.22,4.69,121.32,36.34,41.14,0.29,-2.68,7.24,4.76,159.6,33.25,45.36,0.07,-9.78,5.23,4.71,80.9,42.15,56.08,0.68,-0.14,4.7,1.51,87.15
0.309,44.94,44.92,0.75,-5.12,1.87,2.32,144.81,15.16,53.66,0.77,-4.01,6.93,7.88,282.0,47.02,33.76,0.62,-3.11,6.07,4.14,171.25,17.92,55.29,0.03,-8.54,2.39,5.7,122.26
0.298,24.02,54.71,1.75,-13.93,6.84,6.31,117.35,55.8,40.79,1.21,-8.22,8.02,9.62,190.74,30.69,58.56,0.17,-8.97,8.68,4.96,281.65,34.05,53.99,1.77,-10.12,1.36,6.78,69.9
0.288,58.78,48.97,0.55,-5.46,9.19,7.42,124.23,57.73,35.98,1.45,-8.52,5.16,1.38,141.44,19.44,55.7,1.78,-3.12,5.1,5.61,157.6,26.65,48.07,0.05,-10.03,9.71,5.31,152.24
0.308,50.07,59.55,0.87,-6.26,1.41,3.68,157.88,15.6,51.18,0.35,-12.48,8.97,5.06,202.58,53.63,40.23,1.66,-6.79,2.74,9.78,181.23,46.61,55.82,0.3,-7.56,2.03,5.2,194.46
0.253,59.54,44.78,1.39,-1.1,6.86,4.26,175.49,53.83,43.05,1.29,-1.39,9.62,5.77,168.38,46.11,38.13,1.13,-2.47,6.92,0.98,199.29,31.91,50.07,1.0,-10.91,1.87,8.93,204.99
0.327,51.26,43.84,0.98,-5.34,6.94,2.66,275.64,19.44,48.75,0.27,-12.51,6.97,4.87,131.11,30.08,46.97,1.49,-11.44,1.12,6.46,77.25,31.96,45.69,1.94,-0.41,4.51,0.29,115.7
0.315,46.15,57.1,1.63,-11.65,8.97,7.37,201.31,20.46,43.42,0.58,-13.18,2.7,9.91,223.92,45.63,48.0,1.82,-3.72,2.67,2.15,77.29,27.94,44.93,1.12,-14.39,7.17,8.34,281.3
0.332,48.65,55.26,1.57,-9.4,3.7,5.55,198.29,27.5,52.14,1.99,-13.95,6.17,8.66,143.8,31.01,50.02,1.7,-11.33,1.52,9.73,136.43,18.63,52.82,0.8,-9.32,7.3,8.88,269.28
0.315,19.04,52.71,1.86,-8.34,8.46,1.94,113.46,57.55,52.86,0.86,-11.82,2.75,8.61,267.39,43.34,31.56,0.71,-7.48,4.37,4.64,169.92,35.66,36.73,1.72,-4.36,5.97,6.8,89.69
0.297,47.6,52.68,0.72,-8.92,9.28,2.01,174.31,29.84,59.49,1.11,-7.61,6.81,2.09,210.72,27.34,35.68,1.17,-12.17,8.25,4.99,54.07,39.52,54.2,1.93,-0.8,3.66,9.84,163.85
0.292,36.98,48.04,0.23,-6.42,2.87,3.91,66.41,43.18,31.22,0.52,-12.55,4.08,6.68,238.26,29.0,43.04,1.35,-11.38,3.33,2.38,186.91,35.08,58.63,1.95,-1.31,3.18,8.25,51.84
0.294,55.96,50.67,0.56,-6.95,1.78,7.1,190.42,40.44,59.05,0.92,-14.86,8.73,5.98,146.0,55.67,45.8,0.23,-10.04,6.66,8.71,123.24,49.78,45.61,1.07,-10.39,5.72,9.09,235.65
0.34,42.34,37.34,1.21,-7.31,4.81,3.63,104.9,17.79,54.28,0.9,-12.05,9.67,1.83,188.42,59.66,56.71,0.19,-7.35,4.45,2.84,194.33,57.15,30.39,0.76,-2.6,7.57,6.82,287.66
0.248,35.17,34.21,1.15,-1.61,8.78,5.73,161.38,50.1,48.17,0.33,-0.79,6.27,4.45,297.46,39.56,35.14,1.81,-5.08,8.99,7.06,122.33,22.86,58.5,0.92,-0.73,9.47,2.42,126.2
0.268,31.23,32.55,0.42,-10.56,6.87,2.65,64.71,44.99,48.75,1.11,-0.28,1.06,0.93,119.4,36.51,39.18,1.25,-9.92,2.13,6.61,262.56,35.13,47.3,0.5,-6.89,5.35,7.38,223.71
0.293,26.22,48.8,1.0,-0.48,5.22,5.03,143.31,50.81,35.02,0.17,-7.0,5.64,4.52,69.69,28.44,32.87,0.39,-9.31,7.91,6.05,158.7,55.0,51.76,1.37,-10.81,8.1,9.41,280.0
0.367,57.33,32.26,1.85,-4.91,5.85,2.27,190.0,19.88,39.95,0.65,-5.5,6.22,0.35,282.46,44.68,32.9,1.12,-11.97,9.18,7.73,267.63,17.82,35.2,1.14,-5.49,4.37,3.17,122.25
0.286,31.72,33.04,0.37,-9.85,6.31,1.02,254.02,49.69,39.39,0.47,-2.48,8.77,0.7,63.66,24.24,53.7,0.94,-11.74,5.76,4.96,284.94,27.68,39.8,0.54,-8.11,7.5,9.29,199.68
