score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.473,17.14,37.34,0.85,-12.99,7.45,2.43,212.28,23.39,36.86,1.05,-5.39,2.12,2.66,243.88,30.68,43.24,1.89,-8.86,2.64,8.68,132.66,43.29,49.3,1.59,-1.63,8.23,4.96,293.86
0.4356,48.94,40.63,1.57,-14.15,7.97,3.8,182.87,29.92,41.9,1.87,-14.56,1.99,9.27,120.87,46.6,39.71,1.29,-13.35,2.68,6.94,77.35,58.93,41.14,1.81,-12.78,5.79,1.91,126.97
0.3192,43.8,59.74,0.95,-7.31,5.52,8.07,272.06,47.92,51.22,0.81,-5.46,1.95,5.6,239.03,26.89,56.63,1.15,-10.69,5.97,1.05,116.02,43.86,39.36,0.53,-3.56,8.94,1.33,260.26
0.3399,58.65,49.39,1.18,-7.55,5.0,4.64,63.96,57.89,34.46,0.79,-6.41,4.35,9.73,219.15,42.84,56.84,1.56,-1.26,3.35,3.02,73.52,28.1,59.11,1.79,-13.32,2.83,7.65,130.61
0.3669,26.25,50.77,1.84,-7.64,5.83,2.15,214.56,54.44,37.84,1.08,-10.12,4.88,5.08,289.98,54.41,41.09,1.11,-3.07,9.8,3.05,53.87,44.17,54.48,0.15,-9.37,4.25,7.57,168.89
0.4245,55.69,43.26,1.62,-12.69,9.95,0.4,61.31,29.46,43.01,1.29,-9.21,6.57,5.53,166.24,58.98,43.35,0.6,-4.78,8.31,1.21,287.86,30.12,37.94,0.5,-3.78,5.77,9.1,50.18
0.3691,38.58,47.01,1.88,-10.41,4.37,4.16,186.45,43.72,30.17,0.52,-1.29,3.46,1.29,90.97,43.88,37.91,0.24,-2.74,7.28,3.59,297.47,37.33,58.27,0.05,-13.45,5.81,6.81,111.27
0.4337,15.47,52.43,0.11,-12.79,2.01,5.95,53.99,44.44,39.67,1.65,-6.44,5.5,1.27,144.42,45.41,39.5,0.91,-14.37,7.48,0.34,82.14,37.3,35.96,1.26,-14.45,8.99,6.04,255.89
0.3984,29.66,40.8,0.09,-14.12,4.23,3.05,101.1,42.33,31.35,0.61,-5.81,5.04,5.92,126.02,45.9,36.33,0.02,-5.91,7.63,9.05,257.68,47.11,49.26,1.76,-8.92,7.05,6.94,141.12
0.4524,26.8,47.08,0.24,-13.8,9.8,3.53,280.78,21.84,42.85,1.74,-12.53,9.23,5.64,118.33,58.51,49.8,0.37,-14.12,7.98,8.16,188.07,16.86,52.27,0.72,-7.47,8.31,8.88,264.97
0.4147,29.04,31.41,0.42,-7.28,5.61,9.9,261.15,23.03,39.89,0.79,-2.17,6.49,7.35,126.29,18.77,41.38,0.43,-7.24,8.89,1.64,242.32,47.67,53.49,0.07,-5.97,5.41,7.2,66.64
0.3274,34.17,59.12,1.51,-10.65,2.35,9.45,59.03,46.32,58.69,0.5,-0.87,9.85,2.89,94.32,37.26,33.41,1.27,-5.61,7.17,0.69,158.31,50.99,50.61,0.01,-6.74,6.32,3.78,222.03
0.4251,55.87,32.99,1.16,-8.02,9.55,6.89,162.78,39.11,33.91,1.0,-3.61,7.93,3.99,222.51,47.17,45.15,0.75,-6.88,5.68,6.16,188.57,36.94,30.05,0.63,-12.81,8.92,3.06,194.04
0.3892,40.8,52.67,1.17,-5.47,3.73,3.29,63.56,22.61,41.93,0.01,-10.14,4.43,7.47,240.53,58.45,31.59,1.24,-14.64,4.61,6.22,201.8,48.4,53.76,0.92,-11.27,5.53,1.75,133.74
0.3587,37.06,38.26,1.76,-4.7,1.71,0.38,50.51,43.06,37.31,0.01,-0.29,9.85,1.35,128.45,22.62,41.16,1.87,-5.09,1.05,9.64,295.24,22.89,39.35,0.6,-1.12,6.15,5.48,68.7
0.4748,21.73,31.5,0.98,-3.89,8.01,9.26,116.33,53.83,32.94,1.97,-11.91,9.35,5.1,229.72,46.88,32.62,1.29,-13.3,2.19,2.21,243.73,53.33,48.04,0.09,-7.19,4.19,7.54,121.14
0.3095,26.84,42.7,0.4,-1.21,2.3,4.05,158.48,33.06,58.66,1.0,-11.16,9.42,5.5,255.39,54.34,51.93,1.77,-4.23,2.1,6.8,187.42,42.83,41.98,0.07,-1.25,5.88,4.66,220.2
0.3764,27.53,52.33,1.02,-9.95,8.76,8.64,281.36,58.34,33.32,1.21,-10.73,9.09,7.47,278.68,52.83,47.37,0.87,-2.99,3.56,2.69,174.96,52.47,57.15,1.46,-12.57,1.33,3.52,159.5
0.3663,59.65,56.66,1.06,-12.5,6.39,1.85,124.38,58.05,59.87,1.54,-7.7,9.26,1.6,123.24,53.96,55.13,1.88,-11.25,1.85,8.21,269.02,31.26,56.8,0.56,-4.99,7.79,7.03,291.88
0.4008,50.42,59.51,0.43,-6.94,5.83,4.26,192.1,59.31,33.99,0.45,-0.79,7.05,7.73,211.97,54.82,31.23,0.57,-13.05,5.12,3.47,197.72,55.07,30.61,0.96,-13.29,3.31,8.99,176.55
0.3747,40.97,43.78,0.8,-3.72,7.17,8.67,226.95,15.04,35.29,1.61,-0.3,9.27,6.06,194.87,38.52,47.46,0.6,-9.42,6.75,8.92,67.67,36.17,41.97,1.47,-4.26,5.07,0.95,147.95
0.3979,36.2,33.87,1.1,-1.67,7.9,7.72,163.31,48.74,34.54,1.83,-2.61,8.84,0.52,184.8,19.85,49.21,0.26,-14.37,2.31,2.17,78.59,26.78,58.08,0.62,-13.97,8.38,9.47,225.94
0.4499,26.97,31.19,0.84,-4.21,2.1,2.06,50.36,16.86,35.97,0.41,-2.94,8.09,6.19,297.7,46.77,32.87,1.76,-3.89,7.54,5.38,91.88,53.22,30.11,0.39,-2.09,7.89,0.72,160.13
0.4032,43.12,37.04,1.94,-11.45,9.03,2.97,268.0,33.71,56.04,0.62,-12.94,5.44,4.01,241.52,59.34,58.66,1.32,-2.38,1.54,0.26,214.59,21.16,44.82,0.71,-5.8,1.87,2.89,265.36
0.3695,59.44,46.56,1.95,-13.11,5.76,9.03,125.4,31.28,53.74,0.45,-12.97,2.05,8.33,121.7,22.66,54.62,1.14,-3.36,4.99,8.85,190.18,44.69,51.56,1.27,-3.15,2.72,4.34,214.37
0.4445,23.25,46.53,1.6,-0.89,6.3,8.07,111.62,37.82,54.99,0.31,-14.41,8.78,4.6,284.95,16.52,34.19,1.56,-6.18,8.77,5.22,247.88,24.48,51.81,0.42,-10.96,7.64,8.21,177.43
0.385,24.16,47.26,1.95,-1.27,6.24,6.78,111.17,58.53,52.55,1.72,-13.31,3.95,1.73,52.29,54.89,44.66,1.7,-7.8,2.13,2.34,199.07,41.22,35.31,1.62,-2.97,2.97,7.17,244.8
0.3371,41.56,57.33,0.34,-6.5,4.18,1.88,239.19,41.13,51.81,0.28,-5.3,4.75,1.73,56.83,58.76,35.75,1.42,-9.37,4.54,2.06,70.45,46.14,33.58,0.21,-12.71,7.73,1.41,167.95
0.3769,32.85,41.87,1.24,-3.88,2.15,3.02,162.05,31.99,34.56,1.9,-5.22,2.31,3.09,86.93,42.14,32.13,0.41,-3.35,4.5,0.77,216.71,50.56,52.42,1.17,-9.32,7.25,1.76,264.13
0.3284,23.17,56.63,0.63,-8.61,3.55,3.27,119.89,47.85,59.93,0.83,-1.89,7.03,0.5,121.4,34.07,43.43,1.5,-6.52,9.08,0.17,248.27,55.42,59.88,1.45,-14.56,2.11,9.65,228.99
0.486,16.37,53.4,1.8,-14.82,9.08,7.7,110.71,25.58,52.02,0.59,-13.1,7.7,3.08,158.16,22.15,57.1,1.32,-3.36,6.71,4.65,50.42,31.93,48.44,0.91,-3.66,3.23,5.91,256.25
0.3584,47.32,46.72,0.34,-4.99,7.95,3.83,107.33,56.66,47.1,1.1,-1.79,1.86,5.43,220.97,49.35,30.82,0.55,-7.49,8.85,5.39,80.86,31.16,36.07,1.35,-13.88,7.49,5.21,168.12
0.4894,52.35,54.12,0.71,-12.5,5.76,3.37,55.17,44.92,32.54,1.7,-12.99,7.92,4.38,115.76,17.52,38.99,1.31,-12.14,6.41,2.54,141.07,53.3,50.65,1.08,-11.49,7.77,5.58,231.06
0.3801,51.4,53.55,1.55,-12.19,5.05,6.54,194.52,53.08,39.38,1.0,-7.21,6.89,3.56,184.96,53.18,57.75,1.64,-14.77,6.38,4.42,252.5,20.59,56.88,0.72,-12.13,1.06,0.94,56.91
0.4177,24.66,32.23,0.51,-1.04,8.56,5.02,180.22,21.06,32.89,1.32,-1.5,1.62,5.74,109.6,47.22,50.56,1.72,-7.44,7.09,9.34,81.81,26.56,30.91,0.85,-1.76,1.22,0.59,253.69
0.4557,26.55,41.74,1.52,-13.39,7.0,8.15,146.46,41.75,56.39,0.53,-13.83,6.56,7.44,238.66,23.08,49.67,1.69,-10.39,4.2,1.77,179.6,18.29,34.25,0.04,-10.59,6.44,0.7,80.78
0.2981,31.44,47.22,1.07,-0.26,4.48,1.22,141.72,52.06,55.36,1.43,-4.4,5.81,6.64,239.62,38.27,55.42,0.2,-13.49,2.2,4.91,188.34,52.97,36.1,1.17,-1.07,2.28,9.55,58.0
0.3616,46.11,41.1,0.45,-2.17,9.26,8.18,280.9,54.01,35.38,0.99,-6.41,5.3,2.71,221.37,43.03,37.52,1.11,-11.09,5.08,4.33,107.67,58.34,56.23,1.01,-11.06,1.56,5.26,289.59
0.3707,40.09,47.59,1.66,-9.73,3.96,8.76,79.25,16.36,40.94,0.64,-8.58,1.52,6.47,274.53,26.94,54.1,0.0,-2.14,1.13,0.2,53.95,43.09,42.39,0.44,-4.39,5.62,7.05,281.16
0.343,42.11,40.34,1.7,-1.48,7.97,9.62,121.59,34.15,52.35,0.41,-2.91,6.59,1.43,281.8,22.47,58.4,1.35,-4.78,5.01,8.8,151.51,27.19,43.55,1.91,-5.53,8.59,7.74,76.63
0.4567,27.65,41.18,1.16,-4.71,7.35,6.06,171.35,30.47,35.88,1.54,-1.26,1.23,5.7,83.2,17.07,32.79,1.55,-10.91,4.28,4.49,265.33,26.7,53.41,1.31,-9.97,4.96,4.21,58.58
0.3328,50.89,51.79,1.2,-8.16,3.83,8.58,175.11,27.18,59.43,0.38,-2.29,4.12,3.23,143.93,41.87,54.48,1.8,-6.16,5.87,7.24,217.92,22.44,39.24,0.14,-13.16,5.19,0.4,169.29
0.3529,56.89,52.83,1.1,-12.45,9.6,8.0,121.64,21.61,45.22,0.74,-5.01,1.11,6.18,234.84,50.4,50.3,0.68,-0.89,1.53,9.67,264.63,29.67,46.67,1.39,-4.81,3.66,1.05,59.17
0.511,35.19,53.66,1.32,-14.6,8.29,4.39,277.01,22.65,36.41,0.84,-13.56,7.02,0.54,60.17,41.61,42.45,1.67,-13.92,9.31,9.81,217.19,16.88,52.21,1.33,-8.88,6.83,1.37,127.81
0.3576,28.35,33.0,0.04,-10.55,2.74,7.2,125.51,23.23,52.11,1.94,-7.6,1.15,7.38,218.12,50.55,38.79,1.09,-0.86,5.55,2.1,264.36,51.83,59.31,1.7,-13.7,3.64,1.71,297.27
0.4022,33.51,41.42,1.74,-2.61,8.02,9.9,254.95,36.22,40.3,1.21,-6.41,2.87,4.27,273.96,53.41,30.51,1.21,-7.24,5.7,5.82,106.08,26.12,46.71,1.32,-11.53,3.55,2.46,72.01
0.3861,57.25,57.67,1.02,-14.52,8.88,9.73,150.69,21.55,52.12,1.97,-3.12,7.06,2.49,92.72,43.25,43.9,0.24,-7.05,8.77,9.38,161.65,56.05,32.66,1.8,-4.29,7.67,2.61,82.79
0.4478,53.59,47.03,1.04,-9.01,8.11,0.29,92.72,18.64,31.71,0.94,-3.46,9.41,0.97,279.88,24.98,33.03,1.54,-9.28,6.43,4.05,276.83,57.56,53.44,0.26,-9.03,3.1,6.58,111.87
0.4341,36.95,49.34,0.44,-10.38,4.3,1.38,57.81,20.6,57.7,0.05,-14.21,7.14,1.36,55.64,46.59,32.4,0.74,-8.27,7.2,9.63,200.39,27.83,45.59,0.59,-10.94,3.53,3.38,150.99
0.4614,21.14,55.46,0.87,-7.85,3.97,1.25,211.1,38.36,36.41,1.92,-10.75,5.96,1.0,229.4,24.12,30.16,1.49,-5.02,3.9,8.23,223.67,29.89,48.66,1.79,-12.7,2.49,8.17,125.03
0.3613,45.16,51.58,0.01,-6.82,1.53,5.62,254.74,23.46,45.6,1.96,-11.56,2.06,8.07,130.32,46.81,53.08,1.07,-12.42,1.56,7.67,187.16,16.56,33.65,1.37,-7.41,9.43,1.1,198.75
0.392,49.62,48.7,1.28,-4.31,8.17,5.97,290.63,50.26,44.1,0.51,-2.1,9.43,9.98,254.46,15.33,40.65,1.91,-13.41,4.56,9.78,243.63,34.84,51.66,1.77,-0.59,1.56,5.27,234.14
0.4576,28.23,44.02,1.76,-6.46,7.11,2.53,117.31,24.73,30.86,1.09,-9.24,3.5,9.24,68.11,33.98,42.18,1.16,-1.78,9.26,1.83,244.33,18.67,32.99,1.38,-6.74,1.47,4.67,163.21
0.3521,27.54,56.27,1.57,-6.95,2.08,5.33,261.4,22.87,36.04,0.33,-6.34,6.96,9.58,207.5,43.02,51.11,0.77,-5.96,5.9,3.26,102.99,37.75,52.95,1.2,-10.0,4.62,3.96,63.01
0.3553,15.89,35.47,0.85,-4.34,9.92,8.02,103.83,34.91,47.22,0.9,-1.11,1.26,7.95,134.05,53.29,53.15,1.77,-3.69,3.9,9.52,183.27,58.83,48.1,0.29,-3.13,3.97,1.16,53.42
0.4224,54.81,37.61,1.58,-3.01,8.81,8.24,60.42,52.66,56.51,0.87,-9.64,5.74,3.85,59.05,27.24,32.89,0.76,-13.55,9.15,4.27,252.15,21.11,46.79,0.31,-13.54,7.57,2.03,147.35
0.3045,45.52,35.01,0.97,-5.86,1.78,6.49,54.93,35.41,55.08,0.08,-1.54,3.27,9.38,190.76,58.83,58.84,0.34,-7.51,5.46,5.52,234.26,53.67,38.43,1.31,-2.02,6.14,2.0,239.95
0.3681,37.61,50.21,0.97,-14.07,4.59,3.56,213.16,52.89,42.27,1.41,-4.21,3.81,0.97,123.15,42.37,58.26,0.12,-2.72,1.97,9.31,231.57,18.28,35.12,1.65,-4.41,8.89,4.19,189.35
0.3856,27.86,55.49,0.87,-14.45,9.28,5.82,217.72,22.33,53.74,0.73,-14.2,1.26,6.44,287.02,44.92,34.65,0.43,-5.88,1.01,7.7,286.46,33.87,48.4,1.52,-10.99,3.21,2.41,171.9
0.3859,47.25,42.63,0.76,-4.48,4.31,8.27,246.7,42.05,42.51,0.83,-5.5,1.7,1.85,195.8,16.93,37.85,0.85,-7.37,5.1,6.71,204.48,16.96,58.36,0.74,-6.61,1.04,0.69,177.7
0.5142,35.19,53.66,0.71,-12.5,8.29,3.37,55.17,44.92,32.54,1.7,-12.99,7.02,0.54,60.17,17.52,38.99,1.31,-13.92,9.31,9.81,217.19,53.3,39.49,1.33,-11.49,7.77,1.37,127.81
0.4899,35.19,54.12,0.09,-14.6,8.29,3.37,277.01,22.65,32.54,1.7,-12.99,7.92,4.38,60.17,41.61,42.45,1.31,-12.14,6.41,9.81,141.07,16.88,50.65,1.08,-8.88,7.77,1.37,231.06
0.4707,52.35,53.66,0.71,-12.5,5.76,3.37,55.17,22.65,32.54,0.84,-13.56,7.92,2.76,115.76,41.61,42.45,1.67,-12.14,6.41,2.54,217.19,53.3,52.21,1.33,-11.49,6.83,5.58,127.81
0.496,35.19,53.66,0.71,-12.5,5.76,4.39,98.22,22.65,32.54,0.84,-13.56,7.92,0.54,115.76,41.61,38.99,1.67,-13.92,9.31,9.81,141.07,53.3,50.65,1.08,-8.88,6.83,1.37,231.06
0.5001,35.19,53.66,1.32,-12.5,5.59,4.39,277.01,44.92,32.54,1.7,-13.56,7.02,4.38,60.17,17.52,42.45,1.67,-13.92,9.31,9.81,217.19,53.3,50.65,1.08,-8.88,7.77,1.37,231.06
0.5132,52.35,54.12,0.71,-12.5,8.29,4.39,55.17,22.65,36.41,0.84,-12.99,7.02,4.38,60.17,17.52,38.99,1.31,-13.92,9.31,2.54,141.07,16.88,50.65,1.08,-11.26,6.83,5.58,231.06
0.4933,52.35,53.66,1.32,-12.5,5.76,4.39,277.01,44.92,32.54,0.84,-12.99,7.02,4.38,115.76,17.52,42.45,1.67,-12.14,9.31,9.81,247.72,16.88,50.65,1.33,-8.88,7.77,1.37,231.06
0.4165,35.19,54.12,0.71,-14.6,8.29,4.39,55.17,44.92,36.41,0.84,-7.48,7.92,0.54,60.17,41.61,42.45,1.67,-13.92,6.41,2.54,141.07,53.3,52.21,1.33,-11.49,7.77,5.58,231.06
0.5005,35.19,58.95,0.71,-12.5,8.29,3.37,55.17,22.65,36.41,0.84,-12.99,7.02,4.38,60.17,17.52,42.45,1.67,-12.14,6.41,9.81,141.07,16.88,50.65,1.33,-11.49,7.77,5.58,231.06
0.5005,58.09,53.66,1.32,-12.5,5.76,3.37,277.01,22.65,32.54,0.84,-13.56,7.92,0.54,60.17,41.61,38.99,1.31,-13.92,9.31,2.54,141.07,53.3,52.21,1.33,-8.88,7.77,1.37,231.06
0.5366,52.35,36.36,0.71,-12.5,8.29,4.39,55.17,44.92,32.54,1.7,-12.99,7.92,4.38,115.76,17.52,38.99,1.31,-13.92,6.41,2.54,217.19,16.88,52.21,1.08,-8.88,7.77,1.37,231.06
