score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3151,28.36,54.9,1.28,-12.66,3.66,7.94,136.96,55.85,34.84,0.64,-1.88,4.91,9.7,91.47,37.87,46.65,1.98,-13.74,2.41,9.64,137.37,30.91,40.88,1.01,-6.05,5.45,7.01,276.54
0.3483,32.22,52.4,0.48,-14.28,4.05,8.02,162.21,54.78,56.12,1.58,-7.31,6.72,0.48,84.29,40.7,30.31,0.28,-11.54,2.79,3.66,187.02,40.24,54.01,0.93,-8.25,6.53,5.02,153.38
0.2916,57.2,46.22,0.38,-2.58,9.46,8.51,165.15,54.6,54.33,1.67,-7.16,4.33,2.58,126.32,32.84,54.9,1.32,-1.13,9.38,8.83,267.26,35.76,30.21,0.07,-2.32,9.51,7.35,173.43
0.352,40.84,43.08,1.14,-4.77,5.4,8.84,144.51,17.21,47.43,0.49,-3.56,5.13,1.47,50.98,31.45,57.38,0.29,-4.32,2.86,1.7,231.96,47.12,58.56,1.83,-13.75,9.65,4.48,145.89
0.4099,21.32,39.33,1.42,-13.25,6.51,6.76,165.0,39.52,51.73,1.92,-8.62,3.58,8.11,234.22,32.14,33.25,0.37,-0.15,4.43,0.59,145.99,50.99,35.04,1.73,-4.84,6.14,5.6,62.57
0.3097,26.34,48.78,1.33,-3.45,4.49,0.88,143.72,44.86,56.77,1.57,-9.46,6.71,1.51,284.25,24.5,49.75,0.9,-7.66,1.43,8.76,109.83,20.97,39.6,0.21,-2.95,6.71,3.69,174.35
0.4314,34.71,30.35,0.07,-7.24,9.03,2.0,55.37,44.46,30.72,0.35,-4.19,5.49,0.95,105.46,18.23,40.44,0.47,-6.97,7.72,5.85,119.2,59.66,33.66,0.04,-10.19,6.95,4.77,213.58
0.3596,54.45,57.41,0.12,-12.77,3.55,6.25,232.73,55.65,32.38,0.74,-1.52,3.41,2.05,175.39,16.08,50.7,1.27,-13.77,5.62,7.89,95.39,49.81,39.18,0.44,-14.27,6.97,8.47,138.55
0.3486,19.81,42.89,1.16,-9.96,2.45,6.69,220.16,47.45,57.44,0.9,-10.47,3.0,7.1,225.06,48.33,36.87,0.91,-10.45,5.78,6.35,115.32,42.54,34.4,0.49,-14.45,3.51,5.36,226.71
0.2845,58.71,31.19,0.9,-0.16,7.61,6.57,124.14,30.53,45.41,0.7,-0.92,5.04,4.11,100.07,47.6,55.98,0.66,-7.93,1.01,0.64,72.19,24.73,55.97,0.53,-13.89,4.66,9.34,192.82
0.3302,55.27,40.41,0.9,-13.95,2.27,7.58,154.34,47.07,48.65,1.67,-5.06,4.17,3.09,255.92,33.32,49.1,1.17,-13.3,6.89,9.81,127.31,31.4,31.57,0.86,-0.18,9.48,4.95,241.0
0.404,33.9,32.77,1.87,-2.65,6.75,6.51,83.65,39.49,55.22,1.97,-4.37,7.8,5.55,142.54,21.06,31.64,0.2,-2.99,2.76,3.98,96.93,24.13,41.03,1.1,-4.11,7.61,3.6,226.67
0.3121,58.29,31.31,1.57,-5.63,8.92,5.33,133.94,58.88,40.3,0.27,-9.31,4.36,7.57,242.87,53.07,47.64,1.61,-13.53,1.34,1.18,200.7,57.11,49.11,0.27,-11.23,3.48,8.07,289.82
0.4212,48.34,41.41,1.19,-11.12,3.63,2.44,194.76,47.01,37.88,0.33,-11.27,9.69,7.66,111.87,15.91,32.53,0.78,-13.51,9.36,3.36,213.22,50.8,43.78,0.21,-4.21,7.59,9.86,220.93
0.3252,58.5,41.78,0.71,-13.21,6.91,4.02,129.25,23.27,52.01,1.18,-3.01,7.13,8.88,272.57,48.28,42.13,1.78,-6.1,7.23,6.99,164.05,32.13,37.66,0.85,-7.01,6.11,5.74,280.99
0.346,27.08,34.96,0.15,-7.11,3.71,1.31,285.15,26.66,48.84,1.05,-0.64,7.12,2.67,276.0,30.65,40.35,1.43,-6.36,8.84,5.27,84.99,22.15,38.11,1.22,-5.31,3.61,1.15,99.35
0.3913,28.24,41.66,1.25,-4.31,8.73,8.79,175.32,27.4,36.45,1.8,-1.87,9.71,5.35,201.62,46.52,37.92,0.84,-12.06,6.35,2.52,272.52,35.98,36.98,1.0,-14.46,7.49,8.63,79.76
