score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4331,21.91,38.88,1.97,-14.29,8.54,1.72,179.77,58.12,33.57,0.75,-7.38,6.87,3.43,112.19,55.85,30.24,1.96,-12.76,3.08,7.34,238.27,38.09,30.65,0.45,-11.88,9.03,4.64,241.86
0.4117,19.9,30.16,0.95,-1.56,5.5,8.19,150.55,39.35,33.28,1.19,-14.28,7.96,7.18,228.34,15.12,42.17,0.59,-2.45,7.68,2.56,212.16,23.69,37.91,0.33,-14.55,7.0,6.43,187.78
0.4234,36.83,57.43,1.11,-7.96,8.74,3.94,113.08,29.62,32.47,1.6,-13.76,5.84,2.77,131.11,31.55,35.94,0.85,-10.74,9.97,5.5,200.37,15.6,36.49,0.39,-3.57,9.33,2.5,247.77
0.4032,15.3,43.87,1.08,-10.78,7.13,0.86,117.4,23.7,46.47,0.23,-14.13,7.0,2.62,50.9,52.8,43.25,0.44,-4.87,3.04,0.84,89.71,22.68,30.41,0.16,-4.08,9.44,6.75,295.68
0.4785,35.19,33.77,0.51,-3.83,1.29,4.43,204.57,17.57,30.14,1.03,-13.51,4.39,0.8,183.06,17.47,31.78,0.41,-13.61,9.18,6.08,76.21,44.32,59.95,1.83,-4.61,6.25,7.64,287.61
0.4544,52.12,34.31,0.94,-14.71,9.7,0.73,272.33,54.33,30.31,0.84,-7.08,8.69,5.7,218.94,20.99,35.47,1.63,-14.42,9.73,9.0,145.54,19.94,32.07,1.35,-4.4,2.75,5.51,116.82
0.4407,39.45,41.65,0.06,-9.97,6.09,7.27,282.53,16.3,57.49,0.74,-14.11,8.59,0.53,51.34,47.81,30.16,1.33,-11.55,6.04,7.08,218.74,29.95,44.54,0.7,-9.18,7.95,3.82,284.11
0.4367,36.66,35.32,1.96,-11.94,6.88,6.03,108.56,16.1,30.95,1.34,-5.06,4.54,3.3,255.97,18.22,34.44,0.63,-4.56,5.5,0.97,113.18,33.86,35.71,0.12,-4.4,2.6,5.95,76.55
0.425,36.08,37.69,0.6,-1.5,7.06,6.88,252.66,16.91,38.92,1.57,-12.67,4.46,2.18,103.82,15.33,35.42,1.23,-5.03,2.48,1.97,178.88,21.35,54.48,1.97,-12.96,3.65,8.18,258.58
0.44,20.06,46.5,0.35,-6.37,1.47,1.86,161.96,19.53,34.72,1.79,-14.59,8.91,1.46,230.46,30.6,36.87,1.9,-11.71,5.45,7.07,61.79,48.72,33.17,1.54,-1.05,5.11,0.16,66.53
