score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3789,15.66,34.15,1.62,-10.02,6.03,0.65,187.69,16.25,36.22,0.9,-7.14,2.13,4.64,245.12,46.76,41.07,0.99,-3.01,3.37,1.49,292.25,54.29,56.23,0.95,-14.47,7.69,7.92,291.28
0.3868,27.45,55.24,0.48,-13.19,8.03,2.36,93.64,40.69,31.87,1.12,-14.72,4.86,4.21,71.36,18.69,47.61,0.01,-4.02,4.32,2.7,287.76,16.01,48.81,0.04,-9.27,3.81,0.9,245.8
0.3972,28.15,40.38,0.86,-11.58,8.84,4.06,132.08,17.8,36.71,1.21,-14.28,9.74,9.96,85.3,17.26,42.59,0.53,-12.52,1.93,4.93,269.2,59.37,40.16,0.79,-5.2,4.46,9.06,248.29
0.3964,26.66,40.64,0.12,-2.44,2.21,6.44,120.44,18.9,55.04,1.29,-12.21,9.34,5.71,192.67,15.87,30.72,0.18,-9.16,5.98,5.33,255.47,22.48,45.55,1.7,-14.2,5.63,2.72,291.87
0.3812,36.83,57.43,1.11,-7.96,8.74,3.94,113.08,29.62,32.47,1.6,-13.76,5.84,2.77,131.11,31.55,35.94,0.85,-10.74,9.97,5.5,200.37,15.6,36.49,0.39,-3.57,9.33,2.5,247.77
0.3876,22.25,54.52,0.75,-14.34,4.96,0.35,77.57,19.77,56.58,1.5,-12.08,7.36,9.63,169.99,46.91,51.94,1.4,-14.21,9.67,3.9,166.3,15.35,37.97,1.7,-1.95,5.18,9.07,184.08
0.3821,38.84,50.05,0.9,-11.62,9.27,3.78,231.62,15.22,41.65,1.67,-3.03,7.16,9.38,291.52,18.48,46.91,1.54,-14.67,3.49,3.3,255.33,26.65,30.01,1.89,-10.11,1.85,7.83,188.83
0.3896,15.3,43.87,1.08,-10.78,7.13,0.86,117.4,23.7,46.47,0.23,-14.13,7.0,2.62,50.9,52.8,43.25,0.44,-4.87,3.04,0.84,89.71,22.68,30.41,0.16,-4.08,9.44,6.75,295.68
0.3905,23.46,40.69,1.59,-9.98,7.46,0.77,136.15,23.22,31.65,1.94,-13.79,3.28,3.08,153.05,32.12,57.92,1.42,-4.59,8.14,1.45,146.35,22.44,43.83,0.77,-14.25,6.6,4.43,285.35
0.4368,35.19,33.77,0.51,-3.83,1.29,4.43,204.57,17.57,30.14,1.03,-13.51,4.39,0.8,183.06,17.47,31.78,0.41,-13.61,9.18,6.08,76.21,44.32,59.95,1.83,-4.61,6.25,7.64,287.61
