score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.5192,21.91,38.88,1.97,-14.29,8.54,1.72,179.77,58.12,33.57,0.75,-7.38,6.87,3.43,112.19,55.85,30.24,1.96,-12.76,3.08,7.34,238.27,38.09,30.65,0.45,-11.88,9.03,4.64,241.86
0.5139,40.73,32.32,1.95,-13.34,5.43,0.4,151.46,37.12,55.69,1.36,-9.72,2.66,0.55,132.13,17.83,35.28,1.3,-11.98,4.37,0.17,278.17,52.84,32.84,1.37,-7.62,8.4,1.87,95.03
0.5119,28.15,40.38,0.86,-11.58,8.84,4.06,132.08,17.8,36.71,1.21,-14.28,9.74,9.96,85.3,17.26,42.59,0.53,-12.52,1.93,4.93,269.2,59.37,40.16,0.79,-5.2,4.46,9.06,248.29
0.5062,19.9,30.16,0.95,-1.56,5.5,8.19,150.55,39.35,33.28,1.19,-14.28,7.96,7.18,228.34,15.12,42.17,0.59,-2.45,7.68,2.56,212.16,23.69,37.91,0.33,-14.55,7.0,6.43,187.78
0.4994,36.83,57.43,1.11,-7.96,8.74,3.94,113.08,29.62,32.47,1.6,-13.76,5.84,2.77,131.11,31.55,35.94,0.85,-10.74,9.97,5.5,200.37,15.6,36.49,0.39,-3.57,9.33,2.5,247.77
0.4936,19.89,37.61,1.23,-14.92,7.13,5.32,209.93,28.25,41.82,1.14,-4.12,6.22,5.12,106.23,45.27,31.36,1.08,-7.07,5.61,9.78,255.19,22.35,35.06,1.79,-0.12,2.73,9.81,285.46
0.4941,22.43,32.79,1.5,-10.29,6.89,3.41,171.2,22.22,36.49,0.33,-8.65,4.38,0.77,225.98,17.39,41.16,0.44,-2.82,1.58,3.79,175.84,39.53,38.83,0.28,-3.83,5.01,7.78,130.22
0.497,15.3,43.87,1.08,-10.78,7.13,0.86,117.4,23.7,46.47,0.23,-14.13,7.0,2.62,50.9,52.8,43.25,0.44,-4.87,3.04,0.84,89.71,22.68,30.41,0.16,-4.08,9.44,6.75,295.68
0.5055,23.46,40.69,1.59,-9.98,7.46,0.77,136.15,23.22,31.65,1.94,-13.79,3.28,3.08,153.05,32.12,57.92,1.42,-4.59,8.14,1.45,146.35,22.44,43.83,0.77,-14.25,6.6,4.43,285.35
0.5583,35.19,33.77,0.51,-3.83,1.29,4.43,204.57,17.57,30.14,1.03,-13.51,4.39,0.8,183.06,17.47,31.78,0.41,-13.61,9.18,6.08,76.21,44.32,59.95,1.83,-4.61,6.25,7.64,287.61
