score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3757,43.66,38.09,0.08,-14.75,8.32,9.14,201.66,47.83,46.31,1.87,-2.76,1.02,8.59,58.4,47.83,35.27,1.73,-6.88,3.7,4.28,57.08,20.59,50.12,1.29,-5.77,4.45,9.97,295.21
0.3146,45.85,49.51,1.38,-9.17,2.22,7.24,181.34,28.96,44.58,1.78,-0.99,4.22,5.76,130.47,41.74,40.14,0.78,-1.65,3.04,6.27,71.0,52.47,53.61,0.48,-1.85,1.53,3.43,87.57
0.3843,35.27,53.89,0.46,-14.22,4.64,2.07,72.69,41.11,38.96,1.34,-12.01,9.48,3.71,76.37,43.31,57.81,0.88,-0.68,5.5,4.31,205.05,59.78,58.47,0.92,-3.63,5.48,5.34,246.45
0.3662,33.66,52.03,1.42,-1.02,2.03,7.32,281.86,58.56,30.44,1.73,-0.28,9.61,1.57,293.16,55.05,54.67,0.96,-11.51,8.22,9.24,116.53,39.25,43.28,1.86,-14.39,7.59,6.18,57.09
0.4425,47.36,30.48,1.52,-7.31,9.36,0.75,260.33,18.0,40.33,0.86,-0.51,6.06,2.66,110.42,54.97,36.78,0.25,-10.68,6.28,5.59,252.43,40.22,38.65,0.83,-2.73,6.64,9.59,142.35
0.4461,39.87,47.82,1.7,-12.82,4.66,9.11,60.77,52.02,42.46,1.66,-14.85,4.29,0.88,213.15,27.32,51.08,1.89,-13.1,8.78,0.69,145.19,34.34,44.67,1.95,-3.36,3.78,2.77,265.78
0.3254,54.66,45.32,0.69,-0.08,3.84,1.91,270.02,51.56,50.04,1.92,-1.11,7.73,8.62,111.79,21.36,50.1,1.43,-12.49,4.56,9.11,190.35,41.03,35.82,1.05,-7.15,1.8,9.82,192.85
0.4241,15.29,53.18,1.96,-6.15,3.88,1.96,218.13,23.78,47.33,1.2,-0.56,1.65,5.05,236.02,22.98,41.64,0.13,-4.11,1.79,4.01,268.38,36.25,57.38,1.53,-1.27,2.15,0.83,67.58
0.395,54.1,49.02,0.99,-12.55,7.06,3.25,227.72,35.72,45.22,1.58,-13.61,6.21,2.05,252.03,37.0,59.66,0.37,-0.55,8.21,4.86,253.38,42.13,49.65,1.83,-14.02,8.51,3.88,131.39
0.3888,59.73,53.44,0.97,-8.66,8.9,0.96,227.1,50.51,53.98,0.64,-3.05,3.03,3.69,154.36,39.36,33.38,0.81,-15.0,7.7,8.53,84.73,46.67,54.63,1.96,-2.34,4.82,9.8,293.5
