score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.5449,60,57.6,2,-9.04,10,0.1,300,15,33.7,2,-15,6.36,0.59,59.53,16.68,45.88,1.06,-5.2,4.43,0.1,50,60,58.33,0.67,-8.69,1,1.39,269.14
0.5761,15,30,0,-9.84,1,10,50,60,33.73,2,-15,6.81,4.67,79.99,15,30,1.52,-15,1,6.01,300,15,30,0,0,4.06,0.1,50
0.5437,29.26,60,1.08,0,6.44,5.9,50,60,30,1.75,-15,10,0.59,300,15,30,0.73,-11.4,3.82,10,50,15,58.79,0,0,10,10,50
0.647,15,30,0.12,-15,10,0.1,50,17.15,30,0.77,-15,3.88,0.83,148.67,26.57,30,1.56,-12.84,5.63,10,198.17,15,30,0.94,-4.13,1.59,7.66,298.88
0.5675,60,30,1.23,0,10,4.25,300,60,30,1.71,-15,10,10,59.34,15,30,0,-0.43,1,10,50,15,30,0,-15,10,0.1,300
0.5229,60,60,0,0,1,10,50,15,30,2,-12.7,1,0.1,300,15,30,0,-15,10,0.1,287.1,15,60,2,-15,10,10,50
0.62,15,30,2,-15,10,0.1,50,60,60,1.99,-15,10,10,50,60,30,2,-15,10,0.1,300,15,30,0,0,1,10,300
0.5366,15,30,2,-2.58,1,10,300,60,60,2,-8.85,1,0.1,300,15,30,0,-8.49,8.73,0.1,50,20.94,32.04,0,-6.21,10,10,300
0.5972,15,30,2,-15,10,10,50,60,30,0,-15,1,4.18,300,36.98,30,2,-15,10,0.1,50,60,30,1.48,-13.73,10,10,284.8
0.579,60,30,2,0,1,10,300,15,30,2,0,1,0.1,300,15,30,2,-15,10,0.1,50,60,60,2,-15,1,0.1,171.91
