score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4286,29.3,46.71,1.54,-4.95,10,0.1,300,15,60,0,-14.21,10,0.73,50,15,36.01,2,-15,1,0.1,50,15,31.93,0,-1.12,1,10,50
0.4553,15,30,2,-15,10,0.1,50,60,60,2,-14.56,10,0.1,132.91,15,60,2,-1.8,3.75,10,300,60,30.06,0.57,0,1,10,300
0.4203,60,30,0,0,8.84,10,221.55,60,30,1.73,-15,9.35,1.55,50,60,30,0,-15,7.45,8.56,50,60,35.73,0.45,-4.87,5.37,10,50
0.5011,60,55.76,0.92,-15,10,0.1,50,15,30,2,-15,10,0.1,50,60,30,2,0,10,10,200.85,15.83,39.62,0,-15,10,0.1,238.38
0.4516,15,31.64,0.25,-15,10,0.1,50,15,60,2,0,2.9,10,91.1,60,30,2,-15,1,0.1,50,15,30,1.24,-15,1,10,50
0.3994,18.99,30,1.19,-15,10,0.1,300,15,56.81,2,-15,1,10,50,19.41,60,0,0,4.25,7.06,208.42,60,36.79,2,-8.88,1,0.1,102.83
0.5129,15,30,2,-15,8.05,10,50,15,47.6,2,-14.05,10,0.1,50,15,30,0.64,-15,10,0.1,300,15,60,0,-15,1.22,0.1,50
0.4291,31.02,36.31,0,-15,1,0.1,155.67,15,30,2,-15,4.5,4.28,300,15,30,0,-15,9.24,10,156.8,55.74,60,1.11,-1.9,10,0.1,256.84
0.4676,15,30,0.38,-15,10,0.1,50,15,30,0.3,0,10,10,300,15,60,2,-10.73,1,0.1,50,15,60,2,0,8.23,0.1,50
0.4416,15,60,2,-6.06,10,0.1,300,44.86,30,2,-15,10,2.92,300,15,30,0,-15,10,10,300,15,60,0,0,10,10,300
