score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.5309,15,60,2,-15,10,0.42,300,15,30,1.17,-3.67,10,10,50,55.17,30,0.57,-15,10,0.1,50,15,40.01,2,-15,10,10,50
0.5593,18.03,30,2,-15,10,10,189.79,43.53,30,2,-15,10,0.1,50,15,60,0,-4.72,5.3,0.1,300,60,60,0,-15,10,2.72,208.8
0.507,60,30,2,-15,10,0.1,300,60,30,1.17,-15,1,0.1,50,15,30,0,-15,1,0.1,79.57,39.99,60,1.56,-15,10,0.1,50
0.5215,15,58.21,2,-7.08,1,0.21,50,50.63,30,2,-15,7.95,0.1,251.2,15,30,2,-15,10,3.97,50,60,30,2,0,8.82,8.15,50
0.5176,15,30.54,0.88,0,5.6,2.79,176.92,42.78,46.65,2,-15,10,0.1,50,15,30,0.44,-15,4.44,0.14,300,15,41.86,0.28,-15,7.01,10,50
0.5307,15,45.83,1.83,-5.66,1,9.91,144.49,15,30,2,-15,10,0.1,137.92,60,30,2,-12.38,10,10,50,15,60,2,0,10,10,300
0.5139,60,30,1.28,-15,10,0.1,50.84,15,30,0,-14.96,10,10,300,15,37.28,1.79,-9.67,7.63,7.87,265.24,15,60,2,0,1,0.1,50
0.4604,58.29,30,2,-2.32,10,6.89,272.28,15,30,2,-15,7.03,10,265.65,54.76,60,2,-6.5,1,0.1,235.94,29.43,60,2,-14.82,8.42,0.1,50
0.5418,15,30,0.22,-14.87,9.39,0.1,50,40,30,2,0,1,10,174.58,15,30,1.36,-12.98,4.12,5.28,97.82,60,30,2,0,10,9.68,84.48
0.5842,20.64,30,2,-15,10,0.1,50,60,30,2,-15,1,10,300,15,30,2,-15,10,0.1,50,52.63,60,2,-6.93,10,0.1,115.51
