score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.5367,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,30.0,2.0,-15.0,8.83,0.1,50.0
0.5358,15.0,30.0,0.56,-1.65,2.6,8.37,177.99,22.4,30.0,0.41,-10.3,2.73,0.1,50.0,15.0,30.0,1.07,-0.02,3.33,10.0,201.56,54.5,43.56,2.0,-9.09,1.26,0.1,207.1
0.4897,60.0,60.0,2.0,-6.84,10.0,10.0,300.0,15.0,60.0,0.52,0.0,10.0,0.1,212.28,15.0,30.0,0.0,-15.0,10.0,10.0,50.0,15.0,30.0,2.0,-15.0,1.0,0.1,300.0
0.5166,60.0,30.0,2.0,0.0,1.0,10.0,50.0,26.79,30.0,0.0,0.0,1.0,0.1,300.0,15.0,30.0,2.0,0.0,1.0,10.0,300.0,15.0,44.07,2.0,-12.28,1.0,1.33,50.0
0.514,18.35,60.0,2.0,-13.51,10.0,0.1,50.0,60.0,58.64,0.0,-15.0,10.0,0.1,50.0,15.0,30.0,2.0,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-11.85,1.0,0.1,300.0
0.5877,15.0,32.6,0.0,-15.0,10.0,10.0,50.0,45.68,30.0,1.15,-15.0,10.0,0.1,300.0,15.0,30.0,0.0,0.0,10.0,2.13,50.0,60.0,30.0,2.0,-4.1,1.0,10.0,171.83
0.607,44.72,30.0,0.0,-15.0,10.0,0.1,249.44,15.0,60.0,2.0,-15.0,4.33,0.1,50.0,21.06,30.0,0.0,0.0,1.25,10.0,300.0,21.39,30.0,2.0,-15.0,10.0,0.1,50.0
0.5532,60.0,30.0,2.0,-15.0,4.23,7.32,50.0,15.0,30.0,2.0,-13.75,1.9,0.1,123.0,15.0,60.0,1.09,-14.26,1.0,0.1,50.0,60.0,30.0,0.0,-15.0,10.0,10.0,50.0
0.6287,15.0,30.0,2.0,-13.27,10.0,10.0,300.0,60.0,30.0,2.0,-15.0,10.0,0.1,164.87,15.0,30.0,2.0,0.0,10.0,5.78,300.0,15.0,30.0,0.0,-15.0,4.64,10.0,300.0
0.5512,60.0,35.78,1.16,-15.0,10.0,10.0,300.0,15.0,30.0,1.55,-15.0,4.07,0.1,300.0,48.0,32.25,2.0,-15.0,3.96,6.29,50.0,15.0,60.0,0.0,0.0,1.0,10.0,104.94
0.5194,26.12,30.0,2.0,0.0,10.0,0.1,50.0,46.08,60.0,2.0,-15.0,10.0,10.0,62.72,60.0,30.0,0.0,0.0,10.0,0.1,300.0,15.0,30.0,2.0,-15.0,7.27,10.0,300.0
