update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.3358,45.05,30.0,0.0,-7.65,2.03,6.86,102.81
0,0,1,0.3972,15.0,30.0,0.0,-15.0,1.0,1.18,50.0
0,0,2,0.488,15.0,30.0,0.0,-15.0,1.0,0.1,50.0
0,0,3,0.4053,15.0,32.92,0.0,-15.0,1.0,0.1,50.0
0,0,4,0.4877,15.0,30.0,0.0,-15.0,1.0,0.1,50.0
0,0,5,0.4922,15.0,34.68,0.0,-15.0,1.0,0.1,50.0
0,0,6,0.4752,15.0,31.76,0.0,-15.0,1.0,0.1,50.0
0,0,7,0.5074,15.0,30.0,0.0,-15.0,1.0,0.1,50.0
0,0,8,0.397,15.0,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,9,0.4183,15.0,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,10,0.4181,15.0,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,11,0.4648,15.0,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,12,0.4642,36.78,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,13,0.4062,55.02,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,14,0.4276,60.0,47.3,0.0,-15.0,1.0,0.1,50.0
0,0,15,0.4034,60.0,55.18,0.0,-15.0,1.0,0.42,50.0
0,0,16,0.4456,60.0,55.65,0.11,-15.0,1.0,7.78,50.0
0,0,17,0.5167,60.0,35.64,0.0,-13.57,1.0,10.0,50.0
0,0,18,0.5646,60.0,30.0,0.0,-12.06,1.0,10.0,50.0
0,0,19,0.4082,60.0,35.12,0.0,-5.69,1.0,10.0,50.0
0,0,20,0.5326,60.0,30.0,0.06,-15.0,1.0,10.0,50.0
0,0,21,0.5043,60.0,57.45,1.8,-15.0,1.0,10.0,50.0
0,0,22,0.4685,60.0,51.03,2.0,-15.0,1.0,8.36,50.0
0,0,23,0.4666,60.0,41.51,2.0,-15.0,1.0,8.05,50.0
0,0,24,0.4974,60.0,30.0,2.0,-15.0,1.0,8.69,67.17
0,0,25,0.5286,60.0,30.0,2.0,-15.0,1.0,8.91,158.05
0,0,26,0.5328,60.0,34.87,2.0,-15.0,1.0,4.79,50.0
0,0,27,0.5345,54.2,35.75,2.0,-15.0,1.0,0.1,262.45
0,0,28,0.5195,48.57,41.37,2.0,-15.0,1.0,0.1,300.0
0,0,29,0.4942,38.98,50.43,2.0,-15.0,1.0,0.1,300.0
1,0,0,0.5591,41.08,36.77,0.96,-7.85,1.0,2.22,154.03
1,0,1,0.5897,15.0,30.0,1.23,-15.0,1.0,4.36,50.0
1,0,2,0.5784,15.0,30.0,1.4,-11.65,8.93,1.08,94.45
1,0,3,0.5561,24.08,30.0,0.6,-14.93,7.03,1.91,68.96
1,0,4,0.5616,35.74,30.0,0.0,-15.0,8.94,6.11,108.39
1,0,5,0.5067,38.61,30.0,0.0,-15.0,8.84,0.68,79.5
1,0,6,0.5613,56.41,30.0,0.16,-15.0,10.0,0.1,110.21
1,0,7,0.5636,52.3,30.0,1.32,-15.0,10.0,3.62,72.99
1,0,8,0.5946,60.0,30.0,1.92,-10.16,10.0,10.0,238.77
1,0,9,0.5972,60.0,30.0,1.48,-13.73,10.0,10.0,284.8
1,0,10,0.558,60.0,30.0,0.18,-10.48,10.0,10.0,173.14
1,0,11,0.5584,60.0,30.0,0.0,-15.0,10.0,10.0,76.88
1,0,12,0.5545,60.0,30.0,0.0,-15.0,10.0,10.0,57.56
1,0,13,0.5404,60.0,30.0,0.0,-15.0,10.0,10.0,50.0
1,0,14,0.5089,60.0,34.52,0.0,-15.0,10.0,10.0,50.0
1,0,15,0.4921,60.0,46.52,0.0,-10.08,10.0,10.0,50.0
