update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,0,0,0.248,38.42,45.02,0.35,-1.81,1.0,0.1,50.0,27.0,60.0,1.38,-2.89,1.0,8.37,129.34,39.99,36.46,0.0,-8.94,10.0,0.1,300.0,60.0,60.0,1.13,-4.6,6.43,4.34,182.03
0,0,1,0.3073,23.27,34.91,0.0,-12.67,3.6,0.1,50.0,48.05,60.0,0.21,-2.8,6.06,6.71,50.0,30.67,33.04,0.0,-15.0,10.0,3.58,300.0,41.58,60.0,2.0,-6.43,10.0,9.43,254.89
0,0,2,0.3257,54.26,42.62,0.0,0.0,7.73,0.1,50.0,23.19,60.0,1.0,-1.06,1.63,6.68,123.7,23.17,30.0,0.0,-15.0,8.7,8.16,300.0,34.58,45.5,2.0,-15.0,10.0,5.19,279.92
0,0,3,0.2682,53.95,52.29,0.0,-3.89,3.6,5.35,50.0,35.6,60.0,0.74,-1.46,7.14,9.14,192.85,47.97,43.32,0.0,-12.28,5.08,1.04,238.47,60.0,56.58,2.0,-15.0,10.0,1.9,300.0
0,0,4,0.2871,60.0,60.0,0.91,-1.45,10.0,8.95,50.0,30.66,60.0,0.72,-8.27,3.96,10.0,144.54,22.99,38.83,0.0,-15.0,3.81,0.1,300.0,60.0,60.0,2.0,-12.99,10.0,7.95,300.0
0,0,5,0.3456,49.03,60.0,0.98,-15.0,10.0,5.02,50.0,30.32,60.0,0.24,-14.56,6.43,10.0,300.0,15.0,60.0,0.0,-15.0,4.66,0.1,300.0,43.8,60.0,2.0,-15.0,10.0,0.1,300.0
0,0,6,0.3742,60.0,60.0,1.31,-15.0,9.46,2.4,50.0,35.72,60.0,0.0,-15.0,8.92,10.0,255.14,15.0,45.74,0.0,-15.0,5.69,0.1,300.0,16.86,60.0,2.0,-15.0,10.0,0.1,261.6
0,0,7,0.3879,15.0,60.0,2.0,-15.0,7.49,1.29,220.97,58.04,60.0,0.82,-9.48,6.88,10.0,282.0,15.0,30.08,0.0,-15.0,1.57,4.52,300.0,35.16,60.0,2.0,-15.0,10.0,5.69,103.51
0,0,8,0.394,15.0,60.0,2.0,-15.0,7.66,0.1,283.35,60.0,60.0,0.47,-15.0,7.23,10.0,245.76,15.0,30.0,0.0,-15.0,1.0,3.28,300.0,59.57,60.0,0.82,-15.0,10.0,0.1,50.0
0,0,9,0.3771,15.0,57.28,2.0,-11.38,10.0,0.1,300.0,60.0,60.0,0.89,-13.24,4.7,10.0,225.6,15.0,30.0,0.0,-15.0,1.0,0.1,300.0,60.0,53.87,0.0,-15.0,10.0,0.1,50.0
