update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,0,0,0.3852,30.8,42.55,0.22,-15.0,10.0,8.07,203.47,15.0,34.69,1.14,-15.0,4.66,9.49,219.06,20.12,42.92,0.79,-4.94,7.88,6.53,57.88,41.28,38.56,0.0,-1.82,7.9,6.25,294.89
0,0,1,0.3989,20.84,48.83,0.28,-15.0,7.27,10.0,234.56,15.0,30.0,0.59,-15.0,3.54,7.72,291.65,50.96,35.55,0.03,-0.2,5.3,1.89,50.0,23.45,41.32,0.73,-7.16,10.0,9.24,234.13
0,0,2,0.3922,30.54,37.84,0.54,-15.0,10.0,10.0,122.06,34.09,30.0,1.55,-14.87,1.0,10.0,193.24,33.5,30.0,0.28,0.0,10.0,10.0,58.2,27.74,60.0,2.0,-2.77,10.0,7.85,300.0
0,0,3,0.4286,22.46,40.43,2.0,-15.0,10.0,10.0,93.7,29.89,30.0,2.0,-5.99,1.0,0.88,241.6,60.0,30.0,0.0,-10.65,10.0,10.0,50.0,43.02,53.16,2.0,-15.0,10.0,2.19,215.42
0,0,4,0.4831,25.35,30.0,2.0,-15.0,10.0,8.92,184.84,23.14,30.0,1.48,-7.48,1.0,6.41,86.25,60.0,30.0,0.0,-3.15,10.0,10.0,50.0,26.98,46.63,2.0,-15.0,10.0,3.41,215.84
0,0,5,0.4488,45.72,42.44,2.0,-15.0,10.0,7.49,248.47,19.27,30.0,1.57,-15.0,5.22,10.0,71.13,60.0,50.97,0.26,-15.0,10.0,3.81,50.0,15.0,58.58,2.0,-15.0,10.0,5.92,123.86
0,0,6,0.481,19.52,59.06,2.0,-15.0,10.0,3.67,300.0,27.18,30.0,0.53,-7.85,10.0,10.0,50.0,60.0,33.54,0.11,-15.0,10.0,0.1,50.0,15.0,33.54,2.0,-15.0,10.0,10.0,70.22
0,0,7,0.5309,15.0,60.0,2.0,-15.0,10.0,0.42,300.0,15.0,30.0,1.17,-3.67,10.0,10.0,50.0,55.17,30.0,0.57,-15.0,10.0,0.1,50.0,15.0,40.01,2.0,-15.0,10.0,10.0,50.0
0,0,8,0.4995,15.0,60.0,2.0,-15.0,10.0,0.1,300.0,15.0,30.0,2.0,0.0,10.0,10.0,58.74,60.0,43.5,0.99,-15.0,10.0,1.19,50.0,59.89,30.0,2.0,-15.0,10.0,10.0,50.0
0,0,9,0.4799,17.22,60.0,2.0,-15.0,10.0,0.1,300.0,15.0,30.0,1.26,0.0,5.23,9.14,50.0,60.0,43.33,0.62,-15.0,10.0,0.1,93.75,60.0,37.79,2.0,-15.0,10.0,10.0,50.0
0,0,10,0.4413,36.61,60.0,2.0,-15.0,10.0,4.88,300.0,15.0,30.0,1.16,-3.93,10.0,9.14,50.0,60.0,47.95,2.0,-15.0,10.0,0.1,126.96,60.0,39.9,2.0,-15.0,10.0,10.0,171.6
0,0,11,0.4518,18.41,60.0,2.0,-15.0,10.0,5.85,300.0,15.0,30.0,0.7,-8.21,10.0,4.99,138.4,60.0,56.16,2.0,-15.0,10.0,0.1,300.0,60.0,34.89,2.0,-15.0,10.0,10.0,50.0
0,0,12,0.473,15.0,60.0,2.0,-15.0,10.0,3.61,300.0,15.0,30.0,0.34,-10.51,10.0,9.67,63.85,37.58,43.47,2.0,-15.0,10.0,0.1,300.0,60.0,31.81,2.0,-15.0,10.0,10.0,50.0
0,0,13,0.4997,15.0,60.0,2.0,-15.0,5.88,2.21,300.0,15.0,30.0,1.26,-14.42,10.0,10.0,56.26,19.56,37.78,2.0,-15.0,10.0,0.1,300.0,60.0,34.3,2.0,-15.0,10.0,10.0,178.21
0,0,14,0.4943,15.0,60.0,2.0,-15.0,7.9,5.41,300.0,15.0,30.0,1.19,-15.0,10.0,10.0,50.0,50.25,34.96,2.0,-15.0,10.0,0.1,300.0,60.0,51.98,2.0,-15.0,7.28,10.0,50.0
0,1,0,0.4805,15.0,36.19,0.0,-10.79,7.21,7.06,50.0,15.0,30.0,0.07,-15.0,9.47,0.1,129.1,15.0,39.6,0.0,-2.65,10.0,0.1,90.67,37.89,52.66,0.0,-3.66,6.1,0.1,181.64
0,1,1,0.4532,17.4,30.0,0.0,-15.0,1.89,10.0,50.0,49.25,30.0,0.0,-15.0,5.64,0.1,50.0,15.0,33.28,2.0,-2.25,10.0,1.14,50.0,60.0,60.0,0.0,-10.01,6.58,0.1,50.0
0,1,2,0.4337,55.91,33.45,0.0,-6.93,1.0,10.0,50.0,50.35,30.0,0.0,-15.0,3.36,0.1,50.0,15.0,30.0,1.76,-6.69,10.0,1.08,50.0,60.0,60.0,0.0,-15.0,6.12,7.69,300.0
0,1,3,0.396,60.0,30.0,0.0,-7.61,1.0,10.0,50.0,44.16,30.0,0.0,-15.0,2.54,7.28,50.0,15.0,30.0,0.0,-15.0,7.22,2.43,135.58,60.0,54.62,1.51,-15.0,9.26,6.03,300.0
0,1,4,0.348,60.0,30.0,0.0,-0.63,1.0,10.0,50.0,50.5,30.0,0.0,-15.0,1.0,7.07,50.0,15.0,35.06,0.0,-15.0,6.18,2.5,166.04,60.0,60.0,0.28,-8.75,10.0,10.0,300.0
0,1,5,0.3253,60.0,50.82,0.0,0.0,1.0,10.0,50.0,53.39,30.0,0.0,-15.0,1.0,1.07,50.0,15.0,30.0,0.0,-15.0,7.07,5.83,170.46,60.0,60.0,0.0,-3.42,10.0,7.11,294.8
0,1,6,0.2885,60.0,45.52,0.56,0.0,1.0,10.0,50.0,41.81,30.0,0.0,-15.0,1.0,0.1,50.0,21.66,37.74,0.0,-15.0,10.0,7.69,300.0,60.0,60.0,0.0,-11.76,10.0,3.47,300.0
0,1,7,0.3026,60.0,55.13,0.56,0.0,1.0,10.0,50.0,34.53,30.0,0.0,-15.0,1.0,9.31,50.0,15.0,45.76,0.0,-6.6,10.0,4.79,50.0,60.0,51.16,0.0,-15.0,10.0,0.1,294.06
0,1,8,0.3418,60.0,49.45,0.64,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,10.0,50.0,15.0,30.03,0.0,-3.33,10.0,7.38,50.0,60.0,52.0,0.0,-15.0,10.0,0.1,300.0
0,1,9,0.3454,60.0,50.78,1.42,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,10.0,50.0,15.0,30.0,0.0,-10.62,10.0,6.94,208.98,60.0,37.52,0.0,-13.96,10.0,7.97,300.0
0,1,10,0.3389,60.0,48.75,1.39,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,5.24,50.0,15.0,30.0,0.0,-4.16,10.0,6.05,50.0,52.17,43.81,0.0,-15.0,10.0,10.0,300.0
0,1,11,0.346,60.0,43.9,0.73,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,7.0,50.0,15.0,30.0,0.0,-5.48,10.0,0.1,50.0,60.0,37.41,0.0,-15.0,10.0,10.0,298.91
