update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,0,0,0.4517,32.4,60.0,1.33,-8.64,5.52,1.57,139.38,56.24,30.0,2.0,-8.96,10.0,8.14,253.74,19.49,54.64,1.65,-8.13,1.69,10.0,213.67,21.21,30.0,1.71,-2.16,1.0,1.8,300.0
0,0,1,0.4079,58.1,60.0,0.0,-12.33,5.03,0.1,238.43,60.0,38.62,2.0,-15.0,10.0,5.53,300.0,15.0,60.0,0.39,-1.64,1.0,10.0,300.0,51.35,33.01,2.0,0.0,1.0,0.1,288.0
0,0,2,0.4075,23.64,60.0,0.0,-0.72,3.86,0.1,280.16,60.0,38.94,2.0,-15.0,6.02,9.89,300.0,15.0,52.95,0.52,0.0,1.0,9.49,300.0,45.09,30.0,2.0,0.0,1.8,0.1,150.59
0,0,3,0.4571,15.0,59.61,0.0,0.0,2.51,0.1,300.0,60.0,30.0,2.0,-15.0,1.69,10.0,283.7,15.0,44.53,0.0,0.0,1.0,6.54,300.0,36.99,30.0,2.0,-4.11,1.0,0.1,300.0
0,0,4,0.4934,15.0,57.37,0.0,0.0,6.69,0.1,300.0,60.0,30.0,2.0,-15.0,6.97,10.0,300.0,15.0,45.06,0.16,0.0,1.0,6.45,300.0,21.61,30.0,1.97,-15.0,1.0,0.1,214.65
0,0,5,0.5103,15.0,30.0,0.0,-3.82,2.48,0.1,300.0,60.0,30.0,2.0,-15.0,3.7,10.0,300.0,15.0,56.47,0.15,0.0,1.0,10.0,300.0,15.0,30.0,1.55,-13.99,1.0,0.1,150.78
0,0,6,0.505,15.0,30.0,0.0,-7.83,6.08,0.1,300.0,60.0,30.0,2.0,-15.0,6.79,10.0,300.0,15.0,56.89,0.0,0.0,1.0,10.0,300.0,45.93,30.0,0.18,-9.81,1.0,0.1,120.45
0,0,7,0.5019,25.97,31.29,0.0,-8.9,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,10.0,10.0,300.0,15.0,58.8,0.0,0.0,1.0,10.0,300.0,18.61,30.0,0.04,-12.63,1.0,0.1,133.72
0,0,8,0.4115,25.08,47.63,0.0,-10.9,5.87,0.1,300.0,60.0,34.98,2.0,-15.0,1.0,10.0,300.0,15.0,49.37,0.0,0.0,1.0,10.0,300.0,15.0,30.0,0.66,-9.4,1.0,0.1,83.01
0,0,9,0.3514,44.64,46.65,0.0,-15.0,3.57,0.1,300.0,60.0,60.0,2.0,-15.0,1.0,10.0,300.0,15.0,43.64,0.0,0.0,1.0,10.0,300.0,37.74,30.0,0.78,-8.26,1.0,0.1,166.39
0,0,10,0.3781,60.0,34.35,0.0,-15.0,7.02,0.1,300.0,60.0,57.43,2.0,-15.0,1.0,10.0,300.0,15.0,51.47,0.0,0.0,1.0,10.0,300.0,32.04,30.0,0.0,-6.76,1.0,1.97,158.8
0,0,11,0.4311,60.0,30.0,0.0,-15.0,8.06,0.1,300.0,60.0,58.85,2.0,-15.0,1.0,10.0,300.0,15.0,48.29,0.0,0.0,1.0,10.0,300.0,25.89,30.0,0.0,-9.5,1.0,6.66,50.0
0,0,12,0.4424,60.0,30.0,0.0,-15.0,10.0,0.1,300.0,60.0,56.69,2.0,-15.0,1.0,10.0,300.0,15.0,39.45,0.65,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-12.15,2.49,6.39,50.0
0,0,13,0.4302,60.0,30.0,0.0,-15.0,10.0,0.1,300.0,60.0,51.51,2.0,-15.0,1.0,10.0,300.0,15.0,53.74,1.05,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-15.0,1.24,6.33,50.0
0,0,14,0.4766,60.0,30.0,0.0,-15.0,8.17,0.1,300.0,60.0,59.15,2.0,-15.0,1.0,10.0,300.0,15.0,35.09,2.0,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-13.1,7.53,0.1,86.59
0,0,15,0.3995,60.0,52.4,0.0,-15.0,6.97,0.1,300.0,60.0,34.99,2.0,-15.0,1.0,10.0,300.0,15.0,55.36,2.0,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-15.0,10.0,1.14,50.0
0,0,16,0.3541,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,43.19,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-15.0,10.0,5.97,50.0
0,0,17,0.4106,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,57.2,2.0,0.0,1.0,10.0,300.0,60.0,30.0,0.0,-15.0,8.65,7.68,50.0
0,0,18,0.44,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,2.65,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,39.55,0.78,-15.0,9.04,2.19,50.0
0,0,19,0.4823,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,45.6,2.0,-15.0,8.11,0.1,50.0
0,0,20,0.5367,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,30.0,2.0,-15.0,8.83,0.1,50.0
