score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.313,15.93,55.07,1.96,-1.67,5.97,8.93,135.1
0.34,15.93,32.54,1.91,-1.67,5.97,5.16,229.46
0.355,15.93,32.54,1.91,-14.94,5.97,5.16,229.46
0.368,15.93,32.54,1.91,-14.94,5.97,0.1,229.46
0.382,15.93,30.23,1.91,-14.94,5.97,0.1,191.65
0.395,15.93,30.23,1.91,-14.94,5.97,0.1,85.86
0.405,15.93,30.23,1.91,-14.94,9.62,0.1,85.86
0.411,15.93,30.23,1.91,-14.94,6.76,0.1,63.31
0.412,15.93,30.23,1.87,-14.94,9.62,0.1,64.33
0.415,15.93,30.23,1.87,-14.94,6.91,0.1,63.31
0.421,15.93,30.23,1.91,-14.94,6.91,0.1,51.25
