score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.278,17.55,38.94,1.88,-12.88,3.99,1.82,205.81
0.327,17.55,30.27,1.88,-12.88,3.46,1.82,140.6
0.332,17.55,30.27,1.88,-12.88,5.39,1.82,140.6
0.332,17.55,30.27,1.88,-12.88,5.39,1.82,140.6
0.335,16.4,30.27,1.88,-13.24,7.86,1.82,140.6
0.343,16.4,30.27,1.94,-13.24,7.86,0.42,140.6
0.35,16.4,30.27,1.94,-13.88,7.86,0.42,87.75
0.361,16.4,30.27,1.94,-13.88,7.86,0.12,87.75
0.371,16.4,30.27,1.94,-13.88,9.76,0.12,54.76
0.371,16.4,30.27,1.94,-13.88,9.76,0.12,54.76
0.371,16.4,30.27,1.94,-13.88,9.76,0.12,54.76
