score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.255,15.23,51.28,1.87,-2.27,2.28,7.43,268.87
0.272,15.04,53.04,1.87,-9.37,2.28,6.71,174.93
0.274,15.23,30.89,1.87,-9.37,5.19,6.71,174.93
0.279,15.04,40.72,1.87,-9.37,9.81,3.09,174.93
0.284,15.04,30.89,1.87,-9.37,9.81,1.4,174.93
0.288,15.04,30.89,1.81,-9.37,9.81,1.4,79.92
0.294,15.04,30.89,1.87,-13.72,3.99,1.4,79.92
0.3,15.04,30.89,1.87,-13.72,9.81,1.4,79.92
0.302,15.04,30.89,1.87,-14.31,9.81,1.4,79.92
0.305,15.04,30.89,1.87,-14.31,9.81,0.99,79.92
0.306,15.04,30.89,1.87,-14.31,9.56,0.99,79.92
