score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.349,17.35,39.06,1.08,-12.1,4.97,1.4,110.1
0.397,17.35,31.25,1.81,-12.78,4.97,1.4,110.1
0.404,17.35,31.25,1.81,-12.78,4.97,0.13,110.1
0.415,17.35,31.25,1.81,-12.78,9.83,0.13,110.1
0.42,17.35,31.25,1.81,-12.78,7.57,0.13,80.89
0.424,17.35,31.25,1.81,-12.78,8.45,0.13,80.89
0.424,17.35,31.25,1.81,-12.78,8.45,0.13,80.89
0.425,17.35,31.25,1.97,-12.78,8.45,0.13,80.89
0.434,17.35,31.25,1.81,-13.96,9.06,0.13,71.76
0.434,17.35,31.25,1.81,-13.96,9.06,0.13,71.76
0.436,17.35,30.89,1.97,-12.71,9.06,0.13,53.42
