score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.314,15.63,49.85,1.85,-11.5,8.24,7.17,187.32
0.36,15.63,31.38,1.85,-11.5,3.67,1.95,58.68
0.376,15.63,31.38,1.85,-11.5,9.54,1.95,60.95
0.376,15.63,31.38,1.85,-11.5,9.54,1.95,60.95
0.378,15.63,31.38,1.85,-11.5,8.24,0.81,58.68
0.378,15.63,31.38,1.85,-11.5,8.24,0.81,58.68
0.389,15.63,31.38,1.85,-13.76,9.54,0.46,58.68
0.391,15.63,31.38,1.85,-13.26,9.54,0.46,52.71
0.397,15.63,30.21,1.85,-13.76,9.54,0.46,57.86
0.398,15.63,30.43,1.85,-13.76,9.54,0.46,52.71
0.398,15.63,30.43,1.85,-13.76,9.54,0.46,52.71
