score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.245,30.16,59.46,1.56,-11.61,2.22,5.18,263.53
0.215,38.98,33.21,0.19,-2.22,2.05,6.1,210.46
0.2,59.28,41.77,0.54,-3.6,2,6.74,52.14
0.27,53.51,41.61,1.97,-9.81,9.33,2.23,224.94
0.253,29.96,57.47,1.75,-6.06,4.21,5.77,58.58
0.253,26.33,36.32,1.08,-3.24,7.4,2.87,54.59
0.247,33.19,34.51,0.23,-10.44,9.06,0.18,200.93
0.269,58.18,33.99,1.46,-13.33,3.46,8.38,289.2
0.216,48.85,45.76,0.81,-12.07,2.13,5.9,154.66
0.271,26.51,50.92,1.9,-4.32,6.56,0.22,92
0.22,58.22,49.4,0.86,-4.78,6.74,5.07,277.59
0.284,27.42,35.88,1.88,-10.18,6.68,9.87,121.28
0.238,29.58,31.15,0.13,-5.98,8.48,5.29,61.1
0.217,32.06,54.24,0.87,-9.43,5.68,2.46,216.61
0.223,57.63,39.77,0.73,-8.75,8.19,8.24,285.91
0.182,24.11,54.77,0.03,-5.44,2.93,2.45,61.79
0.223,45.42,39.36,0.58,-3.23,4.42,2.13,74.64
0.271,22.75,48.49,1.87,-5.03,3.76,1.14,260.29
0.289,16.52,57.05,0.94,-14.7,5.94,6.14,251.33
0.243,34.85,53.5,1.74,-7.16,1.6,1.69,73.89
0.3,17.79,54.21,1.91,-9.55,5.67,5.16,229.46
0.234,27.98,40.26,0.74,-11.78,3.24,0.29,204.41
0.267,29.68,38.84,1.75,-13.09,3.13,3.01,238.52
0.251,36.01,57.24,1.85,-12.12,1.35,2.9,83.66
0.232,58.52,45.82,1.08,-10.25,3.13,0.34,276.53
0.239,30.46,55.81,1.47,-1.94,8.34,1.52,279.06
0.234,20.22,49.94,0.38,-5.78,4.7,0.95,137.42
0.313,15.93,55.07,1.96,-1.67,5.97,8.93,135.1
0.295,15.23,52.19,1.36,-13.48,1.26,9.37,181.69
0.249,24.88,35.74,1.1,-1.29,2.83,4.39,173.39
0.193,55.74,41.55,0.11,-7.1,6.63,4.31,207.91
0.269,19.74,44.8,1.14,-8.12,6.52,7.51,190.35
0.21,36.99,51.92,0.92,-2.72,3.25,9.68,253.34
0.292,25.71,30.66,1.46,-3.71,8.8,2.91,62.66
0.256,23.61,35.87,0.59,-12.21,3.99,2.41,113.41
0.218,54.17,47.96,0.56,-14.79,5.43,7.55,120.05
0.178,53.09,46.57,0.05,-5.39,2.06,4.68,50.61
0.205,26.27,37.72,0.07,-3.3,9.47,8.37,275.95
0.237,32.65,41.99,1.33,-3.78,5.33,1.06,238.4
0.267,24.28,39.01,1.65,-4.97,1.33,5.75,151.15
0.278,44.23,42.08,1.81,-11.25,7.3,1.07,113.82
0.266,41.68,31.96,1.16,-13.88,9.22,6.97,240.07
0.286,16.99,31.94,0.06,-5.8,8.69,9.96,190.6
0.227,57.84,31.25,0.17,-2.61,1.79,7.78,108.89
0.271,16.85,43.87,0.56,-8.67,2.91,7.11,276.3
0.277,23.77,52.77,1.89,-7.88,5.84,3.6,173.42
0.277,18.4,37.77,1.11,-2.04,9.29,6.12,296.55
0.252,48.83,37.69,1.59,-2.6,7.37,2.07,142.66
0.227,43.19,33.18,0.3,-7.55,7.64,8.97,164.8
0.219,59.82,49.02,0.73,-13.06,3.42,8.04,198.88
