score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.239,34.84,34.38,1.83,-2.39,1.77,1.74,179.45
0.153,37.4,53.61,0.31,-4.78,5.85,9.81,180.86
0.207,44.02,56.75,1.66,-2.19,4.26,0.85,74.13
0.206,51.6,33.98,0.06,-10.87,8.39,2.17,153.72
0.276,58.31,32.6,1.85,-12.07,3.39,1.05,71.41
0.199,56.18,35.45,0.55,-7.87,1.41,0.58,204.66
0.197,54.62,40.73,0.78,-13.85,1.71,0.28,111.96
0.175,35.04,53.65,0.93,-4.87,1.44,2.05,191.85
0.206,51.88,36.01,0.37,-12.14,9.28,3.09,104.44
0.195,27.36,37.61,0.09,-9.05,3.9,0.96,165.92
0.214,48.04,48.34,1.72,-6.78,8.34,3.4,201.11
0.206,44.77,37.34,1.16,-4.33,3.1,3.2,157.58
0.229,24.14,46.83,1.66,-10.82,6.78,9.71,182.28
0.212,51.3,31.9,0.21,-1.42,6.95,3.15,181.66
0.166,42.6,39.01,0.06,-3.53,1.26,4.92,69.46
0.154,43.06,56.97,0.01,-12.6,9.52,3.56,169.4
0.184,55.49,51.42,1.29,-3.46,1.22,1.57,288.31
0.22,54.62,43.99,1.9,-6.23,9.71,3.38,295.68
0.174,59.95,46.17,0.72,-2.76,6.07,4.25,58.84
0.261,52.77,30.12,1.71,-2.72,2.26,9.33,254.57
0.166,32.38,46.76,0.56,-4.25,3.08,9.91,298.49
0.219,57.83,36.11,1.45,-5.3,9.44,9.09,276.26
0.221,30.29,34.71,0.95,-8.69,8.79,2.82,89.39
0.198,59.37,58.23,1.62,-12.44,2.23,7.63,210.97
0.147,51.77,58.27,0.18,-6.17,1.88,2.0,179.27
0.174,42.72,51.57,0.75,-13.02,2.11,9.08,94.62
0.24,42.68,33.38,1.48,-4.54,1.93,2.15,239.81
0.182,46.17,50.94,0.65,-13.39,7.77,7.59,177.15
0.17,52.45,57.0,0.59,-9.56,4.55,1.96,262.13
0.204,41.42,33.46,0.1,-7.31,4.02,1.37,217.78
0.228,44.97,39.61,1.26,-12.8,6.02,3.13,60.45
0.209,48.97,46.09,1.73,-10.83,2.22,2.21,247.07
