score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.335,18.27,30.54,1.16,-12.13,9.78,1.16,163.02
0.331,16.47,35.41,1.55,-14.77,6.08,1.99,241.67
0.304,15.75,34.95,1.08,-5.85,1.74,6.4,260.31
0.347,15.13,32.33,1.36,-11.73,6.97,2.18,149.21
0.313,17.83,35.28,1.3,-11.98,4.37,0.17,278.17
0.316,16.84,43.34,2.0,-5.0,6.49,4.52,249.31
0.317,15.86,51.57,1.97,-2.26,5.46,7.17,130.23
0.319,15.12,48.04,1.51,-12.28,3.19,2.16,246.05
0.338,17.78,30.21,1.59,-11.22,4.66,7.0,55.72
0.279,51.0,32.83,1.54,-8.35,8.23,0.24,237.65
