score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.31,18.27,30.54,1.16,-12.13,9.78,1.16,163.02
0.301,16.47,35.41,1.55,-14.77,6.08,1.99,241.67
0.276,15.75,34.95,1.08,-5.85,1.74,6.4,260.31
0.318,15.13,32.33,1.36,-11.73,6.97,2.18,149.21
0.281,40.73,32.32,1.95,-13.34,5.43,0.4,151.46
0.273,34.51,31.97,1.93,-12.7,8.9,5.3,129.04
0.273,15.86,51.57,1.97,-2.26,5.46,7.17,130.23
0.275,15.12,48.04,1.51,-12.28,3.19,2.16,246.05
0.314,17.78,30.21,1.59,-11.22,4.66,7.0,55.72
0.253,51.0,32.83,1.54,-8.35,8.23,0.24,237.65
