score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.329,18.27,30.54,1.16,-12.13,9.78,1.16,163.02
0.323,16.47,35.41,1.55,-14.77,6.08,1.99,241.67
0.296,53.55,30.01,1.26,-10.48,6.66,2.59,102.44
0.343,15.13,32.33,1.36,-11.73,6.97,2.18,149.21
0.323,40.73,32.32,1.95,-13.34,5.43,0.4,151.46
0.308,34.51,31.97,1.93,-12.7,8.9,5.3,129.04
0.303,15.86,51.57,1.97,-2.26,5.46,7.17,130.23
0.3,15.12,48.04,1.51,-12.28,3.19,2.16,246.05
0.336,17.78,30.21,1.59,-11.22,4.66,7.0,55.72
0.284,51.0,32.83,1.54,-8.35,8.23,0.24,237.65
