score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.179,49.11,38.09,0.2,-9.83,8.32,9.14,201.66
0.282,51.88,46.31,4.68,-1.84,1.02,8.59,58.4
0.282,51.89,35.27,4.32,-4.59,3.7,4.28,57.08
0.257,33.73,50.12,3.24,-3.85,4.45,9.97,295.21
0.259,50.57,49.51,3.44,-6.11,2.22,7.24,181.34
0.275,39.31,44.58,4.45,-0.66,4.22,5.76,130.47
0.217,47.83,40.14,1.96,-1.1,3.04,6.27,71.0
0.185,54.98,53.61,1.2,-1.24,1.53,3.43,87.57
0.21,43.51,53.89,1.15,-9.48,4.64,2.07,72.69
0.263,47.41,38.96,3.36,-8.0,9.48,3.71,76.37
0.22,48.87,57.81,2.2,-0.45,5.5,4.31,205.05
0.229,59.85,58.47,2.3,-2.42,5.48,5.34,246.45
0.26,42.44,52.03,3.56,-0.68,2.03,7.32,281.86
0.277,59.04,30.44,4.32,-0.19,9.61,1.57,293.16
0.23,56.7,54.67,2.4,-7.68,8.22,9.24,116.53
0.29,46.17,43.28,4.66,-9.59,7.59,6.18,57.09
0.277,51.58,30.48,3.79,-4.87,9.36,0.75,260.33
0.227,32.0,40.33,2.15,-0.34,6.06,2.66,110.42
0.188,56.64,36.78,0.62,-7.12,6.28,5.59,252.43
0.223,46.81,38.65,2.06,-1.82,6.64,9.59,142.35
0.274,46.58,47.82,4.24,-8.55,4.66,9.11,60.77
0.281,54.68,42.46,4.15,-9.9,4.29,0.88,213.15
0.292,38.22,51.08,4.72,-8.73,8.78,0.69,145.19
0.291,42.89,44.67,4.88,-2.24,3.78,2.77,265.78
0.203,56.44,45.32,1.72,-0.05,3.84,1.91,270.02
0.287,54.37,50.04,4.79,-0.74,7.73,8.62,111.79
0.263,34.24,50.1,3.57,-8.33,4.56,9.11,190.35
0.241,47.35,35.82,2.63,-4.77,1.8,9.82,192.85
0.294,30.19,53.18,4.89,-4.1,3.88,1.96,218.13
0.239,35.85,47.33,3.01,-0.38,1.65,5.05,236.02
0.158,35.32,41.64,0.31,-2.74,1.79,4.01,268.38
0.263,44.17,57.38,3.83,-0.85,2.15,0.83,67.58
0.234,56.07,49.02,2.48,-8.36,7.06,3.25,227.72
0.27,43.81,45.22,3.95,-9.07,6.21,2.05,252.03
0.165,44.67,59.66,0.91,-0.37,8.21,4.86,253.38
0.284,48.09,49.65,4.57,-9.35,8.51,3.88,131.39
0.236,59.82,53.44,2.43,-5.77,8.9,0.96,227.1
0.204,53.67,53.98,1.61,-2.03,3.03,3.69,154.36
0.233,46.24,33.38,2.03,-10.0,7.7,8.53,84.73
0.289,51.11,54.63,4.91,-1.56,4.82,9.8,293.5
0.277,45.11,52.6,4.57,-5.24,8.77,7.05,123.48
0.173,53.03,47.12,0.47,-6.09,1.66,4.81,157.13
0.159,42.71,47.59,0.61,-0.66,7.16,8.26,274.2
0.268,47.5,31.21,3.56,-4.31,8.43,5.37,253.31
0.197,59.91,40.52,0.86,-6.08,7.78,4.45,197.1
0.212,33.82,51.78,1.4,-8.09,8.77,5.69,171.12
0.264,56.96,32.58,3.48,-6.72,2.58,6.78,140.71
0.18,39.9,58.31,1.0,-4.88,1.22,1.72,270.85
0.177,53.68,46.71,1.11,-4.42,1.11,7.16,229.19
0.184,49.38,48.34,0.37,-7.54,6.17,4.0,298.01
0.246,57.71,34.56,2.95,-3.04,2.23,3.19,228.98
0.197,57.03,40.25,1.19,-1.78,6.26,4.82,114.04
0.265,32.18,30.54,2.9,-8.09,9.78,1.16,163.02
0.269,41.84,36.97,3.74,-3.56,7.53,0.92,138.19
0.179,45.59,42.8,0.2,-8.06,9.51,1.71,263.01
0.229,54.66,41.74,2.33,-1.76,7.13,8.39,239.4
0.274,50.74,57.39,4.11,-8.21,7.73,0.96,156.46
0.282,41.9,36.07,4.69,-9.05,1.04,3.3,297.69
0.194,37.94,54.92,0.87,-4.14,9.63,7.19,295.13
0.268,47.24,59.5,4.19,-2.22,9.0,6.35,139.09
0.269,45.85,36.8,3.89,-8.3,6.19,5.41,217.98
0.262,52.81,33.29,3.12,-5.86,6.53,6.97,196.37
0.231,51.99,45.6,2.31,-7.13,3.06,6.98,223.93
0.256,35.86,59.16,3.36,-4.69,8.57,4.92,168.99
0.261,37.75,34.68,3.56,-1.56,7.1,3.75,193.93
0.219,46.9,58.1,1.94,-8.35,8.89,8.96,62.07
0.27,35.95,49.09,3.94,-3.93,2.72,1.26,176.49
0.186,54.47,36.51,0.38,-4.49,2.73,0.77,243.32
0.214,54.64,41.95,1.47,-7.23,4.25,5.81,181.96
0.256,40.66,49.12,3.38,-4.42,4.49,6.28,197.98
0.24,40.21,39.1,2.73,-3.88,6.5,3.89,191.44
0.272,59.57,42.84,4.22,-9.19,8.88,9.42,115.47
0.175,30.36,44.49,0.91,-0.28,9.08,9.61,200.97
0.258,45.45,54.98,3.26,-7.51,9.41,4.45,243.39
0.214,45.03,35.5,1.48,-4.26,2.29,0.24,158.47
0.207,52.87,48.42,1.62,-2.83,5.36,10.0,244.01
0.193,54.92,37.79,0.76,-8.01,4.89,5.17,98.65
0.216,53.4,56.05,1.58,-4.92,6.35,7.25,86.87
0.238,38.43,51.92,2.84,-1.0,5.03,4.13,126.63
0.194,36.94,49.52,1.32,-1.38,3.44,6.77,192.05
0.191,48.85,56.86,0.85,-8.5,2.1,0.86,183.56
0.171,34.97,54.22,0.11,-6.25,5.26,2.24,138.98
0.285,36.68,38.45,4.63,-5.83,4.47,6.15,216.04
0.249,49.81,32.54,2.91,-2.64,8.16,5.93,82.64
0.288,32.51,39.69,4.64,-5.27,9.06,4.65,238.78
0.199,44.55,51.26,1.59,-1.1,3.39,0.16,230.29
0.257,50.3,49.71,3.44,-4.14,2.04,6.73,51.65
0.223,35.49,42.63,1.89,-8.81,4.84,6.27,144.37
0.185,51.25,36.93,0.72,-2.51,7.02,4.35,84.19
0.187,49.91,52.5,0.82,-3.11,4.2,9.16,237.88
0.172,38.21,58.14,0.13,-8.15,3.18,7.35,181.54
0.267,43.93,36.68,3.78,-8.83,3.23,8.08,162.76
0.272,56.3,48.05,3.95,-8.13,3.85,3.83,173.55
0.189,44.17,54.67,0.87,-1.49,9.0,0.85,52.35
0.293,38.78,42.02,4.85,-9.29,8.03,4.81,82.47
0.204,40.98,41.43,1.22,-7.06,4.78,9.63,164.72
0.192,58.5,30.92,0.33,-9.72,6.99,2.28,194.11
0.207,53.86,39.95,1.23,-2.75,5.28,1.58,71.86
0.278,52.12,55.81,4.45,-4.9,2.38,2.33,163.38
0.2,55.56,49.51,1.37,-2.44,4.92,9.83,157.18
0.267,55.12,30.44,3.59,-6.02,5.49,2.07,282.38
0.246,35.99,46.85,2.99,-1.42,5.2,8.32,180.97
0.284,58.69,51.5,4.56,-0.58,8.22,1.31,81.11
0.227,48.49,38.14,1.93,-8.26,7.86,8.56,83.2
0.269,45.51,41.85,3.95,-5.35,7.58,5.7,294.56
0.227,42.59,59.63,2.08,-8.17,8.04,2.79,191.44
0.157,49.38,35.99,0.17,-0.13,8.36,1.32,261.99
0.272,37.74,37.42,3.86,-2.43,8.61,1.45,236.9
0.262,44.09,39.78,3.67,-1.55,3.9,1.63,297.92
0.271,57.58,38.7,4.07,-9.1,9.21,7.77,99.22
0.219,38.87,47.87,1.78,-2.64,6.33,2.15,202.53
0.188,30.42,33.35,0.81,-6.46,1.11,9.31,109.88
0.286,38.12,41.27,4.7,-6.48,4.88,3.06,294.06
0.261,40.95,32.51,3.29,-2.83,4.35,2.19,152.31
0.276,43.17,59.86,4.29,-3.79,2.75,6.91,239.75
0.212,32.26,41.38,1.63,-4.3,6.88,1.9,167.41
0.228,59.77,30.48,1.85,-6.66,4.65,8.71,159.58
0.225,56.49,47.27,2.12,-7.48,8.41,6.48,103.06
0.285,33.9,33.76,4.55,-5.97,8.38,8.96,106.58
0.276,30.98,35.41,3.86,-9.85,6.08,1.99,241.67
0.203,44.38,46.47,1.47,-5.43,1.41,8.11,276.87
0.275,52.58,44.87,4.22,-9.96,6.99,7.7,131.66
0.265,55.7,30.01,3.16,-6.99,6.66,2.59,102.44
0.178,48.78,44.91,0.94,-1.14,8.94,5.54,226.52
0.274,43.54,54.04,4.17,-2.36,3.19,0.34,214.56
0.277,42.34,56.83,4.3,-4.66,4.4,7.16,227.34
0.247,50.47,55.27,2.89,-4.84,5.65,8.9,141.69
0.178,55.26,45.15,0.43,-5.51,3.62,5.33,263.33
0.245,35.38,44.26,2.91,-2.3,9.47,5.55,280.4
0.264,40.1,52.93,3.82,-4.49,2.56,3.92,122.71
0.282,59.01,49.34,4.55,-7.04,4.86,5.72,138.68
0.124,43.69,47.98,0.14,-6.6,1.0,4.88,202.0
0.27,32.79,37.26,4.02,-1.6,4.49,8.16,119.29
0.216,51.18,46.36,2.2,-3.44,1.12,1.71,123.46
0.248,50.42,51.19,3.4,-2.32,1.72,1.15,263.84
0.23,40.71,47.05,2.52,-3.73,1.69,7.72,80.85
0.236,50.44,42.06,2.46,-3.28,4.34,0.56,291.05
0.237,45.68,52.26,2.66,-1.8,6.08,1.32,210.48
0.25,35.18,54.71,3.41,-0.6,6.66,2.33,189.28
0.213,53.15,51.36,1.71,-3.45,9.42,6.88,141.83
0.273,57.32,54.83,4.28,-8.93,3.62,7.92,118.7
0.269,32.21,50.5,4.0,-3.58,4.1,5.64,55.38
0.186,46.88,55.7,0.39,-6.17,2.48,3.86,53.25
0.226,54.83,44.89,2.18,-3.98,8.65,2.98,116.88
0.188,31.48,37.99,0.33,-9.58,5.97,1.92,68.56
