update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.174,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.132,60.0,54.85,0.02,-14.56,1.0,2.79,50.0
0,0,2,0.137,58.32,52.74,0.0,-8.7,1.0,9.5,50.0
0,0,3,0.19,60.0,42.78,0.0,-12.27,7.32,10.0,50.0
0,0,4,0.188,60.0,60.0,0.0,-14.56,4.88,4.82,50.0
0,0,5,0.121,60.0,60.0,0.0,-0.78,2.54,1.96,50.0
0,0,6,0.12,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,7,0.12,60.0,60.0,0.0,-2.64,1.0,0.1,50.0
0,0,8,0.12,60.0,60.0,0.0,-7.51,1.0,0.1,50.0
0,0,9,0.12,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.12,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,11,0.12,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.131,60.0,56.93,0.0,0.0,1.0,0.1,50.0
0,0,13,0.137,60.0,54.14,0.0,0.0,1.0,0.1,50.0
0,0,14,0.12,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,1,0,0.261,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.288,15.0,34.37,0.0,-9.01,10.0,6.12,127.29
0,1,2,0.286,15.0,47.19,0.57,-5.39,10.0,3.58,50.0
0,1,3,0.369,15.0,41.02,0.72,-13.16,10.0,0.1,50.0
0,1,4,0.378,15.0,46.58,1.62,-15.0,10.0,0.1,72.77
0,1,5,0.316,15.0,37.66,1.28,-4.66,10.0,1.56,88.45
0,1,6,0.344,15.0,30.0,1.39,-0.17,10.0,0.1,56.11
0,1,7,0.31,15.0,49.91,2.0,0.0,4.82,0.83,50.0
0,1,8,0.317,15.0,52.19,2.0,-6.98,1.0,4.79,50.0
0,1,9,0.327,15.0,50.32,2.0,-9.41,1.51,1.71,50.0
0,1,10,0.405,15.0,60.0,2.0,-15.0,8.6,0.1,50.0
0,1,11,0.37,15.0,60.0,2.0,-15.0,2.97,0.1,50.0
0,1,12,0.393,15.0,60.0,2.0,-15.0,4.98,0.1,50.0
0,1,13,0.311,15.0,60.0,2.0,-15.0,1.0,0.1,50.0
0,1,14,0.311,15.0,60.0,2.0,-15.0,1.0,4.21,50.0
0,2,0,0.255,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.289,15.0,60.0,0.77,-7.32,5.01,4.57,82.5
0,2,2,0.306,15.0,60.0,0.35,-9.72,9.52,0.1,143.92
0,2,3,0.278,15.0,60.0,0.0,-15.0,10.0,2.14,90.82
0,2,4,0.285,15.0,60.0,0.09,-15.0,10.0,6.9,153.57
0,2,5,0.262,15.0,60.0,0.0,-11.49,10.0,7.74,50.0
0,2,6,0.257,15.0,60.0,0.0,-8.58,7.39,10.0,50.0
0,2,7,0.233,15.0,60.0,0.0,-6.08,9.58,10.0,50.0
0,2,8,0.236,15.0,60.0,0.0,-2.74,10.0,10.0,50.0
0,2,9,0.236,15.0,60.0,0.0,0.0,7.9,10.0,50.0
0,2,10,0.251,15.0,60.0,0.0,-7.4,7.68,5.75,50.0
0,2,11,0.267,15.0,60.0,0.0,-15.0,5.8,9.91,50.0
0,2,12,0.277,15.0,60.0,0.0,-15.0,4.33,3.35,50.0
0,2,13,0.236,15.0,60.0,0.0,-12.48,1.0,0.1,50.0
0,2,14,0.236,15.0,60.0,0.0,-15.0,1.0,3.55,50.0
0,3,0,0.21,34.74,38.18,0.56,-15.0,1.0,10.0,215.18
0,3,1,0.164,40.76,49.52,0.15,-15.0,1.0,10.0,52.64
0,3,2,0.156,58.33,48.45,0.11,-15.0,1.0,10.0,50.0
0,3,3,0.225,60.0,30.0,0.0,-15.0,1.0,10.0,50.0
0,3,4,0.235,60.0,30.0,0.33,-15.0,1.0,10.0,50.0
0,3,5,0.258,60.0,30.0,1.14,-15.0,1.0,10.0,50.0
0,3,6,0.268,60.0,30.0,1.0,-15.0,1.36,10.0,50.0
0,3,7,0.255,60.0,42.55,1.48,-15.0,4.7,10.0,50.0
0,3,8,0.265,60.0,41.24,2.0,-15.0,1.95,10.0,50.0
0,3,9,0.213,60.0,56.23,1.31,-15.0,1.08,10.0,57.64
