update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.15,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.124,60.0,54.47,0.06,-13.66,1.0,2.99,50.0
0,0,2,0.117,58.42,53.09,0.0,-6.74,1.0,10.0,50.0
0,0,3,0.159,60.0,42.9,0.0,-9.69,6.59,10.0,50.0
0,0,4,0.146,60.0,60.0,0.0,-11.12,4.35,4.25,50.0
0,0,5,0.104,60.0,60.0,0.0,0.0,2.13,0.98,50.0
0,0,6,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,7,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,8,0.104,60.0,60.0,0.0,-4.28,1.0,0.1,50.0
0,0,9,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,11,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,13,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,14,0.104,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,1,0,0.25,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.266,15.0,34.46,0.0,-9.14,10.0,5.96,128.75
0,1,2,0.238,15.0,49.52,0.42,-6.1,10.0,2.23,50.0
0,1,3,0.314,15.0,44.31,0.52,-12.89,10.0,0.1,50.0
0,1,4,0.298,15.0,51.34,1.3,-15.0,10.0,0.1,148.97
0,1,5,0.262,15.0,43.03,0.76,-5.19,10.0,0.1,190.71
0,1,6,0.303,15.0,30.73,0.76,-1.62,10.0,0.1,177.64
0,1,7,0.269,15.0,56.06,1.69,-1.39,8.84,0.1,188.34
0,1,8,0.321,15.0,57.54,2.0,-10.36,4.84,0.1,50.0
0,1,9,0.331,15.0,55.34,2.0,-12.74,6.32,0.1,50.0
0,1,10,0.334,15.0,60.0,1.51,-15.0,10.0,0.1,50.0
0,1,11,0.316,15.0,60.0,1.48,-15.0,8.71,0.1,77.13
0,1,12,0.345,15.0,60.0,2.0,-15.0,10.0,0.1,50.0
0,1,13,0.339,15.0,60.0,2.0,-15.0,6.62,0.1,50.0
0,1,14,0.321,15.0,60.0,2.0,-15.0,4.84,0.1,80.6
0,2,0,0.219,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.24,15.0,60.0,0.75,-6.05,5.94,3.34,94.85
0,2,2,0.247,15.0,60.0,0.41,-7.67,10.0,0.1,180.42
0,2,3,0.253,15.0,60.0,0.0,-14.77,10.0,0.1,139.71
0,2,4,0.243,15.0,60.0,0.1,-15.0,10.0,1.72,230.55
0,2,5,0.224,15.0,60.0,0.0,-7.43,10.0,0.76,110.48
