update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.154,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.11,60.0,54.33,0.1,-13.63,1.0,3.06,50.0
0,0,2,0.104,59.42,52.44,0.0,-6.35,1.0,10.0,50.0
0,0,3,0.155,60.0,39.4,0.0,-9.22,7.18,10.0,50.0
0,0,4,0.164,60.0,60.0,0.0,-10.05,4.98,5.59,50.0
0,0,5,0.087,60.0,60.0,0.0,0.0,2.57,2.9,50.0
0,0,6,0.087,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,7,0.087,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,8,0.087,60.0,60.0,0.0,-1.0,1.0,0.1,50.0
0,0,9,0.087,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.087,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,11,0.087,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.1,60.0,51.01,0.0,0.0,1.0,0.1,50.0
0,0,13,0.121,60.0,45.96,0.0,0.0,1.0,0.1,50.0
0,0,14,0.085,60.0,56.31,0.0,0.0,1.0,0.1,50.0
0,1,0,0.205,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.217,15.0,38.51,0.0,-8.77,10.0,5.88,113.16
0,1,2,0.221,15.0,55.94,0.13,-4.99,10.0,2.82,50.0
0,1,3,0.268,15.0,52.09,0.08,-11.48,10.0,0.1,50.0
0,1,4,0.3,15.0,60.0,0.77,-13.61,10.0,0.1,50.0
0,1,5,0.219,15.0,55.04,0.23,-1.45,10.0,0.1,72.12
0,1,6,0.203,15.0,43.58,0.12,0.0,10.0,0.1,50.0
0,1,7,0.204,16.22,60.0,0.94,0.0,5.75,0.1,50.0
0,1,8,0.269,15.0,60.0,1.88,-5.18,1.49,0.2,50.0
0,1,9,0.27,15.0,60.0,1.64,-7.14,3.21,0.1,50.0
0,1,10,0.303,15.0,60.0,1.01,-14.63,10.0,0.1,50.0
0,1,11,0.293,15.0,60.0,0.98,-15.0,5.72,0.1,50.0
0,1,12,0.317,15.0,60.0,2.0,-15.0,7.86,0.1,50.0
0,1,13,0.298,15.0,60.0,2.0,-15.0,3.32,0.1,50.0
0,1,14,0.282,15.0,60.0,2.0,-15.0,1.98,0.1,50.0
0,2,0,0.22,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.234,15.0,60.0,0.64,-6.67,5.44,4.6,79.27
0,2,2,0.245,15.0,60.0,0.27,-8.23,10.0,0.1,146.45
0,2,3,0.234,15.0,60.0,0.0,-15.0,10.0,1.4,89.5
0,2,4,0.221,15.0,60.0,0.0,-15.0,10.0,6.07,150.73
0,2,5,0.183,15.0,60.0,0.0,-6.67,10.0,6.69,50.0
0,2,6,0.191,15.0,60.0,0.0,-2.98,7.95,10.0,50.0
0,2,7,0.191,15.0,60.0,0.0,0.0,10.0,10.0,50.0
0,2,8,0.191,15.0,60.0,0.0,0.0,10.0,10.0,50.0
0,2,9,0.191,15.0,60.0,0.0,0.0,9.19,10.0,50.0
0,2,10,0.118,27.4,60.0,0.0,0.0,9.6,2.19,50.0
0,2,11,0.148,40.79,60.0,0.0,-8.61,8.4,6.58,50.0
0,2,12,0.16,25.74,60.0,0.0,-4.68,7.44,0.1,50.0
0,2,13,0.122,24.42,60.0,0.0,0.0,1.0,0.1,50.0
0,2,14,0.118,24.96,60.0,0.0,-5.06,1.0,0.1,50.0
0,3,0,0.169,34.74,38.18,0.56,-15.0,1.0,10.0,215.18
0,3,1,0.132,39.17,47.37,0.18,-15.0,1.0,10.0,50.0
0,3,2,0.141,55.17,42.97,0.31,-15.0,1.0,10.0,50.0
0,3,3,0.166,60.0,30.0,0.0,-15.0,1.0,10.0,50.0
0,3,4,0.195,60.0,30.0,0.79,-15.0,1.0,10.0,50.0
0,3,5,0.219,60.0,30.0,1.75,-13.54,1.0,10.0,50.0
0,3,6,0.213,60.0,30.0,1.64,-8.03,1.0,10.0,50.0
0,3,7,0.237,60.0,30.0,2.0,-13.14,3.41,10.0,50.0
0,3,8,0.227,60.0,30.0,2.0,-3.38,1.45,10.0,50.0
0,3,9,0.211,60.0,37.85,1.91,-2.83,1.33,10.0,50.0
0,3,10,0.214,60.0,37.03,2.0,-9.71,1.0,10.0,50.0
0,3,11,0.212,60.0,30.0,1.44,0.0,1.0,10.0,50.0
0,3,12,0.188,45.74,52.75,1.36,-6.28,1.0,10.0,50.0
0,3,13,0.127,60.0,60.0,0.26,-12.13,1.0,10.0,50.0
