update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.15,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.1,60.0,55.59,0.0,-14.51,1.0,2.63,50.0
0,0,2,0.1,55.49,56.16,0.0,-8.07,1.0,10.0,50.0
0,0,3,0.16,60.0,46.36,0.0,-11.38,7.1,10.0,50.0
0,0,4,0.16,60.0,60.0,0.0,-13.47,5.34,4.31,50.0
0,0,5,0.1,60.0,60.0,0.0,0.0,3.11,1.06,50.0
0,0,6,0.1,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,7,0.1,60.0,60.0,0.0,-0.93,1.0,0.1,50.0
0,0,8,0.1,60.0,60.0,0.0,-5.53,1.0,0.1,50.0
0,0,9,0.1,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.1,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,11,0.1,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.1,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,13,0.1,60.0,60.0,0.0,0.0,1.0,0.1,79.37
0,0,14,0.1,60.0,60.0,0.0,0.0,1.0,0.1,228.59
0,1,0,0.26,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.35,15.0,33.15,0.0,-9.26,10.0,6.09,124.69
0,1,2,0.33,15.0,45.84,0.58,-5.84,10.0,2.73,50.0
0,1,3,0.42,15.0,39.78,0.84,-12.2,10.0,0.1,50.0
0,1,4,0.42,15.0,45.28,1.69,-14.45,10.0,0.1,100.34
0,1,5,0.37,15.0,35.13,1.13,-2.66,10.0,0.1,118.05
0,1,6,0.36,16.53,30.0,1.24,0.0,10.0,0.1,88.8
0,1,7,0.31,18.81,44.27,2.0,0.0,9.96,0.1,82.29
0,1,8,0.39,15.0,45.68,2.0,-4.7,5.75,0.69,50.0
0,1,9,0.4,15.0,44.16,2.0,-5.99,7.55,0.1,50.0
0,1,10,0.44,15.0,60.0,2.0,-13.0,10.0,0.1,50.0
0,1,11,0.45,15.0,60.0,2.0,-15.0,10.0,0.1,50.0
0,1,12,0.45,15.0,60.0,2.0,-15.0,10.0,0.1,50.0
0,1,13,0.45,15.0,60.0,2.0,-15.0,8.4,0.1,50.0
0,1,14,0.45,15.0,60.0,2.0,-15.0,7.24,0.1,50.0
0,2,0,0.27,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.34,15.0,60.0,1.0,-6.56,6.52,3.42,84.32
0,2,2,0.36,15.0,60.0,0.81,-7.66,10.0,0.1,154.77
0,2,3,0.39,15.0,60.0,0.4,-14.15,10.0,0.1,99.68
0,2,4,0.36,15.0,60.0,0.96,-14.6,10.0,2.83,176.61
0,2,5,0.29,15.0,60.0,0.0,-6.32,10.0,2.17,50.0
0,2,6,0.29,15.0,60.0,0.0,-2.91,10.0,8.13,50.0
0,2,7,0.29,15.0,60.0,0.0,-0.38,10.0,9.02,50.0
0,2,8,0.29,15.0,60.0,0.0,0.0,10.0,4.81,50.0
0,2,9,0.29,15.0,60.0,0.0,0.0,10.0,2.08,50.0
0,2,10,0.29,15.0,60.0,0.0,-0.75,10.0,0.1,50.0
0,2,11,0.27,20.56,60.0,0.0,-12.63,10.0,0.1,50.0
0,2,12,0.33,15.0,60.0,0.0,-9.72,10.0,0.1,50.0
0,2,13,0.29,15.0,60.0,0.0,-3.79,9.83,0.1,50.0
0,2,14,0.29,15.0,60.0,0.0,-11.33,1.0,0.1,50.0
0,3,0,0.18,34.74,38.18,0.56,-15.0,1.0,10.0,215.18
0,3,1,0.14,37.42,47.35,0.11,-15.0,1.0,10.0,50.0
0,3,2,0.13,51.59,45.39,0.14,-15.0,1.0,9.95,50.0
0,3,3,0.22,60.0,30.0,0.0,-15.0,1.0,10.0,50.0
0,3,4,0.23,60.0,30.0,0.57,-15.0,1.0,10.0,50.0
0,3,5,0.26,60.0,30.0,1.49,-15.0,1.0,10.0,50.0
0,3,6,0.27,60.0,30.0,1.46,-13.65,1.35,10.0,50.0
0,3,7,0.26,56.21,41.22,2.0,-15.0,5.12,10.0,50.0
0,3,8,0.24,60.0,41.7,2.0,-11.79,3.67,10.0,50.0
0,3,9,0.23,51.02,57.68,1.96,-12.22,3.68,10.0,111.43
0,3,10,0.24,46.29,60.0,2.0,-15.0,2.46,10.0,50.0
0,3,11,0.21,47.94,58.04,1.78,-9.97,1.0,10.0,85.67
0,3,12,0.33,16.52,60.0,1.75,-15.0,1.0,10.0,90.5
0,3,13,0.16,42.86,60.0,0.78,-15.0,1.0,5.15,127.09
0,3,14,0.21,60.0,60.0,0.58,-15.0,4.57,2.03,50.0
1,0,0,0.12,31.72,60.0,0.0,0.0,2.82,3.26,147.4
1,0,1,0.2,24.02,37.9,0.0,0.0,1.0,0.1,50.0
1,0,2,0.36,15.0,30.0,0.0,0.0,3.08,0.1,214.11
1,0,3,0.35,15.0,34.93,0.05,-9.77,7.61,0.1,254.78
1,0,4,0.38,15.0,36.09,0.67,-11.3,4.71,0.1,146.93
1,0,5,0.3,22.87,31.61,0.0,-15.0,5.51,0.1,50.0
1,0,6,0.24,39.38,36.5,0.0,-15.0,6.08,0.1,50.0
1,0,7,0.27,54.75,30.0,0.0,-15.0,5.75,0.1,50.0
1,0,8,0.24,58.5,31.4,0.0,-12.13,5.1,0.1,50.0
1,0,9,0.2,55.11,49.06,0.0,-15.0,3.23,0.1,50.0
1,0,10,0.11,42.55,59.88,0.0,-12.97,1.0,0.1,50.0
1,0,11,0.27,15.87,60.0,0.0,-13.47,1.0,0.1,50.0
1,0,12,0.15,26.72,60.0,0.0,-15.0,1.0,0.1,50.0
1,0,13,0.29,15.0,54.03,0.0,-11.62,1.0,0.1,50.0
1,0,14,0.36,15.0,30.0,0.0,-15.0,1.0,0.1,50.0
1,1,0,0.22,60.0,48.63,2.0,0.0,1.0,1.66,300.0
