update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.174,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.136,60.0,55.76,0.2,-14.45,1.0,2.24,50.0
0,0,2,0.114,58.76,55.88,0.0,-8.03,1.0,9.42,50.0
0,0,3,0.172,60.0,46.68,0.0,-11.15,6.54,10.0,50.0
0,0,4,0.174,60.0,60.0,0.0,-14.19,4.26,4.95,50.0
0,0,5,0.101,60.0,60.0,0.0,-0.83,1.76,2.8,50.0
0,0,6,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,7,0.102,60.0,60.0,0.0,-2.47,1.0,0.1,50.0
0,0,8,0.102,60.0,60.0,0.0,-6.88,1.0,0.1,50.0
0,0,9,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,11,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,13,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,14,0.102,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,1,0,0.279,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.258,15.0,36.43,0.0,-10.97,10.0,6.34,115.92
0,1,2,0.27,15.0,53.34,0.58,-9.12,10.0,4.14,50.0
0,1,3,0.354,15.0,49.59,0.71,-15.0,10.0,0.1,50.0
0,1,4,0.356,15.0,55.81,1.56,-15.0,10.0,0.1,91.97
0,1,5,0.303,15.0,47.09,1.03,-7.58,10.0,0.1,123.43
0,1,6,0.311,15.0,34.4,0.97,-3.28,10.0,0.1,114.09
0,1,7,0.302,15.0,59.65,1.83,-2.34,7.08,0.1,126.65
0,1,8,0.309,15.0,58.84,2.0,-9.05,2.25,2.7,50.0
0,1,9,0.337,15.0,52.06,2.0,-8.71,2.98,0.1,50.0
0,1,10,0.368,15.0,60.0,1.47,-14.44,9.55,0.1,50.0
0,1,11,0.356,15.0,60.0,1.46,-15.0,3.92,0.1,50.0
0,1,12,0.379,15.0,60.0,2.0,-15.0,5.52,0.1,50.0
0,1,13,0.291,15.0,60.0,2.0,-15.0,1.0,0.1,50.0
0,1,14,0.291,15.0,60.0,2.0,-15.0,1.0,0.1,50.0
0,2,0,0.265,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.268,15.0,60.0,0.79,-6.76,5.47,4.45,94.29
0,2,2,0.272,15.0,60.0,0.39,-7.19,9.88,0.1,174.22
0,2,3,0.245,15.0,60.0,0.0,-13.4,10.0,1.96,135.12
0,2,4,0.259,15.0,60.0,0.06,-14.55,10.0,7.04,219.53
0,2,5,0.214,15.0,60.0,0.0,-6.63,10.0,7.67,101.14
0,2,6,0.197,15.0,60.0,0.0,-3.42,7.5,10.0,99.81
0,2,7,0.196,15.0,60.0,0.0,-0.83,9.54,10.0,50.0
0,2,8,0.197,15.0,60.0,0.0,0.0,10.0,10.0,50.0
0,2,9,0.197,15.0,60.0,0.0,0.0,8.0,10.0,50.0
0,2,10,0.197,15.0,60.0,0.0,-0.82,7.84,7.88,50.0
0,2,11,0.232,15.0,60.0,0.0,-13.12,6.14,10.0,50.0
0,2,12,0.23,15.0,60.0,0.0,-10.84,4.82,5.9,50.0
0,2,13,0.197,15.0,60.0,0.0,-5.83,1.0,0.1,50.0
0,2,14,0.197,15.0,60.0,0.0,-13.51,1.0,6.52,50.0
0,3,0,0.201,34.74,38.18,0.56,-15.0,1.0,10.0,215.18
0,3,1,0.166,39.15,47.02,0.28,-15.0,1.0,10.0,50.0
0,3,2,0.184,56.22,43.35,0.47,-15.0,1.0,8.85,50.0
0,3,3,0.229,60.0,30.0,0.0,-15.0,1.0,10.0,50.0
0,3,4,0.264,60.0,30.0,1.13,-15.0,1.0,10.0,50.0
0,3,5,0.298,60.0,30.0,2.0,-14.88,1.0,10.0,50.0
0,3,6,0.298,60.0,30.0,2.0,-10.18,1.0,10.0,50.0
0,3,7,0.306,60.0,30.0,2.0,-15.0,1.38,7.88,50.0
0,3,8,0.298,60.0,30.0,2.0,-7.74,1.0,10.0,50.0
0,3,9,0.259,60.0,36.22,2.0,-7.85,1.0,10.0,50.0
0,3,10,0.261,60.0,35.72,2.0,-14.36,1.0,8.13,50.0
0,3,11,0.298,60.0,30.0,2.0,-3.29,1.0,7.09,50.0
0,3,12,0.246,38.34,50.23,2.0,-9.85,1.0,8.69,50.0
0,3,13,0.24,60.0,60.0,1.94,-14.17,1.0,0.5,50.0
0,3,14,0.232,60.0,60.0,1.79,-12.75,1.0,0.1,50.0
1,0,0,0.114,31.78,60.0,0.0,0.0,2.81,3.26,147.3
1,0,1,0.184,23.18,38.93,0.0,0.0,1.0,0.91,50.0
1,0,2,0.271,15.0,32.9,0.0,0.0,3.01,0.1,189.65
1,0,3,0.254,15.0,39.83,0.0,-8.2,7.79,0.1,236.47
1,0,4,0.288,15.0,42.39,0.39,-10.01,4.96,0.1,147.89
1,0,5,0.314,15.0,37.51,0.0,-15.0,5.64,0.1,50.0
1,0,6,0.272,19.55,44.42,0.0,-15.0,6.57,0.1,50.0
1,0,7,0.265,32.14,36.4,0.0,-15.0,6.81,0.1,50.0
1,0,8,0.242,33.2,44.7,0.0,-12.97,6.8,0.1,50.0
1,0,9,0.247,26.65,60.0,0.0,-15.0,5.58,0.1,50.0
1,0,10,0.279,15.0,60.0,0.0,-14.11,3.25,0.1,50.0
1,0,11,0.197,15.0,60.0,0.0,-13.91,1.0,0.1,50.0
1,0,12,0.197,15.0,60.0,0.0,-15.0,1.0,0.1,50.0
1,0,13,0.197,15.0,60.0,0.0,-9.49,1.0,0.1,50.0
1,0,14,0.263,15.0,43.08,0.75,-15.0,1.0,0.1,50.0
1,1,0,0.244,60.0,48.61,2.0,0.0,1.0,1.66,300.0
1,1,1,0.207,60.0,51.83,1.17,0.0,2.99,10.0,300.0
1,1,2,0.146,60.0,60.0,0.45,-0.7,1.07,9.03,300.0
1,1,3,0.102,60.0,60.0,0.0,0.0,7.19,10.0,300.0
1,1,4,0.102,60.0,60.0,0.0,0.0,1.0,10.0,300.0
1,1,5,0.146,60.0,60.0,0.36,0.0,2.0,10.0,300.0
1,1,6,0.123,60.0,60.0,0.25,0.0,1.8,10.0,300.0
1,1,7,0.169,60.0,60.0,0.7,0.0,1.0,10.0,300.0
1,1,8,0.164,60.0,60.0,0.61,0.0,1.0,9.4,300.0
