score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.315,16.23,36.53,1.36,-9.57,3.22,1.29,149.07
0.439,16.23,30.5,1.9,-12.97,7.68,4.11,149.07
0.461,16.23,30.5,1.9,-14.24,7.68,1.21,149.07
0.492,16.23,30.5,1.9,-14.24,7.68,1.21,56.5
0.494,16.23,30.5,1.9,-14.49,7.5,1.21,56.5
0.498,15.51,30.5,1.9,-14.24,7.66,1.21,56.5
0.527,16.23,30.5,1.9,-14.24,7.66,0.14,56.5
0.528,15.51,30.5,1.66,-14.24,7.66,0.14,56.5
0.533,15.51,30.5,1.9,-14.24,8.52,0.14,56.5
0.539,15.51,30.06,1.9,-14.24,8.52,0.14,56.5
0.539,15.51,30.06,1.9,-14.24,8.52,0.14,56.5
