score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.321,15.13,34.03,1.59,-1.26,6.2,9.86,251.04
0.344,15.13,34.03,1.59,-12.0,6.2,3.8,233.89
0.356,15.13,31.34,1.59,-12.0,6.2,3.8,251.04
0.362,15.13,31.34,1.59,-14.24,6.2,3.8,248.3
0.37,15.13,31.34,1.59,-14.24,6.2,3.8,101.81
0.381,15.13,31.34,1.59,-14.24,6.2,0.27,101.81
0.384,15.13,31.34,1.74,-14.24,6.2,0.27,108.47
0.389,15.13,32.17,1.59,-14.24,6.2,0.27,54.88
0.399,15.13,32.17,1.59,-14.24,9.15,0.27,52.17
0.403,15.13,32.17,1.96,-14.24,9.15,0.27,52.17
0.403,15.13,32.17,1.96,-14.24,9.15,0.27,52.17
