score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.39,16.79,33.74,1.19,-12.12,1.56,1.84,86.89
0.439,16.79,33.74,1.93,-12.12,7.84,1.84,114.36
0.471,16.79,33.74,1.93,-14.32,7.84,1.84,86.89
0.482,16.79,33.74,1.93,-14.32,7.84,0.21,114.36
0.494,16.79,33.74,1.93,-14.32,7.84,0.21,65.96
0.501,16.79,33.74,1.93,-14.32,9.01,0.21,65.96
0.506,16.79,33.74,1.93,-13.99,9.89,0.21,65.96
0.506,16.79,33.74,1.93,-13.99,9.89,0.21,65.96
0.506,16.79,33.74,1.93,-13.99,9.89,0.21,65.96
0.521,16.79,30.09,1.94,-13.99,9.89,0.21,65.96
0.525,17.28,30.09,1.94,-13.99,9.89,0.21,65.96
