score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.224,54.05,56.52,1.41,-11.93,5.72,5.13,265.55
0.187,39.06,39.15,0.49,-10.46,1.84,2.3,81.79
0.278,28.7,33.78,1.94,-12.84,7.29,7.22,246.4
0.261,49.1,37.13,1.75,-10.98,4.71,5.84,65.11
0.253,28.73,34.11,1.74,-12.65,1.15,7.16,247.41
0.268,23.85,46.39,1.74,-12.83,5.15,9.19,207.85
0.253,46.29,36.02,1.78,-7.72,9.85,8.15,192.55
0.283,16.3,43.44,1.65,-0.46,1.79,1.76,228.56
0.222,33.35,55.04,1.67,-3.04,1.95,3.53,118.02
0.246,20.16,30.05,0.01,-4.73,6.62,8.59,202.47
0.3,20.84,32.36,1.64,-7.59,5.71,8.68,178.22
0.165,58.43,57.47,0.6,-1.14,8.55,1.8,192.08
0.215,56.08,57.48,1.04,-12.84,4.13,3.84,133.12
0.321,15.13,34.03,1.59,-1.26,6.2,9.86,251.04
0.168,40.92,39.09,0.09,-8.32,2.7,8.04,281.44
0.305,15.1,32.38,0.98,-2.34,4.58,3.8,233.89
0.193,55.3,42.72,0.93,-1.23,8.01,1.8,271.89
0.234,20.46,43.57,0.74,-9.4,6.39,9.32,117.0
0.239,30.43,44.83,1.45,-9.42,5.39,3.27,135.23
0.189,45.69,38.97,0.29,-8.5,9.67,2.0,80.95
0.288,31.16,30.9,1.79,-11.3,5.07,3.31,282.1
0.288,38.46,32.23,1.94,-14.85,5.63,1.34,265.11
0.24,26.53,52.99,1.84,-5.25,2.38,1.09,252.96
0.161,57.79,51.78,0.5,-0.29,3.42,6.92,278.85
0.229,38.27,57.61,1.25,-12.44,6.69,4.71,101.06
0.259,36.4,33.63,1.34,-12.32,4.93,4.06,277.63
0.224,33.36,58.85,1.64,-5.32,4.49,2.68,182.53
0.249,31.75,31.19,1.16,-2.14,1.42,9.78,142.12
0.175,56.61,43.39,0.21,-12.08,7.6,8.09,91.9
0.216,43.87,58.73,1.65,-7.9,3.75,9.24,288.4
0.165,27.17,49.41,0.27,-3.81,7.86,6.4,293.84
0.155,31.25,48.84,0.3,-3.26,7.23,2.84,100.69
0.202,27.08,58.88,0.75,-10.34,2.8,4.2,145.38
0.219,23.86,57.21,1.05,-3.09,8.23,3.48,179.11
0.266,29.56,36.11,1.68,-9.51,6.83,2.78,112.45
0.291,18.2,57.14,1.37,-13.73,4.22,3.77,71.02
0.177,26.4,53.02,0.39,-6.07,5.41,8.82,167.01
0.148,56.81,53.81,0.33,-1.0,7.65,0.64,243.9
0.263,42.98,31.96,1.18,-11.41,5.96,4.66,229.25
0.245,47.31,57.57,1.97,-8.87,9.01,3.86,218.66
0.241,36.71,36.72,1.99,-5.68,1.12,4.16,157.31
0.257,44.0,30.36,1.24,-1.44,9.96,4.51,67.7
0.228,53.2,57.85,1.2,-14.27,3.63,5.71,57.44
0.181,36.71,33.14,0.11,-3.09,9.89,6.74,194.46
0.233,34.7,54.99,1.52,-10.54,5.79,3.06,154.36
0.253,45.76,57.46,1.91,-13.49,2.94,2.96,60.0
