score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.29,45.48,54.05,2.84,-21.83,4.46,1.54,176.15
0.286,45.86,48.01,2.91,-23.21,4.13,5.28,125.97
0.274,55.05,49.91,2.55,-24.9,3.66,7.91,165.33
0.294,43.07,45.92,2.95,-23.82,4.35,2.47,203.82
0.288,42.44,54.99,2.86,-23.65,4.13,3.01,167.28
0.288,53.1,46.12,2.99,-22.28,3.26,2.65,159.09
0.277,56.75,55.63,2.92,-17.77,3.37,9.04,104.62
0.281,42.68,59.44,2.49,-19.79,3.58,1.95,119.03
0.276,44.78,51.39,2.77,-23.75,3.85,7.1,224.87
0.275,47.03,48.12,2.75,-22.3,2.79,6.79,127.94
