score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.186,52.74,45.4,0.22,-24.59,4.25,9.21,221.33
0.245,54.59,50.87,2.81,-4.6,1.01,8.72,106.72
0.261,54.59,43.51,2.6,-11.46,2.2,4.8,105.66
0.238,42.49,53.41,1.98,-9.62,2.53,9.97,296.17
0.236,53.71,53.01,2.1,-15.28,1.54,7.49,205.07
0.246,46.2,49.72,2.68,-1.65,2.43,6.14,164.37
0.198,51.89,46.76,1.24,-2.74,1.91,6.61,116.8
0.175,56.65,55.74,0.79,-3.09,1.23,4.03,130.06
0.216,49.01,55.93,0.77,-23.7,2.62,2.79,118.15
0.271,51.61,45.97,2.05,-20.01,4.77,4.29,121.1
0.202,52.58,58.54,1.38,-1.14,3.0,4.83,224.04
0.206,59.9,58.98,1.43,-6.06,2.99,5.76,257.16
0.231,48.29,54.69,2.16,-1.7,1.46,7.56,285.48
0.249,59.36,40.29,2.6,-0.47,4.83,2.34,294.53
0.239,57.8,56.45,1.49,-19.19,4.21,9.31,153.23
0.289,50.78,48.86,2.8,-23.99,3.93,6.53,105.67
0.267,54.38,40.32,2.3,-12.18,4.72,1.59,268.26
0.205,41.33,46.89,1.35,-0.85,3.25,3.33,148.34
0.189,57.76,44.52,0.46,-17.79,3.34,5.99,261.94
0.209,51.21,45.77,1.3,-4.55,3.51,9.63,173.88
0.272,51.05,51.88,2.56,-21.36,2.63,9.19,108.61
0.27,56.45,48.31,2.51,-24.75,2.46,1.71,230.52
0.29,45.48,54.05,2.84,-21.83,4.46,1.54,176.15
0.253,48.6,49.78,2.93,-5.61,2.24,3.43,272.62
0.193,57.63,50.21,1.1,-0.13,2.26,2.64,276.02
0.253,56.25,53.36,2.88,-1.86,3.99,8.75,149.43
0.249,42.82,53.4,2.17,-20.82,2.58,9.19,212.28
0.222,51.57,43.88,1.63,-11.91,1.36,9.84,214.28
0.263,40.13,55.45,2.94,-10.25,2.28,2.69,234.51
0.218,43.9,51.55,1.85,-0.94,1.29,5.5,248.82
0.15,43.54,47.76,0.28,-6.85,1.35,4.56,274.7
0.234,49.45,58.25,2.32,-2.12,1.51,1.66,114.07
0.239,57.38,52.68,1.54,-20.91,3.69,3.86,242.18
0.268,49.21,50.15,2.39,-22.68,3.32,2.78,261.63
0.159,49.78,59.77,0.63,-0.92,4.2,5.33,262.71
0.288,52.06,53.1,2.75,-23.37,4.34,4.44,165.11
0.231,59.88,55.62,1.51,-14.43,4.51,1.78,241.68
0.192,55.78,55.98,1.03,-5.08,1.9,4.26,183.49
0.243,50.83,42.25,1.28,-24.99,3.98,8.67,127.79
0.254,54.08,56.42,2.95,-3.91,2.7,9.82,294.8
0.268,50.07,55.07,2.75,-13.1,4.46,7.31,158.78
0.163,55.35,51.41,0.37,-15.22,1.29,5.29,185.71
0.165,48.47,51.73,0.46,-1.66,3.74,8.41,279.36
0.255,51.67,40.8,2.16,-10.77,4.3,5.79,262.65
0.195,59.94,47.01,0.6,-15.21,4.01,4.95,217.68
0.215,42.55,54.52,0.91,-20.23,4.45,6.08,196.9
0.25,57.98,41.72,2.12,-16.8,1.7,7.07,172.56
0.171,46.6,58.87,0.68,-12.2,1.1,2.47,276.68
0.179,55.78,51.14,0.75,-11.06,1.05,7.42,243.35
0.176,52.92,52.23,0.31,-18.84,3.3,4.55,298.4
0.226,58.47,43.04,1.81,-7.59,1.55,3.81,243.18
0.184,58.02,46.83,0.79,-4.46,3.34,5.29,151.23
0.27,41.45,40.36,1.78,-20.22,4.9,1.97,190.42
0.257,47.89,44.65,2.27,-8.91,3.9,1.75,170.55
0.185,50.4,48.53,0.22,-20.15,4.78,2.46,270.41
0.207,56.44,47.83,1.45,-4.4,3.72,8.53,251.52
0.276,53.83,58.26,2.49,-20.52,3.99,1.78,185.17
0.25,47.94,44.04,2.82,-22.63,1.02,3.91,298.15
0.181,45.29,56.61,0.6,-10.34,4.83,7.45,296.1
0.243,51.49,59.67,2.53,-5.54,4.55,6.68,171.27
