update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.14,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.103,60.0,56.07,0.0,-15.0,1.0,2.88,50.0
0,0,2,0.102,52.34,58.02,0.0,-11.46,1.0,8.03,50.0
0,0,3,0.169,60.0,51.0,0.0,-15.0,7.24,8.53,50.0
0,0,4,0.2,60.0,60.0,0.0,-15.0,5.69,2.01,50.0
0,0,5,0.137,60.0,60.0,0.0,-7.5,3.89,0.1,50.0
0,0,6,0.101,60.0,60.0,0.0,-6.78,1.0,0.1,50.0
0,0,7,0.101,60.0,60.0,0.0,-11.67,1.0,0.1,50.0
0,0,8,0.101,60.0,60.0,0.0,-15.0,1.0,0.1,50.0
0,0,9,0.101,60.0,60.0,0.0,-1.58,1.0,0.1,50.0
0,0,10,0.101,60.0,60.0,0.0,-6.45,1.0,0.1,50.0
0,0,11,0.101,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.101,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,13,0.101,60.0,60.0,0.0,0.0,1.0,0.1,75.45
0,0,14,0.101,60.0,60.0,0.0,0.0,1.0,0.1,203.68
0,1,0,0.322,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.256,15.0,35.89,0.0,-9.32,10.0,6.3,121.89
0,1,2,0.231,15.0,51.18,0.53,-5.54,10.0,3.66,50.0
0,1,3,0.424,15.0,47.68,0.77,-11.79,10.0,0.1,50.0
0,1,4,0.433,15.0,55.02,1.66,-13.39,10.0,0.1,93.5
0,1,5,0.251,15.0,47.09,1.25,-0.68,10.0,0.1,140.22
0,1,6,0.315,15.0,33.7,1.37,0.0,10.0,0.1,97.9
0,1,7,0.273,15.0,60.0,2.0,0.0,10.0,0.1,82.79
0,1,8,0.274,15.0,59.46,2.0,-0.87,6.47,4.23,50.0
0,1,9,0.287,15.0,53.91,2.0,-1.52,7.94,0.1,50.0
0,1,10,0.38,15.0,60.0,2.0,-7.6,10.0,0.1,50.0
0,1,11,0.476,15.0,60.0,2.0,-12.73,10.0,0.1,50.0
0,1,12,0.471,15.0,60.0,2.0,-12.48,10.0,0.1,50.0
0,1,13,0.494,15.0,60.0,2.0,-14.72,8.92,0.1,50.0
0,1,14,0.491,15.0,60.0,2.0,-15.0,7.54,0.1,50.0
0,2,0,0.251,21.35,60.0,1.44,-9.64,10.0,9.96,146.05
0,2,1,0.243,15.0,60.0,0.83,-5.85,6.04,3.88,65.35
0,2,2,0.277,15.0,60.0,0.59,-6.79,10.0,0.1,146.04
