update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.252,60.0,51.18,0.59,-15.0,1.0,7.32,173.3
0,0,1,0.185,60.0,54.35,0.0,-13.67,1.0,3.21,50.0
0,0,2,0.189,40.93,54.13,0.0,-7.61,1.0,8.95,50.0
0,0,3,0.245,60.0,43.79,0.0,-11.26,7.69,10.0,50.0
0,0,4,0.245,60.0,60.0,0.0,-13.42,5.86,4.61,50.0
0,0,5,0.167,60.0,60.0,0.0,-0.86,4.64,2.41,50.0
0,0,6,0.169,60.0,60.0,0.0,0.0,1.32,0.1,50.0
0,0,7,0.169,60.0,60.0,0.0,-3.83,1.0,0.1,50.0
0,0,8,0.229,60.0,60.0,0.0,-8.84,1.44,0.1,50.0
0,0,9,0.169,60.0,60.0,0.0,0.0,1.0,0.1,50.0
0,0,10,0.169,60.0,60.0,0.0,0.0,2.83,0.1,50.0
0,0,11,0.169,51.7,60.0,0.0,0.0,1.0,0.1,50.0
0,0,12,0.17,43.48,60.0,0.0,0.0,1.0,0.1,50.0
0,0,13,0.162,55.82,60.0,0.0,0.0,1.0,0.1,50.0
0,0,14,0.162,55.29,60.0,0.0,0.0,2.53,0.1,50.0
0,1,0,0.364,30.12,30.0,0.54,-9.0,10.0,5.59,138.97
0,1,1,0.34,15.0,34.66,0.0,-9.64,10.0,6.44,136.8
0,1,2,0.302,15.0,49.15,0.15,-7.33,10.0,4.32,50.0
0,1,3,0.46,15.0,45.64,0.12,-15.0,10.0,0.1,50.0
0,1,4,0.431,15.0,53.85,0.88,-15.0,10.0,0.1,186.74
0,1,5,0.326,15.0,48.94,0.24,-6.99,10.0,0.78,233.11
0,1,6,0.334,15.0,38.0,0.1,-3.8,10.0,0.1,217.49
0,1,7,0.333,15.0,60.0,0.83,-3.88,10.0,0.67,218.36
0,1,8,0.426,15.0,60.0,1.69,-13.43,8.5,4.81,50.0
0,1,9,0.503,15.0,60.0,1.42,-15.0,10.0,0.1,50.0
0,1,10,0.484,15.0,60.0,0.76,-15.0,10.0,0.1,50.0
