Instruments,Intervals,rating_stimulus,rating_score,HAAQI
cello,C3A#3,32k,214,0.06145609352642391
cello,C3A#3,96k,1061,0.08847875425212523
cello,C3A#3,96k_ak_EQ,717,0.08976499104235491
cello,C3A#3,96k_muk_EQ,862,0.08640530584812986
cello,C3A#3,wav,1146,1.0
cello,C3A#3,wav_ak_EQ,847,0.8359867830660315
cello,C3A#3,wav_muk_EQ,908,0.7658305480571826
cello,C3C#3,32k,167,0.06123861469807944
cello,C3C#3,96k,919,0.08330090283664016
cello,C3C#3,96k_ak_EQ,731,0.08933277740956921
cello,C3C#3,96k_muk_EQ,818,0.08336035836833593
cello,C3C#3,wav,866,1.0
cello,C3C#3,wav_ak_EQ,884,0.827038551675309
cello,C3C#3,wav_muk_EQ,913,0.8051121130473917
cello,C3F#3,32k,225,0.06078716774069145
cello,C3F#3,96k,1073,0.11310289521354158
cello,C3F#3,96k_ak_EQ,767,0.11224908976840164
cello,C3F#3,96k_muk_EQ,877,0.10682514842826896
cello,C3F#3,wav,1112,1.0
cello,C3F#3,wav_ak_EQ,842,0.6851720407786228
cello,C3F#3,wav_muk_EQ,892,0.8356955984546843
cello,C3G3,32k,182,0.06365888278570109
cello,C3G3,96k,1066,0.12358045096167197
cello,C3G3,96k_ak_EQ,750,0.1261627155532848
cello,C3G3,96k_muk_EQ,910,0.11694976352985409
cello,C3G3,wav,998,1.0
cello,C3G3,wav_ak_EQ,801,0.7633465504542827
cello,C3G3,wav_muk_EQ,943,0.770583889000826
cello,C4A#4,32k,237,0.045408023125191425
cello,C4A#4,96k,937,0.05417021456144566
cello,C4A#4,96k_ak_EQ,724,0.05253338860937161
cello,C4A#4,96k_muk_EQ,932,0.05590963577981367
cello,C4A#4,wav,1131,1.0
cello,C4A#4,wav_ak_EQ,810,0.7115887588453373
cello,C4A#4,wav_muk_EQ,935,0.6758295696047052
cello,C4C#4,32k,189,0.041200873139553076
cello,C4C#4,96k,1014,0.05622873485004058
cello,C4C#4,96k_ak_EQ,835,0.055261918015411395
cello,C4C#4,96k_muk_EQ,714,0.0572883622406811
cello,C4C#4,wav,1015,1.0
cello,C4C#4,wav_ak_EQ,801,0.7342872520893864
cello,C4C#4,wav_muk_EQ,881,0.7478324330718233
cello,C4F#4,32k,195,0.051822439417157834
cello,C4F#4,96k,1048,0.0890924939710599
cello,C4F#4,96k_ak_EQ,748,0.08848579994216627
cello,C4F#4,96k_muk_EQ,845,0.08724317148931915
cello,C4F#4,wav,1040,1.0
cello,C4F#4,wav_ak_EQ,831,0.7357033788456482
cello,C4F#4,wav_muk_EQ,970,0.7903549325117647
cello,C4G4,32k,217,0.05196421392203479
cello,C4G4,96k,1140,0.08338415956768239
cello,C4G4,96k_ak_EQ,625,0.08711791009315387
cello,C4G4,96k_muk_EQ,818,0.0925892008108345
cello,C4G4,wav,1130,1.0
cello,C4G4,wav_ak_EQ,772,0.7192598945923172
cello,C4G4,wav_muk_EQ,930,0.7567442328878478
piano,C3A#3,32k,948,0.046446203063079505
piano,C3A#3,96k,933,0.07178247016758266
piano,C3A#3,96k_ak_EQ,660,0.06974743753832956
piano,C3A#3,96k_muk_EQ,694,0.0685830196301845
piano,C3A#3,wav,974,1.0
piano,C3A#3,wav_ak_EQ,709,0.7916329058480087
piano,C3A#3,wav_muk_EQ,728,0.5437502428477725
piano,C3C#3,32k,867,0.037602213826932254
piano,C3C#3,96k,1077,0.051406343253317624
piano,C3C#3,96k_ak_EQ,593,0.05371894578724305
piano,C3C#3,96k_muk_EQ,626,0.056041528076812064
piano,C3C#3,wav,1107,1.0
piano,C3C#3,wav_ak_EQ,710,0.8226784019228783
piano,C3C#3,wav_muk_EQ,712,0.7447291163538255
piano,C3F#3,32k,1037,0.06331147194772115
piano,C3F#3,96k,1037,0.08374772802325947
piano,C3F#3,96k_ak_EQ,715,0.09204915192283622
piano,C3F#3,96k_muk_EQ,776,0.09168073810669511
piano,C3F#3,wav,1083,1.0
piano,C3F#3,wav_ak_EQ,778,0.7682033207739116
