Instruments,Intervals,rating_stimulus,rating_score,HAAQI,PEAQ_B,PEAQ_ADV,VISQ,PEMO
cello,C3A#3,32k,214,0.6202387213137391,0.1145,0.0979999999999999,0.2329681698890086,0.16127930349999997
cello,C3A#3,96k,1061,0.8795971567179399,0.41325,0.681,0.775077812783229,0.7120685957499999
cello,C3A#3,96k_ak_EQ,717,0.7356784228782584,0.2432499999999999,0.32025,0.6958461729701076,0.41689843449999997
cello,C3A#3,96k_muk_EQ,862,0.6820095066448512,0.14725,0.2115,0.8043359847768867,0.29427862125000004
cello,C3A#3,wav,1146,1.0,1.0,1.0,1.0,1.0
cello,C3A#3,wav_ak_EQ,847,0.835976938566086,0.652,0.5760000000000001,0.8330401797632367,0.47682976525
cello,C3A#3,wav_muk_EQ,908,0.7658275868610303,0.4945,0.291,0.7807435413216928,0.31975356675
cello,C3C#3,32k,167,0.6442463666779414,0.15325,0.10175,0.3501575169007946,0.16545244125000003
cello,C3C#3,96k,919,0.8726369651778834,0.4495,0.69875,0.8393250825227045,0.77737403525
cello,C3C#3,96k_ak_EQ,731,0.7217367419124474,0.2634999999999999,0.3592499999999999,0.7889750694084359,0.48911145325000005
cello,C3C#3,96k_muk_EQ,818,0.7105629673115802,0.1424999999999999,0.25375,0.7873088109553124,0.31987107150000005
cello,C3C#3,wav,866,1.0,1.0,1.0,1.0,1.0
cello,C3C#3,wav_ak_EQ,884,0.8270348469612243,0.7165,0.85375,0.8847076969504646,0.587528198
cello,C3C#3,wav_muk_EQ,913,0.8050811331680319,0.4445,0.536,0.643010143223159,0.3584658635
cello,C3F#3,32k,225,0.6195301861025315,0.1384999999999999,0.09875,0.2712134611242963,0.1683639535
cello,C3F#3,96k,1073,0.8620754140223912,0.3754999999999999,0.6895,0.7800473346002417,0.7630773307500001
cello,C3F#3,96k_ak_EQ,767,0.6008883966549796,0.20125,0.282,0.6993886809693529,0.33267909949999996
cello,C3F#3,96k_muk_EQ,877,0.7357883036123778,0.11575,0.21075,0.8026975687651516,0.2719237965
cello,C3F#3,wav,1112,1.0,1.0,1.0,1.0,1.0
cello,C3F#3,wav_ak_EQ,842,0.6850848058296407,0.6455,0.39575,0.8021406858582902,0.35864657224999996
cello,C3F#3,wav_muk_EQ,892,0.8354098558857955,0.47675,0.52625,0.6903182543736761,0.27512059375
cello,C3G3,32k,182,0.4985741422007631,0.1192499999999999,0.09775,0.2483476423236771,0.1610754995
cello,C3G3,96k,1066,0.7629409583798673,0.392,0.6719999999999999,0.7473031209747855,0.72925139375
cello,C3G3,96k_ak_EQ,750,0.5948029116911862,0.1987499999999999,0.14225,0.6228034268532048,0.2923036335
cello,C3G3,96k_muk_EQ,910,0.6094794039210223,0.164,0.2252499999999999,0.8165847222902867,0.335445008
cello,C3G3,wav,998,1.0,1.0,1.0,1.0,1.0
cello,C3G3,wav_ak_EQ,801,0.7633192196232944,0.48775,0.1727499999999999,0.6901854009354598,0.30266596050000005
cello,C3G3,wav_muk_EQ,943,0.7705782816633567,0.47,0.4439999999999999,0.6940288601593718,0.3409071425
cello,C4A#4,32k,237,0.5837671553903605,0.05825,0.0972499999999999,0.1184737771435019,0.15750475500000005
cello,C4A#4,96k,937,0.8602142535100832,0.44225,0.64025,0.6676872155245818,0.69502418425
cello,C4A#4,96k_ak_EQ,724,0.6224365950862163,0.2734999999999999,0.0999999999999999,0.5854328346741053,0.30705425825
cello,C4A#4,96k_muk_EQ,932,0.5985652016487325,0.148,0.1847499999999999,0.6860963621028653,0.2728512795
cello,C4A#4,wav,1131,1.0,1.0,1.0,1.0,1.0
cello,C4A#4,wav_ak_EQ,810,0.711580898793919,0.59825,0.1035,0.730573823887732,0.34752419025000003
cello,C4A#4,wav_muk_EQ,935,0.6758011442737037,0.433,0.278,0.845953213534341,0.29855506624999995
cello,C4C#4,32k,189,0.6280626023593989,0.1052499999999999,0.0975,0.1653435798407916,0.15999507150000003
cello,C4C#4,96k,1014,0.8785411424182212,0.51,0.6885,0.7359275239033259,0.70653997625
cello,C4C#4,96k_ak_EQ,835,0.6485275346510777,0.2885,0.261,0.6824861116744035,0.37073217375
