Instruments,Intervals,Participant_ID,rating_stimulus,rating_score
piano,C3F#3,13,32k,21
pipeorgan,C4C#4,4,32k,29
piano,C3F#3,1,32k,23
piano,C3G3,4,32k,13
piano,C3G3,6,32k,12
piano,C4A#4,12,32k,2
cello,C4A#4,5,32k,8
piano,C3A#3,5,32k,45
piano,C3C#3,16,32k,3
piano,C4F#4,13,32k,44
pipeorgan,C3C#3,5,32k,44
pipeorgan,C4A#4,11,32k,54
pipeorgan,C4G4,5,32k,54
piano,C4G4,12,32k,53
cello,C3A#3,1,96k,79
cello,C3A#3,11,96k,85
cello,C3A#3,12,96k,87
cello,C3A#3,13,96k,69
cello,C3A#3,14,96k,57
cello,C3A#3,15,96k,24
cello,C3A#3,16,96k,73
cello,C3A#3,17,96k,79
cello,C3A#3,2,96k,70
cello,C3A#3,4,96k,84
cello,C3A#3,5,96k,80
cello,C3A#3,6,96k,100
cello,C3A#3,7,96k,74
cello,C3A#3,8,96k,100
cello,C3A#3,1,wav_ak_EQ,100
cello,C3A#3,11,wav_ak_EQ,64
cello,C3A#3,12,wav_ak_EQ,52
cello,C3A#3,13,wav_ak_EQ,41
cello,C3A#3,14,wav_ak_EQ,77
cello,C3A#3,15,wav_ak_EQ,55
cello,C3A#3,16,wav_ak_EQ,66
cello,C3A#3,17,wav_ak_EQ,20
cello,C3A#3,2,wav_ak_EQ,51
cello,C3A#3,4,wav_ak_EQ,85
cello,C3A#3,5,wav_ak_EQ,45
cello,C3A#3,6,wav_ak_EQ,51
cello,C3A#3,7,wav_ak_EQ,62
cello,C3A#3,8,wav_ak_EQ,78
cello,C3A#3,1,96k_ak_EQ,60
cello,C3A#3,11,96k_ak_EQ,86
cello,C3A#3,12,96k_ak_EQ,53
cello,C3A#3,13,96k_ak_EQ,34
cello,C3A#3,14,96k_ak_EQ,38
cello,C3A#3,15,96k_ak_EQ,34
cello,C3A#3,16,96k_ak_EQ,35
cello,C3A#3,17,96k_ak_EQ,30
cello,C3A#3,2,96k_ak_EQ,41
cello,C3A#3,4,96k_ak_EQ,70
cello,C3A#3,5,96k_ak_EQ,68
cello,C3A#3,6,96k_ak_EQ,26
cello,C3A#3,7,96k_ak_EQ,63
cello,C3A#3,8,96k_ak_EQ,79
cello,C3A#3,1,wav_muk_EQ,41
cello,C3A#3,11,wav_muk_EQ,88
cello,C3A#3,12,wav_muk_EQ,52
cello,C3A#3,13,wav_muk_EQ,70
cello,C3A#3,14,wav_muk_EQ,56
cello,C3A#3,15,wav_muk_EQ,86
cello,C3A#3,16,wav_muk_EQ,79
cello,C3A#3,17,wav_muk_EQ,61
cello,C3A#3,2,wav_muk_EQ,82
cello,C3A#3,4,wav_muk_EQ,89
cello,C3A#3,5,wav_muk_EQ,49
cello,C3A#3,6,wav_muk_EQ,70
cello,C3A#3,7,wav_muk_EQ,66
cello,C3A#3,8,wav_muk_EQ,19
cello,C3A#3,1,96k_muk_EQ,41
cello,C3A#3,11,96k_muk_EQ,30
cello,C3A#3,12,96k_muk_EQ,65
cello,C3A#3,13,96k_muk_EQ,59
cello,C3A#3,14,96k_muk_EQ,66
cello,C3A#3,15,96k_muk_EQ,70
cello,C3A#3,16,96k_muk_EQ,100
cello,C3A#3,17,96k_muk_EQ,55
cello,C3A#3,2,96k_muk_EQ,28
cello,C3A#3,4,96k_muk_EQ,89
cello,C3A#3,5,96k_muk_EQ,100
cello,C3A#3,6,96k_muk_EQ,54
cello,C3A#3,7,96k_muk_EQ,90
cello,C3A#3,8,96k_muk_EQ,15
cello,C3A#3,1,wav,100
cello,C3A#3,11,wav,82
cello,C3A#3,12,wav,67
cello,C3A#3,13,wav,80
cello,C3A#3,14,wav,80
cello,C3A#3,15,wav,71
cello,C3A#3,16,wav,100
cello,C3A#3,17,wav,91
cello,C3A#3,2,wav,66
cello,C3A#3,4,wav,88
cello,C3A#3,5,wav,47
cello,C3A#3,6,wav,100
cello,C3A#3,7,wav,74
cello,C3A#3,8,wav,100
pipeorgan,C3G3,4,32k,33
cello,C4F#4,5,32k,52
piano,C3F#3,15,32k,51
piano,C4A#4,14,32k,51
piano,C3A#3,2,32k,50
piano,C4F#4,6,32k,50
piano,C4G4,1,32k,50
pipeorgan,C4F#4,14,32k,50
cello,C3A#3,5,32k,49
piano,C4A#4,15,32k,49
pipeorgan,C3A#3,4,32k,49
pipeorgan,C3A#3,5,32k,49
pipeorgan,C3C#3,17,32k,49
cello,C3F#3,5,32k,48
cello,C3C#3,1,96k,66
cello,C3C#3,11,96k,95
cello,C3C#3,12,96k,70
cello,C3C#3,13,96k,81
cello,C3C#3,14,96k,39
cello,C3C#3,15,96k,31
cello,C3C#3,16,96k,22
cello,C3C#3,17,96k,69
cello,C3C#3,2,96k,64
cello,C3C#3,4,96k,90
cello,C3C#3,5,96k,59
cello,C3C#3,6,96k,100
cello,C3C#3,7,96k,50
cello,C3C#3,8,96k,83
cello,C3C#3,1,wav_ak_EQ,100
cello,C3C#3,11,wav_ak_EQ,100
cello,C3C#3,12,wav_ak_EQ,52
cello,C3C#3,13,wav_ak_EQ,51
cello,C3C#3,14,wav_ak_EQ,20
cello,C3C#3,15,wav_ak_EQ,89
cello,C3C#3,16,wav_ak_EQ,68
cello,C3C#3,17,wav_ak_EQ,50
cello,C3C#3,2,wav_ak_EQ,83
cello,C3C#3,4,wav_ak_EQ,72
cello,C3C#3,5,wav_ak_EQ,50
cello,C3C#3,6,wav_ak_EQ,50
cello,C3C#3,7,wav_ak_EQ,39
cello,C3C#3,8,wav_ak_EQ,60
cello,C3C#3,1,96k_ak_EQ,26
cello,C3C#3,11,96k_ak_EQ,29
cello,C3C#3,12,96k_ak_EQ,41
cello,C3C#3,13,96k_ak_EQ,49
cello,C3C#3,14,96k_ak_EQ,19
cello,C3C#3,15,96k_ak_EQ,29
cello,C3C#3,16,96k_ak_EQ,61
cello,C3C#3,17,96k_ak_EQ,87
cello,C3C#3,2,96k_ak_EQ,88
cello,C3C#3,4,96k_ak_EQ,88
cello,C3C#3,5,96k_ak_EQ,42
cello,C3C#3,6,96k_ak_EQ,50
cello,C3C#3,7,96k_ak_EQ,62
cello,C3C#3,8,96k_ak_EQ,60
cello,C3C#3,1,wav_muk_EQ,81
cello,C3C#3,11,wav_muk_EQ,92
cello,C3C#3,12,wav_muk_EQ,96
cello,C3C#3,13,wav_muk_EQ,29
cello,C3C#3,14,wav_muk_EQ,61
cello,C3C#3,15,wav_muk_EQ,69
cello,C3C#3,16,wav_muk_EQ,50
cello,C3C#3,17,wav_muk_EQ,32
cello,C3C#3,2,wav_muk_EQ,72
cello,C3C#3,4,wav_muk_EQ,71
cello,C3C#3,5,wav_muk_EQ,100
cello,C3C#3,6,wav_muk_EQ,40
cello,C3C#3,7,wav_muk_EQ,87
cello,C3C#3,8,wav_muk_EQ,33
cello,C3C#3,1,96k_muk_EQ,75
cello,C3C#3,11,96k_muk_EQ,37
cello,C3C#3,12,96k_muk_EQ,73
